predictor,outcome_lead,lead,n_obs,pearson_r,pearson_p_value,spearman_rho,spearman_p_value
economy_negative_share,lead1_financial_stress_index,1,50,0.417120258015531,0.002582034543293599,0.39351740696278503,0.004694789682793311
economy_negative_share,lead2_financial_stress_index,2,49,0.4782220328066388,0.0005101199928627821,0.3414285714285714,0.01635299518712689
economy_negative_share,lead3_financial_stress_index,3,48,0.32615125124206806,0.02367671829723228,0.3269648284845853,0.023310330116893166
reform_positive_share,lead1_bist_return,1,51,-0.13499394206014337,0.34492317779298487,-0.061538461538461535,0.6679345306251803
reform_positive_share,lead2_bist_return,2,50,0.05966007912773749,0.6806638999939708,0.06852340936374549,0.6363309963298316
reform_positive_share,lead3_bist_return,3,49,0.14336264363177273,0.32574513334872535,0.07877551020408162,0.5905559263661883
gov_opp_cosine_distance_negative,lead1_usd_return,1,51,0.07860133189546853,0.5835138878151996,0.07592760180995475,0.5964208993007252
gov_opp_cosine_distance_negative,lead2_usd_return,2,50,0.019181791710033883,0.8948124796451318,0.08945978391356542,0.5366958030570775
gov_opp_cosine_distance_negative,lead3_usd_return,3,49,-0.02512330587893544,0.8639484515151492,0.030306122448979587,0.8362334288912918
