term,event_month,event_label,party,pre_position,post_position,delta_position
22,2003-03,Iraq vote,Adalet ve Kalkınma Partisi,-0.6676574361273984,1.6220720509444504,2.289729487071849
22,2003-03,Iraq vote,Anavatan Partisi,-0.7511358801907502,-1.3907552242410464,-0.6396193440502962
22,2003-03,Iraq vote,Bağımsız,-2.732706017862772,-0.5733772396852085,2.1593287781775636
22,2003-03,Iraq vote,Cumhuriyet Halk Partisi,-0.6198381508018493,-0.4270741914786642,0.19276395932318513
22,2003-03,Iraq vote,Doğru Yol Partisi,,4.709480070583296,
22,2005-10,EU talks,Adalet ve Kalkınma Partisi,-2.147055123627171,1.2226191928323826,3.3696743164595535
22,2005-10,EU talks,Anavatan Partisi,,1.0709767481166017,
22,2005-10,EU talks,Bağımsız,,-0.5074989129428166,
22,2005-10,EU talks,Cumhuriyet Halk Partisi,-2.293596066207757,-0.35529961217751743,1.9382964540302396
22,2005-10,EU talks,Doğru Yol Partisi,0.39558433677964444,0.12685732449685727,-0.26872701228278717
22,2007-04,E-memorandum,Adalet ve Kalkınma Partisi,1.3652587657835504,0.17812298846605254,-1.187135777317498
22,2007-04,E-memorandum,Anavatan Partisi,-0.6790580633036714,1.374099849315748,2.0531579126194193
22,2007-04,E-memorandum,Bağımsız,-2.987655531788877,-2.006234387317311,0.9814211444715659
22,2007-04,E-memorandum,Cumhuriyet Halk Partisi,-0.09809930960217045,-0.7888875848367003,-0.6907882752345298
22,2007-04,E-memorandum,Doğru Yol Partisi,0.844876706292601,-0.6873558279873133,-1.5322325342799143
