concept_slug,weight,abs_weight
imf,-0.11501673037196132,0.11501673037196132
democracy,-0.10612486360972348,0.10612486360972348
law_state,-0.09068474783003795,0.09068474783003795
tutelage,-0.0903209340111783,0.0903209340111783
interest,-0.024657387678374578,0.024657387678374578
inflation,-0.012636714406185875,0.012636714406185875
constitution,0.004857352761658872,0.004857352761658872
security,0.16734066196582292,0.16734066196582292
economy,0.31905793500614776,0.31905793500614776
sovereignty,0.34040208812160105,0.34040208812160105
reform,0.49321100456278044,0.49321100456278044
european_union,0.6851308368463904,0.6851308368463904
