year,party,position,party_short
2002,Adalet ve Kalkınma Partisi,-0.37084730899813495,AKP
2002,Anavatan Partisi,-0.8641402466616126,ANAP
2002,Bağımsız,-2.4943796848485658,IND
2002,Cumhuriyet Halk Partisi,-1.0249688099779066,CHP
2002,Doğru Yol Partisi,-0.8482247005436112,DYP
2003,Adalet ve Kalkınma Partisi,0.6637689483379798,AKP
2003,Anavatan Partisi,-0.5140739905071668,ANAP
2003,Bağımsız,-0.4553203581727615,IND
2003,Cumhuriyet Halk Partisi,-0.45048258978162997,CHP
2003,Doğru Yol Partisi,3.4933782438579595,DYP
2004,Adalet ve Kalkınma Partisi,1.1160981324743795,AKP
2004,Anavatan Partisi,0.3180395596213451,ANAP
2004,Bağımsız,3.5485795889404397,IND
2004,Cumhuriyet Halk Partisi,-0.062381958251861463,CHP
2004,Doğru Yol Partisi,2.507021532353235,DYP
2005,Adalet ve Kalkınma Partisi,0.6517810764081998,AKP
2005,Anavatan Partisi,0.17193049008792471,ANAP
2005,Bağımsız,-1.489748140277864,IND
2005,Cumhuriyet Halk Partisi,-0.5980540868515402,CHP
2005,Doğru Yol Partisi,-0.4942704412524117,DYP
2006,Adalet ve Kalkınma Partisi,0.41035078357843124,AKP
2006,Anavatan Partisi,0.6533042090559756,ANAP
2006,Bağımsız,0.6525586872041432,IND
2006,Cumhuriyet Halk Partisi,-0.8592414689330108,CHP
2006,Doğru Yol Partisi,-0.4354644550562385,DYP
2007,Adalet ve Kalkınma Partisi,0.15306971042292009,AKP
2007,Anavatan Partisi,0.1701519827136843,ANAP
2007,Bağımsız,-2.5882895949302345,IND
2007,Cumhuriyet Halk Partisi,-0.588678107535504,CHP
2007,Doğru Yol Partisi,-0.37146700247656605,DYP
