term,outcome,variable,beta,std_error,t_stat,p_value,ci_low,ci_high,n_obs,r_squared,adj_r_squared,standardized,hypothesis_id,label,standardized_beta
22.0,negative_cross_bloc_share,intercept,0.9960356286802644,0.0077611955242349,128.3353351387773,0.0,0.9804131523671789,1.01165810499335,49,0.0433684806679204,0.0017758059143516,False,DH1,Crisis language raises cross-bloc negative targeting,1.4479069861996204e-15
22.0,negative_cross_bloc_share,crisis_negative_share,0.0346960906079524,0.0720674271974433,0.4814392848088709,0.6324867753323855,-0.1103681164232275,0.1797602976391325,49,0.0433684806679204,0.0017758059143516,False,DH1,Crisis language raises cross-bloc negative targeting,0.0673596636420792
22.0,negative_cross_bloc_share,negative_cross_bloc_share_lag1,-0.0127285016287902,0.0046115547552335,-2.760132385795725,0.0082690598223098,-0.0220110798997757,-0.0034459233578047,49,0.0433684806679204,0.0017758059143516,False,DH1,Crisis language raises cross-bloc negative targeting,-0.1722077538458678
22.0,akp_chp_negative_share,intercept,0.6679513394322844,0.121600040769177,5.493019041829101,1.653433628456824e-06,0.4231831525395848,0.912719526324984,49,0.065231382423472,0.0245892686157968,False,DH2,Crisis language concentrates negative targeting in the AKP-CHP dyad,-3.156467152707704e-16
22.0,akp_chp_negative_share,crisis_negative_share,0.7783153921548887,0.549635447598724,1.416057489660162,0.163494673850455,-0.3280433813266932,1.8846741656364705,49,0.065231382423472,0.0245892686157968,False,DH2,Crisis language concentrates negative targeting in the AKP-CHP dyad,0.1652455701743766
22.0,akp_chp_negative_share,akp_chp_negative_share_lag1,0.1580452073644294,0.1306960578906801,1.209257646444282,0.2327425384488906,-0.1050323123598394,0.4211227270886983,49,0.065231382423472,0.0245892686157968,False,DH2,Crisis language concentrates negative targeting in the AKP-CHP dyad,0.2500083538154978
22.0,gov_opp_cosine_distance_total,intercept,-0.7456953495098205,0.3818776501137291,-1.9527074948946104,0.0572338026995666,-1.515319182953811,0.02392848393417,47,0.0967820225730294,0.0557266599627126,False,DH3,Cross-bloc negative targeting widens semantic distance,-5.93980791526367e-17
22.0,gov_opp_cosine_distance_total,negative_cross_bloc_share,0.8043435889376382,0.3910832388333923,2.056706882496443,0.0456737010494827,0.0161671104843733,1.592520067390903,47,0.0967820225730294,0.0557266599627126,False,DH3,Cross-bloc negative targeting widens semantic distance,0.2620330972049172
22.0,gov_opp_cosine_distance_total,gov_opp_cosine_distance_total_lag1,0.1998244017349585,0.0629445338127117,3.1746108777217397,0.0027387356168071,0.0729680293003401,0.3266807741695768,47,0.0967820225730294,0.0557266599627126,False,DH3,Cross-bloc negative targeting widens semantic distance,0.2206982515967578
22.0,lead1_financial_stress_index,intercept,-0.2322544767036443,0.1287142182920793,-1.8044197430979276,0.0768488134777105,-0.4904225045834523,0.0259135511761637,56,0.2564801667257878,0.2284228145267609,False,DH4,Economy-targeted negative attacks foreshadow financial stress,6.275418850670729e-17
22.0,lead1_financial_stress_index,economy_targeted_negative_share,1.014062531275341,0.5402454726219075,1.8770403134595743,0.0660216309760373,-0.069532661924659,2.097657724475341,56,0.2564801667257878,0.2284228145267609,False,DH4,Economy-targeted negative attacks foreshadow financial stress,0.321534979185572
22.0,lead1_financial_stress_index,financial_stress_index,0.3898791067365782,0.1145826792392105,3.4026007187581997,0.001277404923057,0.1600553567197397,0.6197028567534167,56,0.2564801667257878,0.2284228145267609,False,DH4,Economy-targeted negative attacks foreshadow financial stress,0.3878399814460849
22.0,gov_opp_cosine_distance_negative,intercept,0.1074224920798303,0.0320345895372461,3.3533281877993737,0.0016503223891408,0.042861019065849,0.1719839650938116,47,0.0797630410575597,0.0379340883783579,False,DH5,Negative reciprocity intensifies negative semantic distance,-2.6319407480803163e-16
22.0,gov_opp_cosine_distance_negative,negative_reciprocity,0.4193982120434206,0.2411401209424016,1.7392303296704308,0.0889868331683048,-0.066587768601343,0.9053841926881844,47,0.0797630410575597,0.0379340883783579,False,DH5,Negative reciprocity intensifies negative semantic distance,0.2665845177746524
22.0,gov_opp_cosine_distance_negative,gov_opp_cosine_distance_negative_lag1,-0.116397351070136,0.1221927336501872,-0.9525717904254254,0.3460109298814942,-0.3626606243013668,0.1298659221610947,47,0.0797630410575597,0.0379340883783579,False,DH5,Negative reciprocity intensifies negative semantic distance,-0.1025719739040219
22.0,lead1_usd_return,intercept,0.3757375463744557,0.7108644321938082,0.5285642794293239,0.5993142878223252,-1.050075941712186,1.8015510344610972,56,0.0228929468830539,-0.0139790173855101,False,DH6,Constitution-targeted negative attacks push the USD/TRY return,5.151989947819006e-17
22.0,lead1_usd_return,constitution_targeted_negative_share,-10.83138114622366,7.346889272484034,-1.4742812562576564,0.1463213729090517,-25.56737488255232,3.9046125901050015,56,0.0228929468830539,-0.0139790173855101,False,DH6,Constitution-targeted negative attacks push the USD/TRY return,-0.1469114858555686
22.0,lead1_usd_return,usd_return,-0.058899155717413,0.1167929356399422,-0.5043040950609519,0.6161378944879536,-0.2931561186586447,0.1753578072238186,56,0.0228929468830539,-0.0139790173855101,False,DH6,Constitution-targeted negative attacks push the USD/TRY return,-0.0612733928296402
