party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer,year
Adalet ve Kalkınma Partisi,1631.95,0.8297444996687746,0.8333333333333333,0.6151436443326735,government,total,2002
Cumhuriyet Halk Partisi,807.3499999999999,0.4730237744632647,0.0,0.24205001374013313,opposition,total,2002
Anavatan Partisi,18.7,0.43433545492722037,0.0,0.20050683213101347,opposition,total,2002
Bağımsız,7.4,0.5740732692824457,0.0,0.5084294238753612,opposition,total,2002
Doğru Yol Partisi,7.35,0.5822582759132328,0.0,0.5141075946648449,opposition,total,2002
Cumhuriyet Halk Partisi,20002.499999999996,0.4833295303588072,0.0,0.24572677058420414,opposition,total,2003
Adalet ve Kalkınma Partisi,17012.750000000004,0.7712077903948446,0.5,0.5644391186299308,government,total,2003
Anavatan Partisi,749.35,0.6493916202688466,0.0,0.4942223135731836,opposition,total,2003
Bağımsız,429.65000000000003,0.7714707379361414,0.5,0.5634627985444067,opposition,total,2003
Doğru Yol Partisi,163.85,0.482083204344118,0.0,0.24347651837785056,opposition,total,2003
Cumhuriyet Halk Partisi,15791.5,0.6185837399144148,0.5,0.3175312104670121,opposition,total,2004
Adalet ve Kalkınma Partisi,12462.599999999999,0.7420169266882961,0.6666666666666666,0.6023623366753218,government,total,2004
Anavatan Partisi,602.8000000000001,0.5344276378330133,0.0,0.5076799391797615,opposition,total,2004
Doğru Yol Partisi,459.74999999999994,0.40243513461231806,0.0,0.12961209770030885,opposition,total,2004
Bağımsız,173.4,0.5392171374811471,0.0,0.5116593878925311,opposition,total,2004
Cumhuriyet Halk Partisi,18167.199999999997,0.5276310305296211,0.0,0.2680995421783101,opposition,total,2005
Adalet ve Kalkınma Partisi,15571.499999999998,0.9257614322706892,0.8333333333333333,0.6348201055987075,government,total,2005
Anavatan Partisi,1801.0499999999997,0.6262608333268894,0.0,0.48204839144431194,opposition,total,2005
Doğru Yol Partisi,1101.1000000000001,0.5230435399480703,0.0,0.2627410936259346,opposition,total,2005
Bağımsız,688.4499999999999,0.6118939871018669,0.0,0.4729931659523483,opposition,total,2005
Adalet ve Kalkınma Partisi,14042.000000000002,0.7633930378856294,0.5,0.5661044986638762,government,total,2006
Cumhuriyet Halk Partisi,12966.25,0.63267061255383,0.0,0.4916807322263666,opposition,total,2006
Anavatan Partisi,4424.55,0.7562068807071005,0.5,0.5647160240762336,opposition,total,2006
Bağımsız,1490.6,0.4759161346763314,0.0,0.24832010778937255,opposition,total,2006
Doğru Yol Partisi,1302.15,0.47158705680800106,0.0,0.23918338230084157,opposition,total,2006
Cumhuriyet Halk Partisi,5344.900000000001,0.6229383323303637,0.5,0.32637781203604393,opposition,total,2007
Adalet ve Kalkınma Partisi,4912.4,0.7408570593080035,0.6666666666666666,0.6066580742821912,government,total,2007
Anavatan Partisi,1418.65,0.5400166506238379,0.0,0.5093949126280992,opposition,total,2007
Bağımsız,553.0500000000001,0.5299085164827119,0.0,0.500962869752874,opposition,total,2007
Doğru Yol Partisi,333.15,0.39221175334521247,0.0,0.12246032351894369,opposition,total,2007
Adalet ve Kalkınma Partisi,590.894395,0.8678053410512011,0.0,0.7071067811865475,government,positive,2002
Cumhuriyet Halk Partisi,184.23067,0.8678053410512011,0.0,0.7071067811865475,opposition,positive,2002
Adalet ve Kalkınma Partisi,5222.522295,0.5351112802436871,0.0,0.5015099597294193,government,positive,2003
Cumhuriyet Halk Partisi,4190.021709999999,0.5382178363155103,0.0,0.5039798805591723,opposition,positive,2003
Anavatan Partisi,109.48459,0.7468048371605133,0.6666666666666666,0.6010967463316776,opposition,positive,2003
Bağımsız,92.761155,0.6235537135276805,0.5,0.33471051369829147,opposition,positive,2003
Doğru Yol Partisi,45.671825,0.4116283105917714,0.0,0.14540843803939107,opposition,positive,2003
Adalet ve Kalkınma Partisi,4380.45171,0.7832647979111336,0.8333333333333333,0.6153035722838476,government,positive,2004
Cumhuriyet Halk Partisi,3582.37675,0.4709025026920969,0.0,0.2649275651440785,opposition,positive,2004
Anavatan Partisi,117.67169999999999,0.5528169727557265,0.0,0.5121769450806538,opposition,positive,2004
