layer,party_nodes,concept_nodes,bipartite_edges,party_projection_edges,concept_projection_edges,party_projection_density,concept_projection_density,party_bloc_assortativity,avg_party_closeness,avg_party_betweenness,avg_concept_closeness,avg_concept_betweenness,party_avg_path_lcc,concept_avg_path_lcc
total,5,12,60,5,24,0.5,0.36363636363636365,-0.6666666666666667,0.6649393346516886,0.16666666666666666,0.4440771120540022,0.13333333333333333,1.5699056489522631,2.3537802919093527
positive,5,12,56,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.6011095676135666,0.2,0.45182023017440837,0.12575757575757576,1.7509345826930875,2.3130040297482672
negative,5,12,59,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.6290627107436793,0.2,0.4688279292029604,0.12121212121212122,1.6608804260738665,2.2382355626493666
