layer,party_nodes,concept_nodes,bipartite_edges,party_projection_edges,concept_projection_edges,party_projection_density,concept_projection_density,party_bloc_assortativity,avg_party_closeness,avg_party_betweenness,avg_concept_closeness,avg_concept_betweenness,party_avg_path_lcc,concept_avg_path_lcc,year
total,5,12,32,5,24,0.5,0.36363636363636365,-0.6666666666666667,0.5786870548509875,0.16666666666666666,0.4756568717748692,0.11666666666666665,1.8162011246256682,2.2024966524958023,2002
total,5,12,56,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.6314965766605515,0.2,0.43525621902572653,0.14242424242424243,1.655221639774619,2.4344625041147103,2003
total,5,12,60,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.5673361153058379,0.2333333333333333,0.443780398488041,0.12878787878787878,1.834969566196915,2.3203923104314286,2004
total,5,12,59,5,24,0.5,0.36363636363636365,-0.6666666666666667,0.6429181646354273,0.16666666666666666,0.42221439496118185,0.1484848484848485,1.6236782451978093,2.5126388844337035,2005
total,5,12,58,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.6199547445261785,0.2,0.4729462215083681,0.12121212121212122,1.686928352682326,2.2677890362545012,2006
total,5,12,57,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.565186462418026,0.2333333333333333,0.4972566282654774,0.10606060606060606,1.848727889019163,2.1131029439969495,2007
positive,2,11,19,1,20,1.0,0.36363636363636365,-1.0,0.8678053410512011,0.0,0.4798921690318751,0.1313131313131313,1.1523321564127125,2.1953280318891,2002
positive,5,12,46,5,24,0.5,0.36363636363636365,-0.2500000000000003,0.5710631955678325,0.2333333333333333,0.5183256977215608,0.09999999999999999,1.8197758181112043,2.0457748269030205,2003
positive,5,11,47,5,20,0.5,0.36363636363636365,-0.6666666666666667,0.5478732831797566,0.16666666666666666,0.3979882199796037,0.17777777777777778,1.9294481035517106,2.625662284191916,2004
positive,5,12,53,5,24,0.5,0.36363636363636365,-0.2500000000000003,0.5729127965161951,0.16666666666666666,0.4339808164883619,0.13333333333333333,1.829972833562736,2.4190159168187892,2005
positive,5,12,53,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.6101741546843237,0.2,0.46020682754999415,0.11666666666666665,1.7174004348079737,2.310420217001506,2006
positive,5,11,48,5,20,0.5,0.36363636363636365,-0.2500000000000003,0.5297712104291629,0.2,0.5043543079035437,0.11313131313131314,2.0084442468794186,2.0956999022178,2007
negative,5,11,24,4,19,0.4,0.34545454545454546,-0.6,0.18970147929785355,0.26666666666666666,0.41999640233168256,0.14747474747474748,5.978751835122798,2.470693238089944,2002
negative,5,12,47,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.6244382026969183,0.2,0.44023021021149195,0.13333333333333333,1.6730882627648438,2.3600795209005305,2003
negative,5,12,50,5,24,0.5,0.36363636363636365,-0.2500000000000003,0.5403770929757684,0.16666666666666666,0.45595997959604695,0.12878787878787876,1.9490312953483795,2.320196742165315,2004
negative,5,12,55,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.5997826901597311,0.2,0.4903610935101665,0.10909090909090909,1.7495333113942002,2.154216258113079,2005
negative,5,12,55,5,24,0.5,0.36363636363636365,-0.2500000000000003,0.5784098062815481,0.2333333333333333,0.5225403168672393,0.09242424242424242,1.7925685399312727,1.9876886641534888,2006
negative,5,12,50,5,24,0.5,0.36363636363636365,-0.2500000000000003,0.5323208003595943,0.2333333333333333,0.43257953916043484,0.1272727272727273,1.9448854382669427,2.4529140936412768,2007
