party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer
Cumhuriyet Halk Partisi,73079.69999999998,0.5466216432524484,0.0,0.2674640711477122,opposition,total
Adalet ve Kalkınma Partisi,65633.2,0.9559280537939033,0.8333333333333333,0.6319815602497032,government,total
Anavatan Partisi,9015.099999999999,0.6453050028011875,0.0,0.4828548889467225,opposition,total
Doğru Yol Partisi,3367.3500000000004,0.537719859260531,0.0,0.25750799217824577,opposition,total
Bağımsız,3342.5499999999993,0.6391221141503722,0.0,0.4791691437624287,opposition,total
Adalet ve Kalkınma Partisi,19596.443555,0.7410255653027588,0.5,0.5762257665035148,government,positive
Cumhuriyet Halk Partisi,14815.001855,0.4609902704037338,0.0,0.239343327120034,opposition,positive
Anavatan Partisi,1929.5618,0.626876451158754,0.0,0.5095960667015895,opposition,positive
Bağımsız,687.7219699999999,0.7397809857638099,0.5,0.5568346846204294,opposition,positive
Doğru Yol Partisi,537.1010150000001,0.4368745654387769,0.0,0.20230081706825978,opposition,positive
Cumhuriyet Halk Partisi,11363.06761,0.48273728051397213,0.0,0.24827130514680906,opposition,negative
Adalet ve Kalkınma Partisi,7242.699919999999,0.7688054655395617,0.5,0.5648115148407469,government,negative
Anavatan Partisi,1492.82374,0.7696149081086561,0.5,0.56424531916675,opposition,negative
Doğru Yol Partisi,593.803365,0.6426166887918353,0.0,0.490396994414063,opposition,negative
Bağımsız,530.9261300000001,0.48153921076437106,0.0,0.24594169921358724,opposition,negative
