party,pre_gatekeeper,post_gatekeeper,delta_gatekeeper,term,event_month,event_label
Adalet ve Kalkınma Partisi,1.2463423832156157,1.2727610628734225,0.026418679657806754,22,2003-03,Iraq vote
Anavatan Partisi,2.0687785080372394,1.1302630796778173,-0.9385154283594221,22,2003-03,Iraq vote
Bağımsız,1.0161156421938808,1.8933824232305658,0.877266781036685,22,2003-03,Iraq vote
Cumhuriyet Halk Partisi,1.1764267714264565,1.1668388882221241,-0.009587883204332348,22,2003-03,Iraq vote
Doğru Yol Partisi,0.0,0.6604064354631358,0.6604064354631358,22,2003-03,Iraq vote
Adalet ve Kalkınma Partisi,0.9976750905306774,1.118996506313276,0.1213214157825987,22,2005-10,EU talks
Anavatan Partisi,0.0,0.4550656634146044,0.4550656634146044,22,2005-10,EU talks
Bağımsız,0.0,0.4216564488629253,0.4216564488629253,22,2005-10,EU talks
Cumhuriyet Halk Partisi,0.757385175096136,0.8222849989343063,0.06489982383817028,22,2005-10,EU talks
Doğru Yol Partisi,1.3608042180352637,1.1054118746597725,-0.2553923433754912,22,2005-10,EU talks
Adalet ve Kalkınma Partisi,1.1063987852440962,0.9778809553628786,-0.12851782988121763,22,2007-04,E-memorandum
Anavatan Partisi,0.5830425218170814,0.7368523191586743,0.15380979734159295,22,2007-04,E-memorandum
Bağımsız,0.9848592741393443,0.5285731205498347,-0.4562861535895095,22,2007-04,E-memorandum
Cumhuriyet Halk Partisi,0.9611007385765276,0.852354890861189,-0.10874584771533857,22,2007-04,E-memorandum
Doğru Yol Partisi,0.3868901360184477,1.6152182862346134,1.2283281502161656,22,2007-04,E-memorandum
