quantile,cutoff,crisis_n,non_crisis_n,crisis_mean,non_crisis_mean,welch_t_stat,welch_p_value
0.7,0.16606471563209796,16,35,3.6009122179679434,3.962672173139231,-0.8008216023249422,0.4298177423890459
0.75,0.22507512664202772,15,36,3.682306365832473,3.9187090572186967,-0.5096180674582574,0.6146774895511827
0.8,0.3428592550420574,12,39,3.4641536333064127,3.9676481525046983,-0.9646360487530424,0.3485179933552355
