party,concept_slug,concept,concept_category,speech_count,mention_count,beme_positive_hits,beme_negative_hits,salience_weight,layer_weight,beme_score,layer
Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,3838,17260,10458,4631,22541.15,22541.15,0.38614976805831674,total
Cumhuriyet Halk Partisi,economy,Ekonomi,macro_economy,4445,15134,5770,4960,18889.5,18889.5,0.07548224769359799,total
Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,3788,14830,4344,3535,17587.65,17587.65,0.10266497461928933,total
Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,2893,9666,2762,1771,11252.55,11252.55,0.21857079841199822,total
Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,3095,9703,1772,1472,10838.4,10838.4,0.09244992295839753,total
Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,1941,6574,1740,2207,7955.45,7955.45,-0.11828774062816616,total
Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,1929,5932,1402,2516,7303.3,7303.3,-0.284256187803011,total
Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,2109,6235,1236,672,6902.8,6902.8,0.29544264012572025,total
Cumhuriyet Halk Partisi,democracy,Demokrasi,democratic_reform,2163,4998,1882,940,5985.7,5985.7,0.3336875664187035,total
Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,1548,3451,1524,520,4166.4,4166.4,0.49095354523227386,total
Adalet ve Kalkınma Partisi,european_union,Avrupa Birligi,democratic_reform,1360,3302,1582,421,4003.05,4003.05,0.5793413173652695,total
Cumhuriyet Halk Partisi,european_union,Avrupa Birligi,democratic_reform,1438,3047,1424,649,3772.55,3772.55,0.37367405978784957,total
Anavatan Partisi,economy,Ekonomi,macro_economy,562,2589,990,873,3241.05,3241.05,0.06276824034334764,total
Adalet ve Kalkınma Partisi,interest,Faiz,macro_economy,916,2795,605,471,3171.6,3171.6,0.1244196843082637,total
Cumhuriyet Halk Partisi,interest,Faiz,macro_economy,995,2798,525,472,3146.95,3146.95,0.0531062124248497,total
Adalet ve Kalkınma Partisi,reform,Reform,democratic_reform,1165,2587,913,371,3036.4,3036.4,0.4217898832684825,total
Cumhuriyet Halk Partisi,reform,Reform,democratic_reform,864,1718,418,291,1966.15,1966.15,0.17887323943661973,total
Cumhuriyet Halk Partisi,imf,IMF,macro_economy,768,1540,274,453,1794.45,1794.45,-0.24587912087912087,total
Adalet ve Kalkınma Partisi,inflation,Enflasyon,macro_economy,583,1333,585,271,1632.6,1632.6,0.3663943990665111,total
Bağımsız,economy,Ekonomi,macro_economy,202,971,483,384,1274.45,1274.45,0.11405529953917051,total
Cumhuriyet Halk Partisi,inflation,Enflasyon,macro_economy,437,1074,274,197,1238.85,1238.85,0.163135593220339,total
Anavatan Partisi,security,Guvenlik,security_conflict,316,995,257,431,1235.8,1235.8,-0.2525399129172714,total
Anavatan Partisi,law_state,Hukuk Devleti,democratic_reform,323,837,291,223,1016.9,1016.9,0.13203883495145632,total
Doğru Yol Partisi,economy,Ekonomi,macro_economy,301,704,191,253,859.4,859.4,-0.1393258426966292,total
Doğru Yol Partisi,security,Guvenlik,security_conflict,218,624,143,107,711.5,711.5,0.14342629482071714,total
Anavatan Partisi,constitution,Anayasa,constitutional_conflict,247,614,120,96,689.6,689.6,0.11059907834101383,total
Anavatan Partisi,european_union,Avrupa Birligi,democratic_reform,233,497,236,86,609.7,609.7,0.46439628482972134,total
Doğru Yol Partisi,constitution,Anayasa,constitutional_conflict,223,563,67,64,608.85,608.85,0.022727272727272728,total
Anavatan Partisi,interest,Faiz,macro_economy,184,493,98,94,560.2,560.2,0.02072538860103627,total
Adalet ve Kalkınma Partisi,imf,IMF,macro_economy,220,464,104,78,527.7,527.7,0.14207650273224043,total
Anavatan Partisi,democracy,Demokrasi,democratic_reform,208,432,171,89,523.0,523.0,0.31417624521072796,total
Bağımsız,security,Guvenlik,security_conflict,112,407,114,180,509.9,509.9,-0.22372881355932203,total
Anavatan Partisi,imf,IMF,macro_economy,138,342,56,103,397.65,397.65,-0.29375,total
Anavatan Partisi,reform,Reform,democratic_reform,157,339,98,43,388.35,388.35,0.3873239436619718,total
Doğru Yol Partisi,law_state,Hukuk Devleti,democratic_reform,134,316,40,59,350.65,350.65,-0.19,total
