layer,party_nodes,concept_nodes,bipartite_edges,party_projection_edges,concept_projection_edges,party_projection_density,concept_projection_density,party_bloc_assortativity,avg_party_closeness,avg_party_betweenness,avg_concept_closeness,avg_concept_betweenness,party_avg_path_lcc,concept_avg_path_lcc,date
negative,3,9,12,2,9,0.6666666666666666,0.25,-1.0,0.302381266167487,0.3333333333333333,0.150491895416785,0.19444444444444445,3.4944018653072617,7.070119182971665,2005-07-01
negative,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005-08-01
negative,3,7,12,2,7,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.025306806858565952,0.3333333333333333,0.4133813736528363,0.22857142857142856,43.702052934732386,2.531152611167185,2005-09-01
negative,5,12,32,5,21,0.5,0.3181818181818182,-0.24999999999999983,0.5302026912599239,0.2,0.3646984386349294,0.14242424242424243,1.987568345166761,2.923620584084019,2005-10-01
negative,5,11,32,5,18,0.5,0.32727272727272727,-0.11111111111111124,0.524802977120955,0.16666666666666666,0.4025608419833704,0.13535353535353536,2.013260751685929,2.649288592033054,2005-11-01
negative,5,12,47,5,23,0.5,0.3484848484848485,-0.24999999999999983,0.5343819472564705,0.2333333333333333,0.4427144936967331,0.12575757575757576,1.936856762487587,2.402540754932547,2005-12-01
negative,5,10,27,5,16,0.5,0.35555555555555557,-0.4285714285714284,0.35765013334552176,0.2,0.4542193745113118,0.12777777777777777,3.132108827746616,2.290435311954393,2006-01-01
negative,5,11,38,5,20,0.5,0.36363636363636365,-0.4285714285714284,0.4563121504623453,0.2,0.43834858626010303,0.12525252525252525,2.351894962308223,2.358691242557805,2006-02-01
negative,5,12,34,5,24,0.5,0.36363636363636365,-0.24999999999999983,0.47678282366762376,0.2,0.4715534978450157,0.10303030303030303,2.232333805459067,2.237262664568875,2006-03-01
negative,5,12,36,5,22,0.5,0.3333333333333333,-0.24999999999999983,0.5438229636531354,0.2,0.4002038925937636,0.12878787878787876,1.940101711576705,2.5985368851368196,2006-04-01
negative,5,10,36,5,16,0.5,0.35555555555555557,-0.11111111111111124,0.39758597863573186,0.16666666666666666,0.419306497855232,0.16111111111111112,2.7378963603094713,2.5006426952239043,2006-05-01
negative,5,11,46,5,20,0.5,0.36363636363636365,-0.24999999999999983,0.5820464785142772,0.16666666666666666,0.4553595310286953,0.11919191919191921,1.7999772941913936,2.3508256822482965,2006-06-01
negative,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006-07-01
negative,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006-08-01
negative,5,10,28,5,15,0.5,0.3333333333333333,-0.4285714285714284,0.5236092513443016,0.2,0.40588843867019087,0.12777777777777777,2.008419481939564,2.6272913751891274,2006-09-01
negative,4,11,24,3,15,0.5,0.2727272727272727,-0.1999999999999996,0.33575140825822986,0.3333333333333333,0.2830088242979201,0.18585858585858583,3.157720657077674,3.9112357043296226,2006-10-01
negative,5,12,30,5,20,0.5,0.30303030303030304,-0.24999999999999983,0.40490971069509696,0.2333333333333333,0.3411219364475952,0.15606060606060607,2.577133164887404,3.1891102799567577,2006-11-01
negative,5,12,42,5,24,0.5,0.36363636363636365,-0.24999999999999983,0.5187661818912066,0.2333333333333333,0.5096866155968304,0.09090909090909093,1.9962802043060068,2.0156333920680702,2006-12-01
negative,5,10,28,5,15,0.5,0.3333333333333333,-0.4285714285714284,0.3865467967223163,0.2333333333333333,0.425847598985588,0.13333333333333333,2.679025544684804,2.454733630735197,2007-01-01
negative,5,9,29,5,13,0.5,0.3611111111111111,-0.24999999999999983,0.5356698619192832,0.2,0.40421905562520677,0.15476190476190477,1.9584640182599375,2.567683103307911,2007-02-01
negative,5,11,26,4,18,0.4,0.32727272727272727,-0.14285714285714285,0.3676163455449639,0.26666666666666666,0.43992691930943445,0.11717171717171716,2.950267755579654,2.399680458146609,2007-03-01
negative,5,9,24,5,11,0.5,0.3055555555555556,-0.24999999999999983,0.4562757513469206,0.2,0.40936984658882863,0.1706349206349206,2.3107891652468417,2.623020908122463,2007-04-01
negative,5,12,37,5,23,0.5,0.3484848484848485,-0.24999999999999983,0.48764306463983376,0.2,0.46021512157975186,0.10909090909090909,2.1353512187955355,2.2755311935873554,2007-05-01
negative,3,8,12,1,7,0.3333333333333333,0.25,-1.0,0.2906835875138523,0.0,0.18839573819556277,0.17857142857142858,1.1467222356248392,4.735290859124387,2007-06-01
negative,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-07-01
