layer,party_nodes,concept_nodes,bipartite_edges,party_projection_edges,concept_projection_edges,party_projection_density,concept_projection_density,party_bloc_assortativity,avg_party_closeness,avg_party_betweenness,avg_concept_closeness,avg_concept_betweenness,party_avg_path_lcc,concept_avg_path_lcc,date
total,3,8,17,2,10,0.6666666666666666,0.35714285714285715,-1.0,0.7695915687204659,0.3333333333333333,0.46000103886843413,0.19642857142857142,1.3475166415751143,2.298812904808517,2005-09-01
total,5,12,48,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.5340469258846959,0.2333333333333333,0.4061134061901437,0.15,1.9481585163056505,2.6546834614991814,2005-10-01
total,5,12,45,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.5438262984849247,0.2,0.4183405341455732,0.13787878787878788,1.9245180363224776,2.537080465834876,2005-11-01
total,5,12,53,5,24,0.5,0.36363636363636365,-0.24999999999999983,0.5671617122338664,0.2333333333333333,0.434982267325473,0.13636363636363635,1.8361174804937217,2.4401900321348537,2005-12-01
total,5,12,45,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.6203498302708291,0.2,0.40997805221881456,0.12727272727272726,1.6835546495685534,2.554040055093569,2006-01-01
total,5,12,48,5,23,0.5,0.3484848484848485,-0.24999999999999983,0.6141375219581076,0.16666666666666666,0.48167956819403385,0.0984848484848485,1.70358304659077,2.1957104761893804,2006-02-01
total,5,12,50,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.5651061100312205,0.2,0.45044440701592375,0.12424242424242427,1.8725088490025565,2.365860696733458,2006-03-01
total,5,12,46,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.5691967396399777,0.2,0.49103465445640876,0.10454545454545454,1.8389009187562824,2.169417471071511,2006-04-01
total,5,12,52,5,24,0.5,0.36363636363636365,-0.11111111111111124,0.6328400467525779,0.16666666666666666,0.44357005142269607,0.1212121212121212,1.651393357953258,2.3968311318446487,2006-05-01
total,5,12,53,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.6078628297963201,0.2,0.5237900787484614,0.08333333333333333,1.6878420375344731,1.9844380940036817,2006-06-01
total,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006-07-01
total,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006-08-01
total,5,11,45,5,20,0.5,0.36363636363636365,-0.4285714285714284,0.5496074321406336,0.2,0.4358268280684187,0.13131313131313133,1.9220473263499458,2.4958028705076867,2006-09-01
total,5,12,41,5,22,0.5,0.3333333333333333,-0.4285714285714284,0.4715206077476073,0.2,0.41934212160631373,0.12272727272727273,2.270204646021789,2.567472689642536,2006-10-01
total,5,12,46,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.3554094885260725,0.2,0.4235801114638413,0.13636363636363635,3.1077768495609486,2.5105098738034703,2006-11-01
total,5,12,54,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.5821827215934545,0.2333333333333333,0.4696061611519247,0.1196969696969697,1.7832022657598086,2.2715236245632924,2006-12-01
total,5,11,45,5,20,0.5,0.36363636363636365,-0.4285714285714284,0.5497236185580457,0.2,0.4867897908046965,0.11313131313131314,1.8934089222385715,2.112748443237708,2007-01-01
total,5,11,48,5,20,0.5,0.36363636363636365,-0.4285714285714284,0.5590517845787419,0.2333333333333333,0.5192146124418152,0.10303030303030303,1.861934197054795,2.042432171164864,2007-02-01
total,5,12,47,5,23,0.5,0.3484848484848485,-0.4285714285714284,0.5151505356716897,0.2,0.49258363715052106,0.08787878787878788,2.0822412828783508,2.117647680323699,2007-03-01
total,5,11,43,5,20,0.5,0.36363636363636365,-0.4285714285714284,0.5095461793344558,0.2,0.4906901412006413,0.10909090909090911,2.095446327877916,2.1773145541578027,2007-04-01
total,5,12,45,5,24,0.5,0.36363636363636365,-0.6666666666666671,0.5764362238243785,0.16666666666666666,0.49887632440159907,0.10303030303030303,1.819929097960475,2.1124734367365154,2007-05-01
total,4,12,26,3,20,0.5,0.30303030303030304,-0.1999999999999996,0.3760764324975952,0.3333333333333333,0.24614479239223386,0.1393939393939394,2.7539009240445274,5.10491153606583,2007-06-01
total,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-07-01
positive,2,10,14,1,16,1.0,0.35555555555555557,-1.0,0.3653702069652389,0.0,0.43665664559046447,0.17499999999999996,2.7369500329706393,2.4098367437803874,2002-11-01
positive,2,11,18,1,20,1.0,0.36363636363636365,-1.0,0.8766509865345132,0.0,0.38926871111920214,0.17575757575757575,1.140704813386565,2.6267953889688314,2002-12-01
positive,4,10,22,3,16,0.5,0.35555555555555557,-0.5000000000000001,0.523736368993081,0.3333333333333333,0.4531096720409867,0.15277777777777776,1.9678634055711959,2.304556794695284,2003-01-01
positive,3,9,18,2,13,0.6666666666666666,0.3611111111111111,-0.3333333333333333,0.6858987369226703,0.3333333333333333,0.43582375829164166,0.18253968253968253,1.5119397532082381,2.3829293940444782,2003-02-01
positive,5,11,32,5,20,0.5,0.36363636363636365,-0.24999999999999983,0.48950339221495487,0.2333333333333333,0.4770455884168841,0.13333333333333333,2.134001691386206,2.2346616002021884,2003-03-01
positive,5,12,26,4,23,0.4,0.3484848484848485,-0.6,0.13504593131852455,0.26666666666666666,0.4204315556765789,0.14545454545454545,9.183661911527482,2.584449277907305,2003-04-01
positive,5,10,29,5,16,0.5,0.35555555555555557,-0.24999999999999983,0.5235396674152692,0.2333333333333333,0.4575105319219598,0.15277777777777776,1.980932810016513,2.3047677006859413,2003-05-01
positive,4,11,25,3,20,0.5,0.36363636363636365,-0.1999999999999996,0.24641242776445813,0.3333333333333333,0.4914398350746925,0.11515151515151517,4.088560238549767,2.13885627087655,2003-06-01
positive,4,11,26,3,20,0.5,0.36363636363636365,-0.1999999999999996,0.2929966155177836,0.3333333333333333,0.47568743854519685,0.13333333333333333,3.616219384432565,2.243313046015521,2003-07-01
positive,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003-08-01
positive,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003-09-01
positive,2,10,18,1,16,1.0,0.35555555555555557,-1.0,0.9364835276819298,0.0,0.42488380213072363,0.17222222222222222,1.067824441584458,2.4654429070067017,2003-10-01
positive,4,10,29,3,16,0.5,0.35555555555555557,-0.5000000000000001,0.49174424031848596,0.3333333333333333,0.36465123869031857,0.20833333333333331,2.0960643869890307,2.8931802127841095,2003-11-01
positive,5,11,37,5,20,0.5,0.36363636363636365,-0.24999999999999983,0.5150872437028565,0.2333333333333333,0.464422245907804,0.13939393939393938,2.019731249500714,2.2894920849606115,2003-12-01
positive,4,11,26,3,20,0.5,0.36363636363636365,-1.0,0.6621177394973308,0.25,0.46679519889253757,0.12929292929292927,1.586103384586271,2.266408332040929,2004-01-01
positive,5,11,26,4,19,0.4,0.34545454545454546,-0.6,0.2745677314537073,0.26666666666666666,0.40503607158643484,0.16767676767676767,4.06586334541276,2.678482792357364,2004-02-01
positive,3,8,16,2,10,0.6666666666666666,0.35714285714285715,-1.0,0.5791116980326182,0.3333333333333333,0.44610914922094674,0.20238095238095233,1.7908709728953596,2.3609237268193928,2004-03-01
positive,4,11,27,3,19,0.5,0.34545454545454546,-1.0,0.44841704041730746,0.25,0.3794883425555278,0.17777777777777778,2.367405500276535,2.7439717138288016,2004-04-01
positive,4,8,21,3,10,0.5,0.35714285714285715,-0.5000000000000001,0.363626029279164,0.3333333333333333,0.44449307908967106,0.20833333333333331,2.9222168913117472,2.3354319138971555,2004-05-01
positive,5,11,27,5,20,0.5,0.36363636363636365,-0.24999999999999983,0.4757244725190362,0.2333333333333333,0.4386780380130167,0.14747474747474748,2.2025109622652392,2.382531918092429,2004-06-01
positive,4,9,27,3,13,0.5,0.3611111111111111,-0.5000000000000001,0.2998285262532708,0.3333333333333333,0.5114929658355756,0.13492063492063494,3.5983111323392802,2.0712154788967627,2004-07-01
positive,2,4,5,1,3,1.0,0.5,-1.0,0.18198582570848348,0.0,0.39417988515156693,0.25,5.494933443892844,2.766675401795316,2004-08-01
positive,3,7,15,2,7,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.35546869705786627,0.3333333333333333,0.42858166154386446,0.2571428571428571,2.97127327735757,2.4495838599218707,2004-09-01
positive,4,10,20,3,14,0.5,0.3111111111111111,-0.1999999999999996,0.4616518710874246,0.25,0.29649590481171734,0.20555555555555555,2.286573434973909,3.663626944266854,2004-10-01
positive,4,11,24,3,19,0.5,0.34545454545454546,-0.5000000000000001,0.3882042429510655,0.3333333333333333,0.44343712416676345,0.1373737373737374,2.7657400564287253,2.358003720751491,2004-11-01
positive,5,11,32,5,20,0.5,0.36363636363636365,-0.4285714285714284,0.4185523104107096,0.2,0.47516933289224567,0.13333333333333333,2.5196706523427013,2.228321291988551,2004-12-01
positive,5,11,24,4,16,0.4,0.2909090909090909,-1.0,0.2994950431460617,0.2,0.20400859991983883,0.19595959595959594,3.712989541992669,6.144806018920738,2005-01-01
positive,4,12,26,3,23,0.5,0.3484848484848485,-1.0,0.5868055814516735,0.25,0.42885787408084036,0.1318181818181818,1.7908131929739042,2.4311523253924325,2005-02-01
positive,4,11,23,3,20,0.5,0.36363636363636365,-0.5000000000000001,0.2604488256436673,0.3333333333333333,0.46898112770749606,0.13535353535353536,4.199818973036845,2.2696633715707772,2005-03-01
positive,5,10,30,5,16,0.5,0.35555555555555557,-0.24999999999999983,0.5394011208865852,0.2333333333333333,0.46752276582236246,0.14444444444444443,1.9273955907222469,2.2545096292464057,2005-04-01
positive,5,10,28,5,16,0.5,0.35555555555555557,-0.4285714285714284,0.4031218046421451,0.2,0.3847384661690249,0.16666666666666666,2.6433145566032374,2.7856801323534652,2005-05-01
positive,5,11,33,5,19,0.5,0.34545454545454546,-0.6666666666666671,0.12639679351407723,0.16666666666666666,0.41892848524714715,0.15151515151515152,9.445673190836727,2.5668705657845146,2005-06-01
positive,2,8,11,1,9,1.0,0.32142857142857145,-1.0,0.34367010608788334,0.0,0.39459359887193335,0.24404761904761904,2.909767193263763,2.655418173697535,2005-07-01
positive,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005-08-01
positive,3,5,8,2,4,0.6666666666666666,0.4,-1.0,0.1255823731965581,0.3333333333333333,0.49240433685034,0.26666666666666666,8.65920689964769,2.1399790070299276,2005-09-01
positive,5,11,28,5,17,0.5,0.3090909090909091,-0.4285714285714284,0.4280816098149218,0.2333333333333333,0.10803713506503825,0.14545454545454548,2.4074206756911876,13.672456527355823,2005-10-01
positive,5,11,35,5,19,0.5,0.34545454545454546,-0.24999999999999983,0.32711968396717567,0.2,0.46439272166187673,0.11515151515151517,3.2727412109452674,2.25403270316009,2005-11-01
positive,5,11,46,5,20,0.5,0.36363636363636365,-0.24999999999999983,0.6260450838774286,0.16666666666666666,0.49398756058953963,0.11515151515151517,1.6708728717319254,2.105795015237241,2005-12-01
positive,5,11,34,5,17,0.5,0.3090909090909091,-0.4285714285714284,0.5761842649121964,0.2333333333333333,0.2947069726374292,0.11717171717171716,1.8042726910233386,4.059058233034781,2006-01-01
positive,5,10,39,5,16,0.5,0.35555555555555557,-0.24999999999999983,0.4446752303678284,0.2333333333333333,0.5164390201988548,0.10277777777777777,2.3977000150529673,2.0135675586392674,2006-02-01
positive,5,11,36,5,20,0.5,0.36363636363636365,-0.4285714285714284,0.49265682151751583,0.2,0.46289433191790474,0.12525252525252525,2.1864331874839626,2.2613422448867047,2006-03-01
positive,5,11,34,5,19,0.5,0.34545454545454546,-0.4285714285714284,0.47946944650155476,0.2,0.4551591367773765,0.12121212121212123,2.204109462531975,2.323048137993511,2006-04-01
