party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer,date
Bağımsız,19.15,0.44357647427567937,0.6666666666666666,0.4675579132403487,opposition,total,2007-06-01
Anavatan Partisi,4.4,0.2892888993377791,0.0,0.24783136461851635,opposition,total,2007-06-01
Adalet ve Kalkınma Partisi,316.954415,0.3653702069652389,0.0,0.7071067811865475,government,positive,2002-11-01
Cumhuriyet Halk Partisi,9.62674,0.3653702069652389,0.0,0.7071067811865475,opposition,positive,2002-11-01
Adalet ve Kalkınma Partisi,273.93998,0.8766509865345132,0.0,0.7071067811865476,government,positive,2002-12-01
Cumhuriyet Halk Partisi,174.60393000000002,0.8766509865345132,0.0,0.7071067811865476,opposition,positive,2002-12-01
Adalet ve Kalkınma Partisi,381.12984000000006,0.6140192773212737,0.6666666666666666,0.5678523778876852,government,positive,2003-01-01
Cumhuriyet Halk Partisi,265.07681,0.43123023386410225,0.0,0.3931502967806612,opposition,positive,2003-01-01
Bağımsız,3.13349,0.435676687465674,0.0,0.4213593204466961,opposition,positive,2003-01-01
Anavatan Partisi,1.80009,0.6140192773212737,0.6666666666666666,0.5877353521282159,opposition,positive,2003-01-01
Cumhuriyet Halk Partisi,225.3982,0.8818693539237171,1.0,0.7071067814714709,opposition,positive,2003-02-01
Adalet ve Kalkınma Partisi,178.28284,0.5884694217723476,0.0,0.5014154068977329,government,positive,2003-02-01
Anavatan Partisi,4.62834,0.5873574350719464,0.0,0.4985805745540418,opposition,positive,2003-02-01
Adalet ve Kalkınma Partisi,1194.49504,0.4871202450110418,0.0,0.5398264021535866,government,positive,2003-03-01
Cumhuriyet Halk Partisi,618.9980449999999,0.6375748842809337,0.6666666666666666,0.5956826057101319,opposition,positive,2003-03-01
Bağımsız,14.566920000000003,0.45270930730466397,0.0,0.5079926131253341,opposition,positive,2003-03-01
Anavatan Partisi,14.08706,0.5324716602759786,0.5,0.29076257854810106,opposition,positive,2003-03-01
Doğru Yol Partisi,4.0249999999999995,0.33764086420215655,0.0,0.10559506010441973,opposition,positive,2003-03-01
Cumhuriyet Halk Partisi,495.6114549999999,0.15031531503051299,0.0,0.3953058032647522,opposition,positive,2003-04-01
Adalet ve Kalkınma Partisi,303.648045,0.16997743084288003,0.8333333333333333,0.6032831342885621,government,positive,2003-04-01
Bağımsız,14.534375,0.16207916279999676,0.5,0.585904823670844,opposition,positive,2003-04-01
Doğru Yol Partisi,3.8001899999999997,0.049402601588529965,0.0,0.021186304643241095,opposition,positive,2003-04-01
Anavatan Partisi,2.47509,0.14345514633070305,0.0,0.3688488306650558,opposition,positive,2003-04-01
Adalet ve Kalkınma Partisi,633.39762,0.5664614905460478,0.5,0.33485665900367734,government,positive,2003-05-01
Cumhuriyet Halk Partisi,432.67583,0.6872422517055902,0.6666666666666666,0.6097136268863528,opposition,positive,2003-05-01
