party,Adalet ve Kalkınma Partisi,Anavatan Partisi,Bağımsız,Cumhuriyet Halk Partisi,Doğru Yol Partisi
Adalet ve Kalkınma Partisi,1.0,0.0628207655758081,-0.27311535751194865,-0.007896836813337638,-0.6288910667439014
Anavatan Partisi,0.0628207655758081,1.0,-0.2935239124801712,-0.058403373194730435,-0.2935059648560076
Bağımsız,-0.27311535751194865,-0.2935239124801712,0.9999999999999999,0.34418756145048085,-0.3346685236990992
Cumhuriyet Halk Partisi,-0.007896836813337638,-0.058403373194730435,0.34418756145048085,0.9999999999999999,-0.5604496910629613
Doğru Yol Partisi,-0.6288910667439014,-0.2935059648560076,-0.3346685236990992,-0.5604496910629613,1.0000000000000002
