speaker,party,total_mentions,community,community_label,eigen_score,embed1,embed2
AK PARTİ GRUBU ADINA NİMET ÇUBUKÇU,Adalet ve Kalkınma Partisi,92,1,Pole +,0.09213140888755389,-0.1089530743042544,0.8801690386536897
Abdulbaki Türkoğlu,Adalet ve Kalkınma Partisi,80,0,Neutral,-0.005387932651621796,0.8531347821323726,-0.09869156296802559
Abdullah Erdem Cantimur,Adalet ve Kalkınma Partisi,223,0,Neutral,0.008672747869105935,0.31886537955426525,0.4692070207950099
Abdullah Gül,Adalet ve Kalkınma Partisi,1371,0,Neutral,0.006790201114141081,0.6291871806899768,0.48644231410898037
Abdülkadir Aksu,Adalet ve Kalkınma Partisi,1603,0,Neutral,-0.002200627695626678,-0.06379576061218824,-0.04449005538877281
Abdülkadir Ateş,Cumhuriyet Halk Partisi,228,-1,Pole -,-0.1414248226155066,0.20306713140286958,-0.7510989724040857
Abdüllatif Şener,Adalet ve Kalkınma Partisi,1128,0,Neutral,0.00015863223361829715,0.2229471462524604,-0.1866358959293114
Adem Tatlı,Adalet ve Kalkınma Partisi,66,0,Neutral,0.0018448521482631736,0.577739610437265,-0.2397587209310749
Afif Demirkıran,Adalet ve Kalkınma Partisi,158,0,Neutral,-0.006648534363757265,0.9603424419273519,-0.12236776758084945
Agah Kafkas,Adalet ve Kalkınma Partisi,300,0,Neutral,-0.0023782389248710387,0.02304882298295911,0.033554763523220614
Ahmet Ersin,Cumhuriyet Halk Partisi,387,-1,Pole -,-0.05645299932155789,-0.49175878691773633,-0.670521742831871
Ahmet Ertürk,Adalet ve Kalkınma Partisi,63,0,Neutral,-0.007357017852913025,0.8873636109416212,-0.029443824629445597
Ahmet Güryüz Ketenci,Cumhuriyet Halk Partisi,260,0,Neutral,-0.007863871676223093,-0.284277500265873,-0.3273256820582873
Ahmet Işık,Adalet ve Kalkınma Partisi,681,0,Neutral,0.0038812428997487547,0.05890204720811436,0.25119078640609455
Ahmet Küçük,Cumhuriyet Halk Partisi,197,0,Neutral,-0.007837604550864692,-0.41189900543709473,-0.4655327387217187
Ahmet Münir Erkal,Adalet ve Kalkınma Partisi,72,0,Neutral,-0.003565523753972802,0.11377211713157578,-0.09199187170646365
Ahmet Rıza Acar,Adalet ve Kalkınma Partisi,113,0,Neutral,0.0049397610745699,0.29343614603909096,0.2625203418268043
Ahmet Sırrı Özbek,Cumhuriyet Halk Partisi,83,0,Neutral,-0.0017563076176061003,-0.02864761744516591,-0.09297985877262338
Ahmet Yeni,Adalet ve Kalkınma Partisi,360,0,Neutral,-0.0007295025687483955,0.7051252480250032,-0.24304508480155643
Ahmet Çağlayan,Adalet ve Kalkınma Partisi,168,1,Pole +,0.08890261281543832,-0.25130294737536196,0.7071084060801119
Akif Hamzaçebi,Cumhuriyet Halk Partisi,1575,0,Neutral,0.0019209616870096771,0.0327455873041855,0.09507014147198498
Alaattin Büyükkaya,Adalet ve Kalkınma Partisi,276,0,Neutral,0.0007898564233498728,0.765705133725865,-0.040088584414303824
Alaettin Güven,Adalet ve Kalkınma Partisi,161,0,Neutral,0.007684057134052207,0.09277712761402007,-0.1075335558617513
Algan Hacaloğlu,Cumhuriyet Halk Partisi,1358,0,Neutral,-0.0024462213659048482,0.14848351535688717,0.20635822630920347
Ali Arslan,Cumhuriyet Halk Partisi,303,0,Neutral,-0.004924190942013838,-0.3325226507833887,-0.1583769948439922
Ali Aydın Dumanoğlu,Adalet ve Kalkınma Partisi,125,0,Neutral,-0.014978665250689225,0.17538522557572228,-0.36887670807253536
Ali Aydınlıoğlu,Adalet ve Kalkınma Partisi,89,0,Neutral,-0.0020786662518271063,0.23040200451521795,0.08111037700523467
Ali Babacan,Adalet ve Kalkınma Partisi,631,0,Neutral,0.001265147107328,0.7692565527325563,0.075985794863637
Ali Coşkun,Adalet ve Kalkınma Partisi,706,0,Neutral,-0.0018556108085176855,0.3570272262086657,-0.06441727564700865
Ali Dinçer,Cumhuriyet Halk Partisi,123,0,Neutral,0.007853589731338647,0.07094088378165454,0.25175697678491343
Ali Kemal Deveciler,Cumhuriyet Halk Partisi,603,0,Neutral,-0.002184084446093089,-0.22629670425807905,-0.1425433961507907
Ali Kemal Kumkumoğlu,Cumhuriyet Halk Partisi,336,0,Neutral,-0.0019208748070228168,-0.3298536776374787,-0.5643053311531387
Ali Osman Sali,Adalet ve Kalkınma Partisi,114,0,Neutral,-0.04361955374778285,0.04269140466169752,-0.5015443885361608
Ali Rıza Alaboyun,Adalet ve Kalkınma Partisi,157,0,Neutral,-0.008801758734980479,0.3364379699663838,-0.03450288468605118
Ali Rıza Bodur,Cumhuriyet Halk Partisi,87,0,Neutral,-0.0021420678168273706,-0.5463583678727109,-0.11947399966568266
Ali Rıza Gülçiçek,Cumhuriyet Halk Partisi,328,0,Neutral,0.033172151389123765,-0.23977856669789507,0.4607125126565292
Ali Topuz,Cumhuriyet Halk Partisi,392,0,Neutral,-0.021895605284280237,-0.5220756225537723,-0.5084472314550775
Ali Yüksel Kavuştu,Adalet ve Kalkınma Partisi,71,0,Neutral,0.0010778009206705345,0.4194159528662182,-0.2410935208940295
Ali Öğüten,Adalet ve Kalkınma Partisi,107,0,Neutral,1.6484149894954457e-05,0.8410688480577632,-0.08785078097833726
Alim Tunç,Adalet ve Kalkınma Partisi,103,0,Neutral,0.006928382523605064,0.32452080590749494,0.36210796539643303
Asım Aykan,Adalet ve Kalkınma Partisi,70,0,Neutral,-0.006722839221735461,0.049434761867890205,0.054603536374825214
Atila Emek,Cumhuriyet Halk Partisi,394,0,Neutral,-0.03882729484519637,-0.43284788352446385,-0.646335423048356
Atilla Başoğlu,Adalet ve Kalkınma Partisi,64,0,Neutral,0.006418232589828335,-0.79996055154513,-0.06415679345827835
Atilla Kart,Cumhuriyet Halk Partisi,3008,-1,Pole -,-0.08613859442124619,-0.3181315073928941,-0.7481732298568593
Atilla Koç,Adalet ve Kalkınma Partisi,92,0,Neutral,-0.002337585410259361,-0.04397753284872872,-0.09293098578775454
Ayhan Sefer Üstün,Adalet ve Kalkınma Partisi,217,-1,Pole -,-0.09665654976293346,0.04242498770680703,-0.8595902209059442
