party,avg_gatekeeper_score,median_gatekeeper_score,avg_cross_pressure,n_speakers
Cumhuriyet Halk Partisi,0.4887662575162268,0.0,0.0,122
Adalet ve Kalkınma Partisi,0.4644776811674667,0.0,0.0,185
Doğru Yol Partisi,0.39091969898574747,0.0,0.0,3
Anavatan Partisi,0.24115300294077358,0.0,0.0,12
Bağımsız,0.0,0.0,0.0,4
