term,outcome,variable,beta,std_error,t_stat,p_value,ci_low,ci_high,n_obs,r_squared,adj_r_squared,standardized,hypothesis_id,label,standardized_beta
22.0,opposition_speeches_per_active_speaker,intercept,3.7411009633702466,0.5785879220779468,6.465916104737231,6.962659360176815e-08,2.5750336262495575,4.907168300490936,47,0.010952900919573683,-0.0340037854022639,False,H1,Kriz aylarinda muhalefet konusma yogunlugu artar,-3.4775778228552776e-17
22.0,opposition_speeches_per_active_speaker,crisis_month,-0.19240622953350042,0.5333450688488939,-0.3607537423168949,0.7200098153013339,-1.2672925872810379,0.882480128214037,47,0.010952900919573683,-0.0340037854022639,False,H1,Kriz aylarinda muhalefet konusma yogunlugu artar,-0.05915401452514422
22.0,opposition_speeches_per_active_speaker,opposition_speeches_per_active_speaker_lag1,0.07070525683750228,0.13947251556342516,0.506947598613786,0.6147229295462089,-0.21038312855512792,0.3517936422301325,47,0.010952900919573683,-0.0340037854022639,False,H1,Kriz aylarinda muhalefet konusma yogunlugu artar,0.0679676406474513
22.0,macro_volatility_index,intercept,-0.36999617898536696,0.4321812929124652,-0.8561133604186488,0.39775852055155014,-1.2473708481684462,0.5073784901977122,39,0.054172945178685206,-0.026897945234570342,False,H2,Ekonomi ve enflasyon salience'i makro oynakligi yukari iter,9.392103070846017e-17
22.0,macro_volatility_index,economy_negative_share,9.801563221260858,8.989832770838655,1.0902942770031614,0.2830332006073808,-8.44876756046344,28.051894002985158,39,0.054172945178685206,-0.026897945234570342,False,H2,Ekonomi ve enflasyon salience'i makro oynakligi yukari iter,0.20346225549587213
22.0,macro_volatility_index,inflation_negative_share,16.460796497630444,21.891242849027453,0.7519352195374205,0.45711714819389426,-27.980789169433802,60.902382164694686,39,0.054172945178685206,-0.026897945234570342,False,H2,Ekonomi ve enflasyon salience'i makro oynakligi yukari iter,0.0688262954379173
22.0,macro_volatility_index,macro_volatility_index_lag1,-0.06283157029623597,0.10895303439570123,-0.5766849050577246,0.5678430478324872,-0.2840179892298813,0.15835484863740934,39,0.054172945178685206,-0.026897945234570342,False,H2,Ekonomi ve enflasyon salience'i makro oynakligi yukari iter,-0.061671284078121065
22.0,gov_opp_cosine_distance_total,intercept,0.022692913314236902,0.01541292568221776,1.472330028841846,0.14821390267763657,-0.008390213676369843,0.05377604030484365,46,0.0926618818442132,0.05046010890673469,False,H3,Kriz salience'i iktidar-muhalefet semantik mesafesini artirir,1.2081190888668251e-16
22.0,gov_opp_cosine_distance_total,crisis_negative_share,0.5224243451050417,0.2570600905140585,2.0323043692247924,0.048328823222924644,0.004013265832541579,1.0408354243775417,46,0.0926618818442132,0.05046010890673469,False,H3,Kriz salience'i iktidar-muhalefet semantik mesafesini artirir,0.25325091031839037
22.0,gov_opp_cosine_distance_total,gov_opp_cosine_distance_total_lag1,0.1993648480923821,0.08033766034551197,2.4815864344936647,0.01706620953467608,0.037348515169373625,0.36138118101539063,46,0.0926618818442132,0.05046010890673469,False,H3,Kriz salience'i iktidar-muhalefet semantik mesafesini artirir,0.22033348752461676
22.0,lead1_financial_stress_index,intercept,-0.5487145062745472,0.16480285745579967,-3.3295205844456497,0.0017201096619072764,-0.8804454527366724,-0.216983559812422,50,0.2739820149902731,0.22663301596789953,False,H4a,Negatif ekonomi soylemi gelecek ay finansal stresi ondeleyebilir,-1.0078625330458924e-16
22.0,lead1_financial_stress_index,economy_negative_share,11.709156721953034,3.8701495419906733,3.0255049824070217,0.004054365819125438,3.918949741719964,19.499363702186105,50,0.2739820149902731,0.22663301596789953,False,H4a,Negatif ekonomi soylemi gelecek ay finansal stresi ondeleyebilir,0.3254652017890379
22.0,lead1_financial_stress_index,gov_opp_cosine_distance_negative,0.5713108903682339,0.4607038872065741,1.2400826349269871,0.22123345522109883,-0.3560379365949522,1.49865971733142,50,0.2739820149902731,0.22663301596789953,False,H4a,Negatif ekonomi soylemi gelecek ay finansal stresi ondeleyebilir,0.10564467939946065
22.0,lead1_financial_stress_index,financial_stress_index,0.33720099559074374,0.09921511167802048,3.398685844199329,0.0014073595157277907,0.13749133394775667,0.5369106572337308,50,0.2739820149902731,0.22663301596789953,False,H4a,Negatif ekonomi soylemi gelecek ay finansal stresi ondeleyebilir,0.33875607233219907
22.0,lead1_bist_return,intercept,3.494906058038053,3.0198106480174953,1.1573262251831775,0.2529870976794244,-2.580169366371279,9.569981482447385,51,0.13457080187132087,0.07933064028863923,False,H4b,Pozitif reform soylemi gelecek ay BIST getirisiyle iliskilidir,-2.2960348372285248e-17
22.0,lead1_bist_return,reform_positive_share,-20.021605791996667,30.650470245824998,-0.6532234458857569,0.5167951865779625,-81.68239855039154,41.6391869663982,51,0.13457080187132087,0.07933064028863923,False,H4b,Pozitif reform soylemi gelecek ay BIST getirisiyle iliskilidir,-0.08710343667303293
22.0,lead1_bist_return,democracy_positive_betweenness_centrality,5.240067033790403,6.699882879659305,0.7821132291280986,0.43807066612902257,-8.238358792464668,18.718492860045473,51,0.13457080187132087,0.07933064028863923,False,H4b,Pozitif reform soylemi gelecek ay BIST getirisiyle iliskilidir,0.11302588460731268
22.0,lead1_bist_return,bist_return,-0.27965043553411095,0.13770852860744354,-2.0307415841417615,0.047959911877445416,-0.5566842616198195,-0.0026166094484023628,51,0.13457080187132087,0.07933064028863923,False,H4b,Pozitif reform soylemi gelecek ay BIST getirisiyle iliskilidir,-0.3134462532813881
