donem,files,speaker_inline,speaker_header_only,uppercase_like_unmatched,first_examples
22,639,240348,8007,53501,T. B. M. M. || III. - YOKLAMALAR || IV. - BAŞKANLIĞIN GENEL KURULA SUNUŞLARI || V. - ÖNERİLER || VI. - KANUN TASARI VE TEKLİFLERİ İLE KOMİSYONLARDAN GELEN DİĞER İŞLER || VII. - SORULAR VE CEVAPLAR || II. - GELEN KÂĞITLAR || III. - Y O K L A M A || IV. - BAŞKANLIĞIN GENEL KURULA SUNUŞLARI || V. - ÖNERİLER
23,488,162168,49255,111772,İ Ç İ N D E K İ L E R || I.- BAŞKANLIĞIN GENEL KURULA SUNUŞLARI || II.- DÖNEM SONU İŞLER BÜLTENİ || I.- BAŞKANLIĞIN GENEL KURULA SUNUŞLARI || ADANA: || Ali KÜÇÜKAYDIN || ADIYAMAN: || AĞRI: || AKSARAY: || AMASYA:
24,509,235300,52151,139896,TÜRKİYE BÜYÜK MİLLET || MECLİSİTUTANAK DERGİSİ || BAŞKANLARININ KONUŞMALARI || II.- BAŞKANLIĞIN GENEL KURULA SUNUŞLARIA) || III.- ANT İÇME || VI.- DÖNEM SONU İŞLER BÜLTENİ || BAŞKAN: || I.- OTURUM BAŞKANLARININ KONUŞMALARI || II.- BAŞKANLIĞIN GENEL || KURULA SUNUŞLARIA)
25,10,1147,254,735,"BAŞKANLIĞIN GENEL KURULA SUNUŞLARIA) || ANT İÇME || ÖLÜM, SAYGI DURUŞU VE TAZİYELER || ÖNERİLERA) || DÖNEM SONU İŞLER BÜLTENİ || BAŞKAN: || II.- OTURUM BAŞKANLARININ KONUŞMALARI || III.- ANT İÇME || ADANA: || AFYONKARAHİSAR:"
26,349,216523,23693,78471,"BAŞKANLIĞIN GENEL KURULA SUNUŞLARIA) || ANT İÇME || ÖLÜM, SAYGI DURUŞU VE TAZİYELER || DÖNEM SONU İŞLER BÜLTENİ || BAŞKANLIĞIN GENEL KURULA SUNUŞLARIA) || ANT İÇME || BENNUR KARABURUN || ADANA: || AFYONKARAHİSAR: || LEYLA ZANA"
27,537,272800,32785,83906,"BAŞKANLIĞIN GENEL KURULA SUNUŞLARIA) || ANT İÇME || ÖLÜM, SAYGI DURUŞU VE TAZİYELER || DÖNEM SONU İŞLER BÜLTENİ || BAŞKAN: || KADAK (İstanbul) || I.- BAŞKANLIĞIN GENEL KURULA || II.- OTURUM BAŞKANLARININ KONUŞMALARI || III.- ANT İÇME || ADANA:"
28,314,186015,1311,13959,II.- OTURUM BAŞKANLARININ KONUŞMALARI || III.- ANT İÇME || I.- BAŞKANLIĞIN GENEL KURULA SUNUŞLARI || II.- OTURUM BAŞKANLARININ KONUŞMALARI || III.- ANT İÇME || ADANA: || ADIYAMAN: || AFYONKARAHİSAR: || AĞRI: || AKSARAY:
