concept,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,concept_category,layer
Ekonomi,46396.65,0.7025730137656054,0.34545454545454546,0.42093891184327376,macro_economy,total
Hukuk Devleti,40395.450000000004,0.49956498813410205,0.19999999999999998,0.10771724836207425,democratic_reform,total
Guvenlik,27230.7,0.45794753385807857,0.01818181818181818,0.2711071014029573,security_conflict,total
Anayasa,17267.15,0.45394418545002047,0.03636363636363636,0.09432849377310644,constitutional_conflict,total
Demokrasi,14176.8,0.3369711048577362,0.0,0.02150824712925857,democratic_reform,total
Faiz,6114.349999999999,0.6155077211230539,0.14545454545454545,0.3616244395668046,macro_economy,total
Enflasyon,6089.2,0.4564885610749711,0.0,0.15861498517520495,macro_economy,total
Reform,3303.1500000000005,0.6595989240803949,0.2545454545454545,0.4573179082824457,democratic_reform,total
Avrupa Birligi,1908.6,0.5865161319176296,0.03636363636363636,0.37229879797530846,democratic_reform,total
Vesayet,1798.1000000000001,0.4383945128474923,0.0,0.20695333792473092,constitutional_conflict,total
Egemenlik,801.6999999999999,0.5234158315489246,0.0,0.30840216358110545,security_conflict,total
IMF,339.5,0.5536415141994921,0.03636363636363636,0.2944983963195599,macro_economy,total
Ekonomi,9705.23232,0.4353152005839601,0.0,0.08723395702872802,macro_economy,positive
Hukuk Devleti,8077.754970000001,0.6430524147229769,0.2545454545454545,0.43854677905467576,democratic_reform,positive
Guvenlik,3078.295975,0.4721915922255123,0.12727272727272726,0.09240360937856044,security_conflict,positive
Anayasa,2963.429115,0.4953549367662625,0.0,0.3183807357260663,constitutional_conflict,positive
Demokrasi,2695.1932699999998,0.39105961252222216,0.0,0.08326276195515907,democratic_reform,positive
Faiz,831.4497,0.6124165708176836,0.07272727272727272,0.42784235780030483,macro_economy,positive
Reform,743.669555,0.6078157166769323,0.3090909090909091,0.33859686395896105,democratic_reform,positive
Enflasyon,685.944805,0.5485190144631991,0.0,0.316583024868802,macro_economy,positive
Avrupa Birligi,492.02991,0.5748670382998038,0.16363636363636364,0.3799935089950386,democratic_reform,positive
Egemenlik,119.094295,0.38287424531370856,0.05454545454545454,0.033812596262435095,security_conflict,positive
IMF,38.47126000000001,0.5660579677991652,0.0,0.3652157009548762,macro_economy,positive
Vesayet,3.075,0.44660279186597013,0.07272727272727272,0.07991842135229392,constitutional_conflict,positive
Ekonomi,11411.6538,0.5054652555391127,0.01818181818181818,0.2969618987183768,macro_economy,negative
Hukuk Devleti,6915.895295,0.4975085567991607,0.18181818181818182,0.17842236726085203,democratic_reform,negative
Guvenlik,6280.5542399999995,0.582808282834737,0.19999999999999998,0.2635077378572285,security_conflict,negative
Anayasa,2578.7576599999998,0.6159379293670376,0.0,0.3934438584543731,constitutional_conflict,negative
Demokrasi,1905.9099399999998,0.3398784277149599,0.0,0.036435181938940873,democratic_reform,negative
Enflasyon,1456.1153499999998,0.4783259718865391,0.0,0.228922857082625,macro_economy,negative
Faiz,1097.29403,0.5281513144962648,0.0,0.35359645696493547,macro_economy,negative
Vesayet,1070.7543999999998,0.40316286655288086,0.0,0.11465555436182732,constitutional_conflict,negative
Reform,324.94324,0.7528631139612013,0.5818181818181818,0.4809618193991094,democratic_reform,negative
Avrupa Birligi,135.997145,0.37604686985849056,0.0,0.05317208980110584,democratic_reform,negative
Egemenlik,86.89871,0.5822162919141264,0.0,0.35780477151240747,security_conflict,negative
IMF,54.10248999999999,0.5833709168258752,0.12727272727272726,0.3188406295188524,macro_economy,negative
