party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer
Cumhuriyet Halk Partisi,49880.299999999996,0.7246246500253717,0.08333333333333333,0.4274831928165871,opposition,total
Halkların Demokratik Partisi,37741.2,0.6727001783782356,0.05555555555555555,0.37924842816619464,opposition,total
Adalet ve Kalkınma Partisi,31521.6,0.6817081842900427,0.19444444444444442,0.4054300950411247,opposition,total
İYİ Parti,26764.15,0.6293258557761832,0.2222222222222222,0.36176880952095675,opposition,total
Milliyetçi Hareket Partisi,17721.149999999998,0.6100868529116897,0.0,0.334249143393548,opposition,total
Bağımsız,709.75,0.6172795199394642,0.2222222222222222,0.3220237961477913,opposition,total
Türkiye İşçi Partisi,522.9,0.4955918941841313,0.0,0.20033914908721087,opposition,total
Büyük Birlik Partisi,426.1,0.3803984495304925,0.0,0.05762959758903523,opposition,total
Demokrat Parti,312.95,0.5699553790704766,0.0,0.340003764600083,opposition,total
Saadet Partisi,221.25,0.3754972839368469,0.0,0.06080457074345886,opposition,total
Adalet ve Kalkınma Partisi,7755.01708,0.6741748193262208,0.0,0.42537330556778863,opposition,positive
Cumhuriyet Halk Partisi,7576.055245,0.5640446495339804,0.0,0.3378279190052256,opposition,positive
İYİ Parti,5251.9709,0.6884772501396136,0.25,0.4373681912435693,opposition,positive
Milliyetçi Hareket Partisi,4484.194809999999,0.5562470883363787,0.0,0.29790891864857655,opposition,positive
Halkların Demokratik Partisi,4097.702345000001,0.5483370076107578,0.0,0.32455376839402905,opposition,positive
Bağımsız,90.33989,0.732159217453393,0.41666666666666663,0.3919031932899049,opposition,positive
Büyük Birlik Partisi,70.15186,0.4033357470864736,0.0,0.06612047667486065,opposition,positive
Türkiye İşçi Partisi,51.387950000000004,0.4791680958111266,0.0,0.2804395087291822,opposition,positive
Demokrat Parti,31.000040000000006,0.5328847265116804,0.0,0.2829504281533766,opposition,positive
Saadet Partisi,25.820055000000004,0.36547790456084006,0.0,0.05372846317503719,opposition,positive
Cumhuriyet Halk Partisi,11048.535835,0.5642242143007244,0.027777777777777776,0.3357384067286769,opposition,negative
Halkların Demokratik Partisi,10462.95436,0.6132708033839638,0.027777777777777776,0.36879413451786536,opposition,negative
İYİ Parti,5134.669555,0.5208789662454034,0.0,0.27485500465556884,opposition,negative
Adalet ve Kalkınma Partisi,4140.5626250000005,0.645082829510158,0.1111111111111111,0.35837974841719983,opposition,negative
Milliyetçi Hareket Partisi,2096.81389,0.5555426404392723,0.1111111111111111,0.2442136295450603,opposition,negative
Türkiye İşçi Partisi,135.464715,0.6001531826304743,0.0,0.35564764452629505,opposition,negative
Bağımsız,123.34664,0.5598326780526193,0.0,0.27871943993037857,opposition,negative
Büyük Birlik Partisi,83.32891499999998,0.4082092674418817,0.0,0.1198613356020489,opposition,negative
Demokrat Parti,62.547644999999996,0.7847923115403269,0.41666666666666663,0.4797019480838064,opposition,negative
Saadet Partisi,30.65212,0.46994711045433024,0.0,0.19748043461881545,opposition,negative
