speaker,party,total_mentions,community,community_label,eigen_score,embed1,embed2
Abdulhamit Gül,Adalet ve Kalkınma Partisi,581,1,Pole +,0.151682705953076,-0.7915356947707399,0.2626152889050608
Abdulkadir Karaduman,Saadet Partisi,188,0,Neutral,0.0007335989681117594,0.08874024723579839,-0.09617510231185754
Abdullah Güler,Adalet ve Kalkınma Partisi,265,1,Pole +,0.19833791216997876,-0.7366243621322306,0.5073868447814923
Abdullah Koç,Halkların Demokratik Partisi,1454,-1,Pole -,-0.11755264253692316,0.7933657230224739,-0.30347005241836267
Abdullah Nejat Koçer,Adalet ve Kalkınma Partisi,110,0,Neutral,0.028159517985246185,-0.6728204117384528,-0.5871434463768825
Abdurrahman Tutdere,Cumhuriyet Halk Partisi,512,0,Neutral,-0.036075842329318125,0.6022641754977854,0.24234040714677982
Abdüllatif Şener,Cumhuriyet Halk Partisi,451,0,Neutral,-0.007518040537290438,0.21254005278445867,0.2771495725897805
Ahat Andican,İYİ Parti,100,1,Pole +,0.12320472585131831,-0.5494577262134918,0.6659632583242278
Ahmet Akın,Cumhuriyet Halk Partisi,122,0,Neutral,-0.010360333233647975,0.17716327740367105,0.46668635870080266
Ahmet Erbaş,Milliyetçi Hareket Partisi,127,0,Neutral,0.0044908504680924895,-0.21929025917221268,-0.10850991362159973
Ahmet Kamil Erozan,İYİ Parti,407,0,Neutral,-0.0028323153137241684,-0.06366154853830007,-0.22172237655830185
Ahmet Kaya,Cumhuriyet Halk Partisi,168,0,Neutral,-0.0008103337610078226,0.08557353101652138,0.5900236786509322
Ahmet Tan,Adalet ve Kalkınma Partisi,92,0,Neutral,0.006961499647374015,-0.3025190633806259,-0.34128065723231366
Ahmet Vehbi Bakırlıoğlu,Cumhuriyet Halk Partisi,136,0,Neutral,-0.005691701476577793,0.20114701596774257,-0.25939918221324976
Ahmet Yıldız,Adalet ve Kalkınma Partisi,83,0,Neutral,-8.710965622572061e-05,-0.009923755854609974,-0.14770469082228596
Ahmet Önal,Cumhuriyet Halk Partisi,97,0,Neutral,-0.028371378668458284,0.6097252986094291,0.3725196802142984
Ahmet Özdemir,Adalet ve Kalkınma Partisi,158,0,Neutral,-0.008815763891705002,0.05939270003309172,-0.17017893449560964
Ahmet Özyürek,Milliyetçi Hareket Partisi,144,0,Neutral,0.0043691448244757266,-0.49897870133712474,-0.2570964437547315
Ahmet Şık,Türkiye İşçi Partisi,193,-1,Pole -,-0.15195105781400503,0.6393888603518657,-0.5532928713407531
Akif Hamzaçebi,Cumhuriyet Halk Partisi,536,0,Neutral,0.003187129140290025,-0.1811169877931499,-0.07603194685209093
Ali Cumhur Taşkın,Adalet ve Kalkınma Partisi,417,0,Neutral,0.023157789350923993,-0.6652687093857717,-0.4383450735565525
Ali Fazıl Kasap,Cumhuriyet Halk Partisi,102,0,Neutral,-0.044211458285847306,0.832099455355721,-0.06078192315750261
Ali Haydar Hakverdi,Cumhuriyet Halk Partisi,136,0,Neutral,0.048781027816882754,-0.657898932911771,0.40678253041421153
Ali Kenanoğlu,Halkların Demokratik Partisi,423,0,Neutral,-0.03058598260507138,0.6651842362149532,-0.07040522918455867
Ali Keven,Cumhuriyet Halk Partisi,98,0,Neutral,0.006888402797483772,-0.16957510595510783,0.3164790462541323
