concept,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,concept_category,layer,year
Ekonomi,6159.25,0.6468719128045709,0.21818181818181817,0.46542165829220755,macro_economy,total,2018
Hukuk Devleti,4618.400000000001,0.4923780490063919,0.18181818181818182,0.12793974792478255,democratic_reform,total,2018
Guvenlik,3595.6500000000005,0.540724267423469,0.03636363636363636,0.3448922238392143,security_conflict,total,2018
Anayasa,1972.8,0.6445181278382976,0.2909090909090909,0.35988068566375936,constitutional_conflict,total,2018
Demokrasi,1776.7000000000003,0.3375618215330173,0.0,0.027599846218740898,democratic_reform,total,2018
Faiz,674.3,0.550424173617096,0.03636363636363636,0.30567914786903677,macro_economy,total,2018
Enflasyon,469.70000000000005,0.5394158674670605,0.18181818181818182,0.24017988625415565,macro_economy,total,2018
Reform,304.25,0.5083551980725565,0.0,0.27425030206553414,democratic_reform,total,2018
Avrupa Birligi,184.35,0.4757255137376357,0.0,0.3114686385712326,democratic_reform,total,2018
Vesayet,128.35,0.5330081491535072,0.07272727272727272,0.22237723177924149,constitutional_conflict,total,2018
Egemenlik,66.15,0.549587212396759,0.05454545454545454,0.3779260057608764,security_conflict,total,2018
IMF,54.4,0.34562840483227475,0.0,0.04643098275912683,macro_economy,total,2018
Ekonomi,9298.9,0.6641642836812057,0.18181818181818182,0.40083711201237515,macro_economy,total,2019
Hukuk Devleti,7932.0,0.6215299137022531,0.34545454545454546,0.32446420561533545,democratic_reform,total,2019
Guvenlik,5941.8,0.48209277494137687,0.0,0.21036326373959036,security_conflict,total,2019
Anayasa,3439.6,0.392114190738957,0.0,0.06399018753491721,constitutional_conflict,total,2019
Demokrasi,2986.1500000000005,0.3830171341060692,0.0,0.06012160295690711,democratic_reform,total,2019
Reform,858.5,0.7559165965879191,0.3090909090909091,0.4802675411819303,democratic_reform,total,2019
Faiz,852.05,0.35396309786178154,0.0,0.04858895067856472,macro_economy,total,2019
Enflasyon,691.45,0.557183543369526,0.0,0.3061344457292146,macro_economy,total,2019
Vesayet,355.35,0.5060748055012948,0.0,0.26758242077150346,constitutional_conflict,total,2019
Avrupa Birligi,335.7,0.5287858926760179,0.18181818181818182,0.24445419593254492,democratic_reform,total,2019
Egemenlik,209.25,0.5601863414045894,0.05454545454545454,0.3185124408973105,security_conflict,total,2019
IMF,78.69999999999999,0.587767031689632,0.0,0.3500657909732272,macro_economy,total,2019
Hukuk Devleti,11817.199999999999,0.6180532155763871,0.23636363636363636,0.33582739979810905,democratic_reform,total,2020
Ekonomi,10182.25,0.6584445553490272,0.21818181818181817,0.36417297340950466,macro_economy,total,2020
Guvenlik,6785.050000000001,0.5798040035447324,0.18181818181818182,0.3200227943151152,security_conflict,total,2020
Anayasa,4497.749999999999,0.5509471691408242,0.0,0.2745940165274117,constitutional_conflict,total,2020
Demokrasi,3900.55,0.3855162687335574,0.0,0.06805850178688086,democratic_reform,total,2020
Faiz,1124.65,0.4767215141616892,0.01818181818181818,0.19210603162258663,macro_economy,total,2020
Reform,819.4499999999999,0.7015387344248603,0.2909090909090909,0.4668460826640936,democratic_reform,total,2020
Vesayet,582.4499999999999,0.5531883910028315,0.0,0.3428868012504641,constitutional_conflict,total,2020
Avrupa Birligi,573.35,0.5283660032324671,0.05454545454545454,0.28528085567446165,democratic_reform,total,2020
Enflasyon,454.4,0.4739262474323055,0.0,0.14407373303048054,macro_economy,total,2020
Egemenlik,194.5,0.37038720748967185,0.0,0.06490726145548488,security_conflict,total,2020
IMF,68.69999999999999,0.5536614846392955,0.0,0.3055697465617796,macro_economy,total,2020
Ekonomi,9264.150000000001,0.6493390558964114,0.19999999999999998,0.4308772314847381,macro_economy,total,2021
Hukuk Devleti,7533.6,0.4939883814208418,0.18181818181818182,0.2895712971800213,democratic_reform,total,2021
Guvenlik,5272.499999999999,0.35709140894365626,0.18181818181818182,0.029411569946018075,security_conflict,total,2021
Anayasa,2951.6499999999996,0.5135108744236312,0.0,0.3414972365613046,constitutional_conflict,total,2021
Demokrasi,2445.7,0.3355371611996509,0.0,0.05379678747421994,democratic_reform,total,2021
Faiz,1579.75,0.5217578485631622,0.19999999999999998,0.3734797629288662,macro_economy,total,2021
Enflasyon,986.1,0.5482561327991461,0.07272727272727272,0.4063308562001504,macro_economy,total,2021
Reform,823.4,0.5250726546967955,0.0,0.35770066729454236,democratic_reform,total,2021
Avrupa Birligi,324.8,0.5812738311548804,0.21818181818181817,0.3866485030686052,democratic_reform,total,2021
Vesayet,306.45000000000005,0.26473784663386835,0.0,0.005347662602129991,constitutional_conflict,total,2021
Egemenlik,130.60000000000002,0.4910162173927759,0.32727272727272727,0.15288208775847403,security_conflict,total,2021
IMF,79.4,0.34639810331419035,0.0,0.06836312815168857,macro_economy,total,2021
Ekonomi,9458.099999999999,0.6803361669002133,0.2909090909090909,0.4401781771809986,macro_economy,total,2022
Hukuk Devleti,6676.650000000001,0.5647069103821426,0.19999999999999998,0.2775405649457497,democratic_reform,total,2022
Guvenlik,4663.4,0.6027050664538043,0.10909090909090909,0.38767600353183695,security_conflict,total,2022
Anayasa,3301.1,0.5142265354113824,0.0,0.19665692287265713,constitutional_conflict,total,2022
Enflasyon,2824.05,0.44978289475923494,0.0,0.14216141339990604,macro_economy,total,2022
Demokrasi,2458.4,0.362495016078832,0.0,0.05694509393711094,democratic_reform,total,2022
Faiz,1586.9499999999998,0.5150848964321153,0.05454545454545454,0.2213299337273174,macro_economy,total,2022
Avrupa Birligi,423.2,0.5398944197819857,0.0,0.3342840259389051,democratic_reform,total,2022
Vesayet,335.55,0.46579421666698406,0.07272727272727272,0.197425313202518,constitutional_conflict,total,2022
Reform,322.59999999999997,0.6799894063836939,0.2727272727272727,0.44286422638709244,democratic_reform,total,2022
Egemenlik,173.70000000000002,0.5306388543788179,0.0,0.3260779030819425,security_conflict,total,2022
IMF,53.9,0.39445803195449997,0.0,0.12095512054127676,macro_economy,total,2022
Ekonomi,2033.9999999999998,0.557923066079772,0.23636363636363636,0.4006138247608383,macro_economy,total,2023
Hukuk Devleti,1817.6000000000001,0.5511685466058585,0.03636363636363636,0.3869355683188315,democratic_reform,total,2023
