party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer,year
Cumhuriyet Halk Partisi,6164.5,0.6241550394030828,0.027777777777777776,0.40697078846386914,opposition,total,2018
Adalet ve Kalkınma Partisi,4742.1,0.7308585662022841,0.3055555555555555,0.44224715291570005,opposition,total,2018
Halkların Demokratik Partisi,3932.9,0.5642991245542015,0.0,0.31121227861784145,opposition,total,2018
Milliyetçi Hareket Partisi,2765.7499999999995,0.5779111125102835,0.0,0.33631757130142037,opposition,total,2018
İYİ Parti,1850.1,0.5849360848222933,0.1111111111111111,0.34312243527919933,opposition,total,2018
Bağımsız,287.65,0.5553733037031027,0.19444444444444442,0.29626380987206025,opposition,total,2018
Demokrat Parti,84.74999999999999,0.5246513626175227,0.2222222222222222,0.209850864910551,opposition,total,2018
Türkiye İşçi Partisi,71.55,0.6244636283739523,0.0,0.40710205443501946,opposition,total,2018
Büyük Birlik Partisi,69.25,0.38142201982854274,0.0,0.11006951564608654,opposition,total,2018
Saadet Partisi,35.75,0.34135592798985753,0.0,0.037942388052659703,opposition,total,2018
Cumhuriyet Halk Partisi,10070.449999999999,0.6091285506097968,0.0,0.3412532145315196,opposition,total,2019
Halkların Demokratik Partisi,6763.2,0.6616091015327341,0.2222222222222222,0.34556068696915326,opposition,total,2019
Adalet ve Kalkınma Partisi,6288.749999999999,0.6799242807257312,0.08333333333333333,0.4062803274434299,opposition,total,2019
İYİ Parti,4993.449999999999,0.6561317754373893,0.0,0.39438846566853003,opposition,total,2019
Milliyetçi Hareket Partisi,4151.349999999999,0.6132472635669318,0.05555555555555555,0.36152731819650713,opposition,total,2019
Türkiye İşçi Partisi,230.0,0.3861122829609451,0.0,0.056052343344051785,opposition,total,2019
Bağımsız,199.8,0.6593624228365499,0.1388888888888889,0.35838323087582735,opposition,total,2019
Büyük Birlik Partisi,129.54999999999998,0.43978305189784594,0.0,0.1243829785359579,opposition,total,2019
Demokrat Parti,90.54999999999998,0.7280662337796381,0.2222222222222222,0.40259939700255015,opposition,total,2019
Saadet Partisi,62.349999999999994,0.39476302154331705,0.0,0.060731226625070626,opposition,total,2019
Cumhuriyet Halk Partisi,12850.4,0.670675580404404,0.0,0.3925288290329559,opposition,total,2020
Halkların Demokratik Partisi,9928.35,0.7208074587780638,0.2222222222222222,0.3971890968953048,opposition,total,2020
Adalet ve Kalkınma Partisi,7913.650000000001,0.6737864257422301,0.05555555555555555,0.38967130031315933,opposition,total,2020
İYİ Parti,6092.1,0.7246365545687296,0.2222222222222222,0.39369263825032974,opposition,total,2020
