party,concept_slug,concept,concept_category,speech_count,mention_count,beme_positive_hits,beme_negative_hits,salience_weight,layer_weight,beme_score,layer
Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,3760,11058,3496,3182,13395.3,13395.3,0.04701302590208115,total
Cumhuriyet Halk Partisi,economy,Ekonomi,macro_economy,3683,9822,2910,6272,13035.7,13035.7,-0.3661112926059022,total
Halkların Demokratik Partisi,law_state,Hukuk Devleti,democratic_reform,3214,9686,2172,3626,11715.3,11715.3,-0.250732884980169,total
İYİ Parti,economy,Ekonomi,macro_economy,2025,7444,2906,3614,9726.0,9726.0,-0.1085723048612176,total
Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,1970,6472,4160,1507,8455.45,8455.45,0.4680663373323924,total
Halkların Demokratik Partisi,economy,Ekonomi,macro_economy,1907,6082,1439,4475,8151.9,8151.9,-0.5132713440405748,total
Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,2970,6323,1722,2317,7736.65,7736.65,-0.14727722772277227,total
Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,2421,6803,1399,1218,7718.95,7718.95,0.06913674560733385,total
Milliyetçi Hareket Partisi,economy,Ekonomi,macro_economy,886,4978,3038,1632,6612.5,6612.5,0.3010062085206594,total
Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,2421,5591,1577,1069,6517.1,6517.1,0.19191537589724217,total
Halkların Demokratik Partisi,democracy,Demokrasi,democratic_reform,2195,4948,1851,1898,6260.15,6260.15,-0.012533333333333334,total
İYİ Parti,law_state,Hukuk Devleti,democratic_reform,1372,4697,1969,1214,5811.05,5811.05,0.23712311557788945,total
Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,2484,4649,784,1989,5619.55,5619.55,-0.4343907714491709,total
Milliyetçi Hareket Partisi,security,Guvenlik,security_conflict,1233,4076,1324,1643,5114.45,5114.45,-0.10747978436657682,total
Halkların Demokratik Partisi,security,Guvenlik,security_conflict,1978,3929,641,2076,4879.95,4879.95,-0.5279617365710081,total
