layer,party_nodes,concept_nodes,bipartite_edges,party_projection_edges,concept_projection_edges,party_projection_density,concept_projection_density,party_bloc_assortativity,avg_party_closeness,avg_party_betweenness,avg_concept_closeness,avg_concept_betweenness,party_avg_path_lcc,concept_avg_path_lcc,year
total,10,12,93,23,24,0.5111111111111111,0.36363636363636365,,0.5509426170005123,0.0861111111111111,0.513683224823553,0.0893939393939394,1.9041742085406599,2.02241585628597,2018
total,10,12,104,23,24,0.5111111111111111,0.36363636363636365,,0.5828127984890878,0.07222222222222222,0.5327329671883853,0.0893939393939394,1.8065707782681537,1.9705319862083992,2019
total,10,12,99,23,24,0.5111111111111111,0.36363636363636365,,0.5857290578971537,0.07222222222222222,0.5375462328939707,0.08333333333333333,1.8108137972280203,1.925826011930681,2020
total,10,12,86,23,24,0.5111111111111111,0.36363636363636365,,0.5213104837470272,0.08333333333333333,0.4689982930365842,0.11515151515151516,2.032948453012237,2.279885932558216,2021
total,10,12,93,23,24,0.5111111111111111,0.36363636363636365,,0.5603178641566038,0.07222222222222222,0.5250093679653088,0.08333333333333333,1.8687963866040709,1.9714390003012596,2022
total,7,12,60,10,24,0.47619047619047616,0.36363636363636365,,0.5049052676825676,0.15238095238095237,0.48532484217472077,0.0909090909090909,2.126366346903425,2.156190619578636,2023
positive,10,12,71,21,21,0.4666666666666667,0.3181818181818182,,0.4039420298944991,0.09444444444444443,0.22004731404812797,0.11818181818181818,2.7144499212441677,5.86699169292324,2018
positive,10,11,73,23,20,0.5111111111111111,0.36363636363636365,,0.4042624070198538,0.09166666666666665,0.4729090758155202,0.10909090909090909,2.653080704131603,2.2288592015893753,2019
positive,10,12,75,23,23,0.5111111111111111,0.3484848484848485,,0.46993409477937115,0.07222222222222222,0.48240552373578205,0.09999999999999999,2.335620173436946,2.165356531157121,2020
positive,10,12,63,19,24,0.4222222222222222,0.36363636363636365,,0.2692915262002111,0.1,0.4926586813346085,0.09242424242424242,4.509736419947987,2.133561558611434,2021
positive,10,12,69,22,24,0.4888888888888889,0.36363636363636365,,0.4425446192713414,0.075,0.47308226697166195,0.08939393939393937,2.361691835794107,2.19078984758213,2022
positive,5,10,44,5,16,0.5,0.35555555555555557,,0.5227075378093016,0.2333333333333333,0.45919885127894,0.11388888888888889,1.9802512121635165,2.2609102119199322,2023
negative,10,12,73,22,24,0.4888888888888889,0.36363636363636365,,0.501688477367839,0.08333333333333334,0.42458992730272227,0.12272727272727274,2.113002402548312,2.49137473707216,2018
negative,10,12,84,23,24,0.5111111111111111,0.36363636363636365,,0.4850081484699789,0.06944444444444443,0.4798814258568491,0.10303030303030301,2.1985640791549024,2.16877876681904,2019
negative,10,12,77,23,24,0.5111111111111111,0.36363636363636365,,0.528220091313184,0.07777777777777777,0.48949751009191417,0.08636363636363636,1.9889086527931101,2.11690715108801,2020
negative,10,12,69,23,24,0.5111111111111111,0.36363636363636365,,0.48148766669264187,0.09999999999999999,0.5017830857350701,0.08333333333333333,2.187475188652959,2.077118956741626,2021
negative,10,12,69,23,24,0.5111111111111111,0.36363636363636365,,0.48567517068824556,0.0638888888888889,0.4807443220462673,0.09545454545454546,2.1062294985936054,2.2151032999137468,2022
negative,6,12,50,8,23,0.5333333333333333,0.3484848484848485,,0.5715644787493386,0.13333333333333333,0.4614464894750597,0.09090909090909093,1.8301406601064276,2.335638895511809,2023
