year,party,position,party_short
2018,Adalet ve Kalkınma Partisi,1.8106787048324402,AKP
2018,Bağımsız,-0.5349609287184063,IND
2018,Büyük Birlik Partisi,2.6912642623440934,BBP
2018,Cumhuriyet Halk Partisi,-0.2713147891687119,CHP
2018,Demokrat Parti,-0.1684865486242214,DP
2018,Halkların Demokratik Partisi,-0.9630015692424528,HDP
2018,Milliyetçi Hareket Partisi,1.2724148958202839,MHP
2018,Saadet Partisi,0.7225510783090858,SP
2018,Türkiye İşçi Partisi,-2.773246228693117,TIP
2018,İYİ Parti,-0.3975500044806658,IYI
2019,Adalet ve Kalkınma Partisi,2.2344038879095938,AKP
2019,Bağımsız,-1.1551977989792892,IND
2019,Büyük Birlik Partisi,-0.1732780456092783,BBP
2019,Cumhuriyet Halk Partisi,-0.2233993680707597,CHP
2019,Demokrat Parti,-1.6837856413127874,DP
2019,Halkların Demokratik Partisi,-1.9179015160260287,HDP
2019,Milliyetçi Hareket Partisi,1.2842471123005896,MHP
2019,Saadet Partisi,-0.06697760708998632,SP
2019,Türkiye İşçi Partisi,-1.4241676408122896,TIP
2019,İYİ Parti,0.6110563409661326,IYI
2020,Adalet ve Kalkınma Partisi,1.9057385931750097,AKP
2020,Bağımsız,-1.7462946437847269,IND
2020,Büyük Birlik Partisi,1.4037844433787483,BBP
2020,Cumhuriyet Halk Partisi,-0.052562601959523475,CHP
2020,Demokrat Parti,1.0534140262648126,DP
2020,Halkların Demokratik Partisi,-1.3639242384618502,HDP
2020,Milliyetçi Hareket Partisi,1.9383303514985182,MHP
2020,Saadet Partisi,-0.20364330043360834,SP
2020,Türkiye İşçi Partisi,-1.066967660675505,TIP
2020,İYİ Parti,0.14089698982560767,IYI
2021,Adalet ve Kalkınma Partisi,1.9680956978668513,AKP
2021,Bağımsız,0.06169774678453438,IND
2021,Büyük Birlik Partisi,-1.160214534583958,BBP
2021,Cumhuriyet Halk Partisi,-0.6684392644859398,CHP
2021,Demokrat Parti,-0.5603674209960456,DP
2021,Halkların Demokratik Partisi,-1.9697238642804367,HDP
2021,Milliyetçi Hareket Partisi,3.033827039035498,MHP
2021,Saadet Partisi,-1.7343121848383214,SP
2021,Türkiye İşçi Partisi,-0.772150878577184,TIP
2021,İYİ Parti,0.5831363387668531,IYI
2022,Adalet ve Kalkınma Partisi,2.256362303176352,AKP
2022,Bağımsız,-1.1552161463836519,IND
2022,Büyük Birlik Partisi,0.10931569616238791,BBP
2022,Cumhuriyet Halk Partisi,-0.48156602910113894,CHP
2022,Demokrat Parti,-1.1051599775478769,DP
2022,Halkların Demokratik Partisi,-1.4588982491067592,HDP
2022,Milliyetçi Hareket Partisi,2.002495539028208,MHP
2022,Saadet Partisi,0.5733070439463641,SP
2022,Türkiye İşçi Partisi,-0.5932775578343716,TIP
2022,İYİ Parti,-0.37611841824856834,IYI
2023,Adalet ve Kalkınma Partisi,1.631250740749129,AKP
2023,Cumhuriyet Halk Partisi,-0.781169221329227,CHP
2023,Demokrat Parti,-0.1254164279045375,DP
2023,Halkların Demokratik Partisi,-2.5635842037339662,HDP
2023,Milliyetçi Hareket Partisi,4.5070500856346944,MHP
2023,Türkiye İşçi Partisi,-2.4877302612123398,TIP
2023,İYİ Parti,0.3846858545317414,IYI
