speaker,party,community,community_label,total_mentions,pos_to_plus,pos_to_minus,neg_to_plus,neg_to_minus,reach_plus,reach_minus,positive_bridge_balance,signed_reach_balance,gatekeeper_score,cross_pressure
Alpay Antmen,Cumhuriyet Halk Partisi,1,Pole +,816.0,9.263489257059495,0.0,0.0,9.601140499118555,9.263489257059495,9.601140499118555,0.0,0.4910506793028741,3.0240288921648695,0.0
Şenol Sunat,İYİ Parti,1,Pole +,439.0,8.2470963047964,0.0,0.0,8.346652782480092,8.2470963047964,8.346652782480092,0.0,0.49700018126843837,2.997064931439292,0.0
Yusuf Beyazıt,Adalet ve Kalkınma Partisi,1,Pole +,91.0,7.666853245079199,0.0,0.0,8.01559199640889,7.666853245079199,8.01559199640889,0.0,0.48888123800410727,2.9205594780739323,0.0
Gültekin Uysal,Demokrat Parti,-1,Pole -,135.0,0.0,7.106596798569106,7.301366035471158,0.0,7.301366035471158,7.106596798569106,0.0,0.4932409168411938,2.9049074825194974,0.0
Şevin Coşkun,Halkların Demokratik Partisi,-1,Pole -,192.0,0.0,7.169177103628936,6.837214422791117,0.0,6.837214422791117,7.169177103628936,0.0,0.4881496000883617,2.861162624344009,0.0
Bekir Bozdağ,Adalet ve Kalkınma Partisi,1,Pole +,161.0,9.513724498909333,0.0,0.0,8.108529964852261,9.513724498909333,8.108529964852261,0.0,0.4601301145132431,2.802333045921829,0.0
Hasan Subaşı,İYİ Parti,1,Pole +,801.0,6.679904773416398,0.0,0.0,6.262994460272045,6.679904773416398,6.262994460272045,0.0,0.48389424554017285,2.7981227683386862,0.0
Ahmet Şık,Türkiye İşçi Partisi,-1,Pole -,193.0,0.0,6.935104579800193,6.40800589798937,0.0,6.40800589798937,6.935104579800193,0.0,0.48024828305031625,2.7916205127985836,0.0
Mustafa Adıgüzel,Cumhuriyet Halk Partisi,-1,Pole -,179.0,0.0,5.234216470228542,5.040243330670126,0.0,5.040243330670126,5.234216470228542,0.0,0.4905604214577505,2.7237987706560363,0.0
Süleyman Bülbül,Cumhuriyet Halk Partisi,1,Pole +,1126.0,6.111827831690242,0.0,0.0,5.53494698335531,6.111827831690242,5.53494698335531,0.0,0.4752343091350846,2.6980637442242434,0.0
Belgin Uygur,Adalet ve Kalkınma Partisi,1,Pole +,83.0,4.590304105506706,0.0,0.0,4.49286464383906,4.590304105506706,4.49286464383906,0.0,0.4946362626663775,2.685723062439653,0.0
Muharrem Erkek,Cumhuriyet Halk Partisi,0,Neutral,369.0,2.217470971872628,0.0,0.0,2.336901994292271,2.217470971872628,2.336901994292271,0.0,0.4868883132452382,2.6561044469839623,0.0
Abdulhamit Gül,Adalet ve Kalkınma Partisi,1,Pole +,581.0,8.350953566777212,0.0,0.0,6.64795842278361,8.350953566777212,6.64795842278361,0.0,0.4432293773686605,2.628136039207444,0.0
Cahit Özkan,Adalet ve Kalkınma Partisi,0,Neutral,3448.0,2.914948916584575,0.0,0.0,2.5015113982743222,2.914948916584575,2.5015113982743222,0.0,0.46183508276616136,2.6107664357981206,0.0
Cengiz Gökçel,Cumhuriyet Halk Partisi,1,Pole +,299.0,5.685939615477931,0.0,0.0,4.940696364395745,5.685939615477931,4.940696364395745,0.0,0.46493512841582646,2.597126028934437,0.0
Muhammet Emin Akbaşoğlu,Adalet ve Kalkınma Partisi,1,Pole +,210.0,3.9940198794175545,0.0,0.0,3.80162363450445,3.9940198794175545,3.80162363450445,0.0,0.4876600151389151,2.5736544191984927,0.0
Murat Sarısaç,Halkların Demokratik Partisi,-1,Pole -,203.0,0.0,8.759706322933525,6.565483814753102,0.0,6.565483814753102,8.759706322933525,0.0,0.42841124679943227,2.5494669307444076,0.0
Ali Haydar Hakverdi,Cumhuriyet Halk Partisi,0,Neutral,136.0,1.7959068875347268,0.0,0.0,1.8805737363329664,1.7959068875347268,1.8805737363329664,0.0,0.4884853398620472,2.5456929510139585,0.0
Muazzez Orhan,Halkların Demokratik Partisi,-1,Pole -,243.0,0.0,4.967962305504086,6.056108034017914,0.0,6.056108034017914,4.967962305504086,0.0,0.4506468257230703,2.5337972781082514,0.0
Ömer Faruk Gergerlioğlu,Halkların Demokratik Partisi,-1,Pole -,547.0,0.0,6.647149328585177,9.111203437828204,0.0,9.111203437828204,6.647149328585177,0.0,0.4218175228524382,2.5219548037674393,0.0
