term,event_month,event_label,party,pre_position,post_position,delta_position
27,2020-11,Albayrak resignation,Adalet ve Kalkınma Partisi,0.35740464796405513,1.301615372031362,0.9442107240673068
27,2020-11,Albayrak resignation,Bağımsız,,0.06368737265842582,
27,2020-11,Albayrak resignation,Büyük Birlik Partisi,,3.5173428689920923,
27,2020-11,Albayrak resignation,Cumhuriyet Halk Partisi,-1.1174153773691875,-0.09936657757939704,1.0180487997897905
27,2020-11,Albayrak resignation,Demokrat Parti,,0.8129413093887967,
27,2020-11,Albayrak resignation,Halkların Demokratik Partisi,-1.0647250258209873,-1.5061424397106984,-0.4414174138897111
27,2020-11,Albayrak resignation,Milliyetçi Hareket Partisi,1.9672554792176065,2.936065181162703,0.9688097019450967
27,2020-11,Albayrak resignation,Saadet Partisi,4.107318626423094,-0.9608808401554654,-5.06819946657856
27,2020-11,Albayrak resignation,Türkiye İşçi Partisi,,2.1791322861107174,
27,2020-11,Albayrak resignation,İYİ Parti,-1.6053466963438148,0.9684216573514184,2.5737683536952334
27,2022-01,FX crisis,Adalet ve Kalkınma Partisi,2.171553231920143,0.7746267555206535,-1.3969264763994893
27,2022-01,FX crisis,Bağımsız,,-0.3431281535700521,
27,2022-01,FX crisis,Büyük Birlik Partisi,-0.9173067770002835,1.8507166158174386,2.7680233928177223
27,2022-01,FX crisis,Cumhuriyet Halk Partisi,-1.505793106353408,-0.6200187756825027,0.8857743306709053
27,2022-01,FX crisis,Demokrat Parti,0.48740623797088384,0.02921662240980394,-0.4581896155610799
27,2022-01,FX crisis,Halkların Demokratik Partisi,-2.084397906902089,-2.3600517889023203,-0.2756538820002312
27,2022-01,FX crisis,Milliyetçi Hareket Partisi,1.847877736353838,1.583655280154467,-0.2642224561993709
27,2022-01,FX crisis,Saadet Partisi,-2.158931221767646,0.7832127120998652,2.942143933867511
27,2022-01,FX crisis,Türkiye İşçi Partisi,-0.9488051961220274,-2.2252509464003616,-1.2764457502783342
27,2022-01,FX crisis,İYİ Parti,0.6277387560491472,-0.7124959596044871,-1.3402347156536343
27,2023-05,Election,Adalet ve Kalkınma Partisi,2.2913011398971874,,
27,2023-05,Election,Cumhuriyet Halk Partisi,-0.7244190173844003,,
27,2023-05,Election,Demokrat Parti,-0.12541642790453744,,
27,2023-05,Election,Halkların Demokratik Partisi,-2.298781676993813,,
27,2023-05,Election,Milliyetçi Hareket Partisi,2.6058693859838638,,
27,2023-05,Election,Türkiye İşçi Partisi,-2.4877302612123393,,
27,2023-05,Election,İYİ Parti,1.05999215775619,,
