layer,party_nodes,concept_nodes,bipartite_edges,party_projection_edges,concept_projection_edges,party_projection_density,concept_projection_density,party_bloc_assortativity,avg_party_closeness,avg_party_betweenness,avg_concept_closeness,avg_concept_betweenness,party_avg_path_lcc,concept_avg_path_lcc
total,10,12,111,23,24,0.5111111111111111,0.36363636363636365,,0.5757168248042934,0.07777777777777778,0.5237136685714584,0.0893939393939394,1.8245869108552382,1.9844526092396926
positive,10,12,95,23,24,0.5111111111111111,0.36363636363636365,,0.5544306506370466,0.06666666666666667,0.514677258504783,0.08787878787878788,1.8874962531605963,2.0003542391025815
negative,10,12,97,23,24,0.5111111111111111,0.36363636363636365,,0.5721934003999155,0.06944444444444445,0.5204779831458656,0.09242424242424242,1.797734292096792,2.012804502809308
