concept_slug,weight,abs_weight
tutelage,-0.0586327497012237,0.0586327497012237
imf,0.04316310646536937,0.04316310646536937
european_union,0.048942795819510304,0.048942795819510304
inflation,0.12269760139531277,0.12269760139531277
democracy,0.20789806336875666,0.20789806336875666
interest,0.21863306326127618,0.21863306326127618
security,0.23339224380156273,0.23339224380156273
sovereignty,0.36736976395302273,0.36736976395302273
law_state,0.3858055475317381,0.3858055475317381
reform,0.38742498373021145,0.38742498373021145
constitution,0.41933387295767166,0.41933387295767166
economy,0.4711789561095906,0.4711789561095906
