word,term_freq,doc_freq,doc_ratio,donem_span,party_span,already_stopword,category,recommendation,priority
eğitim,14188,5910,0.032719,7,17,False,high_frequency_generic,review_first,2
partisi,14182,9346,0.051741,7,16,False,cross_party_generic,review_first,2
başkanim,14023,13249,0.073349,7,16,False,cross_party_generic,review_first,2
sosyal,13978,7108,0.039351,7,17,False,high_frequency_generic,review_first,2
milyon,13971,6374,0.035288,7,17,False,high_frequency_generic,review_first,2
konuda,13961,9534,0.052782,7,17,False,cross_party_generic,review_first,2
siyasi,13950,7972,0.044135,7,17,False,cross_party_generic,review_first,2
adina,13864,9920,0.054919,7,17,False,cross_party_generic,review_first,2
sağlik,13802,4890,0.027072,7,17,False,high_frequency_generic,review_first,2
sizin,13743,9799,0.054249,7,17,False,cross_party_generic,review_first,2
ortaya,13550,8581,0.047506,7,17,False,cross_party_generic,review_first,2
bakan,13500,9416,0.052129,7,14,False,cross_party_generic,review_first,2
kanunu,13483,6902,0.038211,7,17,False,high_frequency_generic,review_first,2
etmek,13453,9658,0.053469,7,17,False,cross_party_generic,review_first,2
özel,13413,7070,0.039141,7,17,False,high_frequency_generic,review_first,2
birlikte,13207,8822,0.04884,7,17,False,cross_party_generic,review_first,2
milletvekili,13203,8603,0.047628,7,16,False,cross_party_generic,review_first,2
milyar,13167,5028,0.027836,7,17,False,high_frequency_generic,review_first,2
maalesef,13153,7575,0.041937,7,17,False,cross_party_generic,review_first,2
avrupa,13018,5535,0.030643,7,17,False,high_frequency_generic,review_first,2
içinde,12974,8490,0.047002,7,17,False,cross_party_generic,review_first,2
işte,12882,8480,0.046947,7,17,False,cross_party_generic,review_first,2
değildir,12782,8585,0.047528,7,17,False,cross_party_generic,review_first,2
hiç,12685,9428,0.052195,7,17,False,cross_party_generic,review_first,2
dolayisiyla,12636,8177,0.04527,7,17,False,cross_party_generic,review_first,2
tek,12633,7881,0.043631,7,17,False,cross_party_generic,review_first,2
size,12480,9275,0.051348,7,17,False,cross_party_generic,review_first,2
insan,12414,7005,0.038781,7,17,False,high_frequency_generic,review_first,2
buna,12344,9263,0.051282,7,17,False,cross_party_generic,review_first,2
millet,12251,7726,0.042773,7,17,False,cross_party_generic,review_first,2
lazim,12234,6952,0.038488,7,16,False,high_frequency_generic,review_first,2
vardir,12114,7532,0.041699,7,17,False,cross_party_generic,review_first,2
gerçekten,12102,7575,0.041937,7,16,False,cross_party_generic,review_first,2
adalet,12097,6450,0.035709,7,17,False,high_frequency_generic,review_first,2
halk,12046,8070,0.044677,7,16,False,cross_party_generic,review_first,2
anda,11927,8105,0.044871,7,17,False,cross_party_generic,review_first,2
yasa,11886,5806,0.032143,7,17,False,high_frequency_generic,review_first,2
oldu,11884,8030,0.044456,7,17,False,cross_party_generic,review_first,2
bazi,11840,7702,0.04264,7,16,False,cross_party_generic,review_first,2
on,11785,7460,0.0413,7,17,False,cross_party_generic,review_first,2
kurulu,11730,8380,0.046393,7,17,False,cross_party_generic,review_first,2
yer,11727,7327,0.040564,7,17,False,cross_party_generic,review_first,2
ye,11715,7921,0.043852,7,17,False,cross_party_generic,review_first,2
eden,11514,8487,0.046986,7,17,False,cross_party_generic,review_first,2
cumhuriyet,11434,7660,0.042407,7,16,False,cross_party_generic,review_first,2
sayili,11421,5871,0.032503,7,15,False,high_frequency_generic,review_first,2
ediyor,11362,8810,0.048774,7,17,False,cross_party_generic,review_first,2
fazla,11302,7636,0.042274,7,17,False,cross_party_generic,review_first,2
bile,11287,7909,0.043786,7,17,False,cross_party_generic,review_first,2
ilk,11243,7716,0.042717,7,17,False,cross_party_generic,review_first,2
artik,11171,7586,0.041998,7,17,False,cross_party_generic,review_first,2
orada,11150,7672,0.042474,7,17,False,cross_party_generic,review_first,2
bütçe,10976,4899,0.027122,7,17,False,high_frequency_generic,review_first,2
yili,10937,5003,0.027698,7,17,False,high_frequency_generic,review_first,2
bunlar,10905,7706,0.042662,7,17,False,cross_party_generic,review_first,2
olmasi,10876,7525,0.04166,7,17,False,cross_party_generic,review_first,2
iktidar,10850,7021,0.03887,7,16,False,high_frequency_generic,review_first,2
altinda,10818,7707,0.042668,7,17,False,cross_party_generic,review_first,2
niye,10802,7453,0.041261,7,16,False,cross_party_generic,review_first,2
olmak,10749,7674,0.042485,7,17,False,cross_party_generic,review_first,2
ekonomik,10739,5910,0.032719,7,17,False,high_frequency_generic,review_first,2
yerine,10711,7682,0.042529,7,17,False,cross_party_generic,review_first,2
aslinda,10570,6623,0.036666,7,17,False,high_frequency_generic,review_first,2
istanbul,10415,6270,0.034712,7,16,False,high_frequency_generic,review_first,2
onun,10405,7899,0.043731,7,17,False,cross_party_generic,review_first,2
bunlari,10274,7473,0.041372,7,17,False,cross_party_generic,review_first,2
konusunda,10225,6671,0.036932,7,16,False,high_frequency_generic,review_first,2
tarim,10188,4524,0.025046,7,17,False,high_frequency_generic,review_first,2
