term,event_label,event_slug,event_kind,stage,event_month_effective,n_parties,spread,mean_negative_affinity,mean_absolute_affinity,negative_edge_share,signed_modularity,leftmost_party,rightmost_party,top_owner_party,spread_pre,spread_shock,spread_post,spread_delta,mean_negative_affinity_pre,mean_negative_affinity_shock,mean_negative_affinity_post,neg_affinity_delta,negative_edge_share_pre,negative_edge_share_shock,negative_edge_share_post,negative_edge_share_delta,signed_modularity_pre,signed_modularity_shock,signed_modularity_post,signed_modularity_delta
23,Global crisis reaction,global_crisis_reaction,economic,pre,2008-10,5,0.862448807149071,0.29753393528056904,0.4280945198229832,0.695019257437818,-0.02035874930409204,Bağımsız,Milliyetçi Hareket Partisi,Cumhuriyet Halk Partisi,0.862448807149071,1.5073882024177871,1.2517774324184363,0.6449393952687161,0.29753393528056904,0.39197260165273545,0.31214628499396524,0.09443866637216641,0.695019257437818,0.8487125243931981,0.9761255304171434,0.1536932669553801,-0.02035874930409204,-0.17707308325501686,0.27603812927005345,-0.15671433395092482
23,Global crisis reaction,global_crisis_reaction,economic,shock,2008-10,4,1.5073882024177871,0.39197260165273545,0.4618437814771063,0.8487125243931981,-0.17707308325501686,Bağımsız,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,0.862448807149071,1.5073882024177871,1.2517774324184363,0.6449393952687161,0.29753393528056904,0.39197260165273545,0.31214628499396524,0.09443866637216641,0.695019257437818,0.8487125243931981,0.9761255304171434,0.1536932669553801,-0.02035874930409204,-0.17707308325501686,0.27603812927005345,-0.15671433395092482
23,Global crisis reaction,global_crisis_reaction,economic,post,2008-10,4,1.2517774324184363,0.31214628499396524,0.3197808839817669,0.9761255304171434,0.27603812927005345,Milliyetçi Hareket Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,0.862448807149071,1.5073882024177871,1.2517774324184363,0.6449393952687161,0.29753393528056904,0.39197260165273545,0.31214628499396524,0.09443866637216641,0.695019257437818,0.8487125243931981,0.9761255304171434,0.1536932669553801,-0.02035874930409204,-0.17707308325501686,0.27603812927005345,-0.15671433395092482
27,FX crisis,fx_crisis,economic,pre,2022-01,9,5.402257325314419,0.29028253495364964,0.47278305072660387,0.6139867630777468,0.6635721458415328,Saadet Partisi,Bağımsız,Cumhuriyet Halk Partisi,5.402257325314419,4.906141606597679,2.6557497662729075,-0.49611571871674,0.29028253495364964,0.25442636122768425,0.2344036300579609,-0.03585617372596539,0.6139867630777468,0.6252341188274937,0.6415553042211345,0.01124735574974689,0.6635721458415328,0.2567093970672971,0.33870373150157407,-0.40686274877423567
27,FX crisis,fx_crisis,economic,shock,2022-01,7,4.906141606597679,0.25442636122768425,0.40692974610024796,0.6252341188274937,0.2567093970672971,Halkların Demokratik Partisi,Milliyetçi Hareket Partisi,İYİ Parti,5.402257325314419,4.906141606597679,2.6557497662729075,-0.49611571871674,0.29028253495364964,0.25442636122768425,0.2344036300579609,-0.03585617372596539,0.6139867630777468,0.6252341188274937,0.6415553042211345,0.01124735574974689,0.6635721458415328,0.2567093970672971,0.33870373150157407,-0.40686274877423567
27,FX crisis,fx_crisis,economic,post,2022-01,8,2.6557497662729075,0.2344036300579609,0.3653677687889016,0.6415553042211345,0.33870373150157407,Halkların Demokratik Partisi,Saadet Partisi,Cumhuriyet Halk Partisi,5.402257325314419,4.906141606597679,2.6557497662729075,-0.49611571871674,0.29028253495364964,0.25442636122768425,0.2344036300579609,-0.03585617372596539,0.6139867630777468,0.6252341188274937,0.6415553042211345,0.01124735574974689,0.6635721458415328,0.2567093970672971,0.33870373150157407,-0.40686274877423567
28,Local election shock,local_election_shock,mixed,pre,2024-03,12,3.0670636934570843,0.26990751194958107,0.46078529182126093,0.5857554846917258,0.49957498495718866,İYİ Parti,Demokratik Sol Parti,Cumhuriyet Halk Partisi,3.0670636934570843,3.525671458612326,3.793661703355072,0.4586077651552416,0.26990751194958107,0.2924906843823129,0.25379633208637975,0.022583172432731835,0.5857554846917258,0.5175233935443705,0.5646398363113414,-0.06823209114735529,0.49957498495718866,0.043689646956652575,0.717750001725496,-0.4558853380005361
28,Local election shock,local_election_shock,mixed,shock,2024-03,6,3.525671458612326,0.2924906843823129,0.5651738414743483,0.5175233935443705,0.043689646956652575,İYİ Parti,Halkların Eşitlik ve Demokrasi Partisi,İYİ Parti,3.0670636934570843,3.525671458612326,3.793661703355072,0.4586077651552416,0.26990751194958107,0.2924906843823129,0.25379633208637975,0.022583172432731835,0.5857554846917258,0.5175233935443705,0.5646398363113414,-0.06823209114735529,0.49957498495718866,0.043689646956652575,0.717750001725496,-0.4558853380005361
28,Local election shock,local_election_shock,mixed,post,2024-03,11,3.793661703355072,0.25379633208637975,0.44948357477639406,0.5646398363113414,0.717750001725496,Halkların Eşitlik ve Demokrasi Partisi,Milliyetçi Hareket Partisi,Cumhuriyet Halk Partisi,3.0670636934570843,3.525671458612326,3.793661703355072,0.4586077651552416,0.26990751194958107,0.2924906843823129,0.25379633208637975,0.022583172432731835,0.5857554846917258,0.5175233935443705,0.5646398363113414,-0.06823209114735529,0.49957498495718866,0.043689646956652575,0.717750001725496,-0.4558853380005361
