term,event_label,event_kind,paper_role,family,event_month_effective,macro_pressure_delta,econ_salience_delta,constitutional_share_delta,security_share_delta,competing_gain,displacement_index,competing_to_econ_ratio,displacement_flag,econ_salience_post_delta,constitutional_share_post_delta,security_share_post_delta,competing_gain_post,displacement_index_post,shock_to_post_persistence,displacement_persists,top_owner_party,top_attack_party
22,E-memorandum,control,control,mixed_control_family,2007-04,0.02197397012596,-0.1249799054184485,0.0242435202826804,0.0403615833361766,0.064605103618857,0.18958500903730552,0.5169197918878303,True,-0.2196601624110153,0.166252539211939,0.0564311841508092,0.2226837233627482,0.4423438857737635,0.25275887673645797,True,Cumhuriyet Halk Partisi,Doğru Yol Partisi
23,Global crisis reaction,economic,core,economic_family,2008-10,1.4573339344472391,0.1762893425864601,-0.0616619153204519,0.1274128679893646,0.1274128679893646,-0.04887647459709549,0.7227444573537887,False,0.2691975745174457,-0.0533005333804425,-0.0516510748990145,0.0,-0.2691975745174457,-0.2203210999203502,False,Adalet ve Kalkınma Partisi,Bağımsız
24,17-25 December rupture,mixed,support,mixed_control_family,2013-12,0.6501443195034535,0.0976438909681585,0.0020110549081677,-0.0846995074275309,0.0020110549081677,-0.09563283605999079,0.020595597867209405,False,-0.1277409365673175,0.0182908754905874,-0.1008295219900306,0.0182908754905874,0.1460318120579049,0.24166464811789568,False,Adalet ve Kalkınma Partisi,Milliyetçi Hareket Partisi
26,15 July / OHAL shock,control,control,mixed_control_family,2016-07,0.182332798429991,0.0603808694017219,-0.0714042320572563,-0.0475280560398935,0.0,-0.0603808694017219,0.0,False,0.103479492093476,-0.0530769759999225,-0.0234880056174811,0.0,-0.103479492093476,-0.043098622691754095,False,Milliyetçi Hareket Partisi,İYİ Parti
27,FX crisis,economic,core,economic_family,2022-01,0.0498490974799055,0.1784179768719412,0.0454779187076545,-0.0745731542829503,0.0454779187076545,-0.1329400581642867,0.25489395525620523,False,-0.0570414250837436,0.0391351989268327,0.0050941912268717,0.0442293901537044,0.10127081523744799,0.2342108734017347,False,İYİ Parti,Halkların Demokratik Partisi
28,Simsek return,economic_governance,core,economic_family,2023-06,1.5127944907496431,,,,0.0,,,False,,,,0.0,,,False,Cumhuriyet Halk Partisi,Halkların Eşitlik ve Demokrasi Partisi
