term,event_label,event_slug,null_draws,econ_salience_obs,econ_salience_null_mean,econ_salience_null_std,econ_salience_null_p,spread_obs,spread_null_mean,spread_null_std,spread_null_p,constitutional_obs,constitutional_null_mean,constitutional_null_p,security_obs,security_null_mean,security_null_p,econ_salience_zscore,spread_zscore,constitutional_zscore,security_zscore
22,2006 market turbulence,2006_market_turbulence,27,-0.1325176753850456,0.0306778477399708,0.1258203368116356,0.4074074074074074,2.6392503252157136,0.5554245527592875,1.0835415275161455,0.037037037037037,0.0329958862302104,-0.001068701398807,0.5555555555555556,0.143764135905561,-0.0097881852126062,0.037037037037037,-1.2970520287935234,1.9231618904660537,,
22,E-memorandum,e_memorandum,27,-0.1249799054184485,0.0306778477399708,0.1258203368116356,0.4814814814814814,1.9283602047690056,0.5554245527592875,1.0835415275161455,0.1111111111111111,0.0242435202826804,-0.001068701398807,0.6296296296296297,0.0403615833361766,-0.0097881852126062,0.4444444444444444,-1.2371430334942832,1.2670817104324232,,
23,Global crisis reaction,global_crisis_reaction,12,0.1762893425864601,-0.112981716956726,0.1001706135713047,0.25,0.6449393952687161,0.0303549227216399,1.392612529191103,0.5833333333333334,-0.0616619153204519,0.0570807787181152,0.4166666666666667,0.1274128679893646,0.0145285485708559,0.3333333333333333,2.8877836446242147,0.44131763836999,,
23,Referendum aftermath,referendum_aftermath,12,-0.0287465149056382,-0.112981716956726,0.1001706135713047,0.8333333333333334,-1.042719313171975,0.0303549227216399,1.392612529191103,0.3333333333333333,-0.0087084789088962,0.0570807787181152,0.9166666666666666,-0.0999776379522929,0.0145285485708559,0.5,0.840917301471119,-0.7705475955446909,,
24,17-25 December rupture,17_25_december_rupture,22,0.0976438909681585,-0.0101144316009344,0.0980495371674179,0.3636363636363636,-0.4535350499258062,0.5055981627438564,1.0286167259799437,0.8181818181818182,0.0020110549081677,-0.0024823972694574,0.9545454545454546,-0.0846995074275309,0.0074703714534504,0.2727272727272727,1.0990191864454946,-0.9324495591454771,,
25,Pre-November election macro reset,pre_november_election_macro_reset,0,0.1373943655439188,,,,-2.299567520557454,,,,0.0483935677776643,,,-0.1926431572990974,,,,,,
26,15 July / OHAL shock,15_july___ohal_shock,10,0.0603808694017219,-0.036768479614835,0.1163067977218462,0.7,0.0511777415055747,-0.5671401266177,1.1769954325586929,1.0,-0.0714042320572563,0.0459383714246973,0.3,-0.0475280560398935,-0.0110629018599143,0.6,0.8352852190883517,0.5253358263074154,,
27,Albayrak resignation,albayrak_resignation,11,0.0994211623611157,-0.0122638366761911,0.0937434053970199,0.1818181818181818,-0.753934708517888,-0.0992012277578757,1.0519431932036676,0.6363636363636364,-0.0857502400848283,0.0115980972419438,0.0909090909090909,-0.010104655001716,-0.0051866304863629,0.8181818181818182,1.1913904617002238,-0.6224038379544407,,
27,FX crisis,fx_crisis,10,0.1784179768719412,-0.0313320180310043,0.0752798626393042,0.1,-0.49611571871674,-0.0595097786619892,1.0954055903890745,0.9,0.0454779187076545,0.0082101150953727,0.4,-0.0745731542829503,0.0017520218932957,0.2,2.786269628412332,-0.3985792512704575,,
28,Simsek return,simsek_return,10,,-0.0287225123501012,0.1043671420296729,,,0.7455276754145206,1.1229429106796636,,,-0.000166692862514,,,-0.0030310677470015,,,,,
28,Local election shock,local_election_shock,9,-0.0540719490096262,-0.0259059082768207,0.1096514731567014,0.8888888888888888,0.4586077651552416,0.7774076654433294,1.179384856971154,0.6666666666666666,-0.0177681168864768,0.0017890209179262,0.7777777777777778,-0.0900756676293282,0.0066405544621458,0.2222222222222222,-0.2568687854521918,-0.27031032186288717,,
