term,event_label,event_slug,event_month_effective,top_broker_party_post,top_broker_party_pre,top_broker_party_shock,top_broker_score_post,top_broker_score_pre,top_broker_score_shock,top_broker_speaker_post,top_broker_speaker_pre,top_broker_speaker_shock,brokerage_concentration_hhi_post,brokerage_concentration_hhi_pre,brokerage_concentration_hhi_shock,top_broker_party_post_partyagg,top_broker_party_pre_partyagg,top_broker_party_shock_partyagg,top_party_mean_score_post,top_party_mean_score_pre,top_party_mean_score_shock,speaker_turnover,party_turnover,broker_score_delta,brokerage_concentration_delta,top_broker_persistence
23,Global crisis reaction,global_crisis_reaction,2008-10,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Milliyetçi Hareket Partisi,3.0355887299284707,3.085042455161472,3.061687887467433,Mehmet Aydın,Orhan Erdem,Cumali Durmuş,0.2530473421807538,0.20588121179798188,0.2613235778430083,Bağımsız,Bağımsız,Milliyetçi Hareket Partisi,1.1867793637190485,2.1926566676178267,1.5322935275605138,True,True,-0.6603631400573129,0.05544236604502642,False
27,FX crisis,fx_crisis,2022-01,Cumhuriyet Halk Partisi,Halkların Demokratik Partisi,Halkların Demokratik Partisi,2.943171123368061,3.060356028501253,3.034192045780301,Lale Karabıyık,Remziye Tosun,Nuran İmir,0.20775512973897353,0.17189892871865423,0.21478515858326858,Milliyetçi Hareket Partisi,Demokrat Parti,İYİ Parti,1.248480621411191,1.041658284262556,1.6128351635622427,True,True,0.5711768792996867,0.04288622986461435,False
28,Local election shock,local_election_shock,2024-03,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,Halkların Eşitlik ve Demokrasi Partisi,3.041888655354574,3.0335242114784835,3.043906143520335,Hasan Turan,Burcu Köksal,Sezai Temelli,0.13859335679786852,0.11109711745383086,0.2425724749777144,Milliyetçi Hareket Partisi,Demokratik Sol Parti,Halkların Eşitlik ve Demokrasi Partisi,1.5769887901248418,2.569656873648538,1.731370601345884,True,True,-0.8382862723026541,0.13147535752388353,False
