term,party,center,left,right
22,Adalet ve Kalkınma Partisi,1.0281360825355272,0.496910450320225,1.3221123752693145
22,Anavatan Partisi,0.2536864055481278,-0.5772809445024272,1.0193782329486776
22,Bağımsız,-0.10712014163726793,-2.6973400080533576,1.9307349550124293
22,Cumhuriyet Halk Partisi,0.25735710660277666,-0.250572967148854,0.6155040001251482
22,Doğru Yol Partisi,-0.5674587319065971,-2.425838635280008,1.0292893257734368
23,Adalet ve Kalkınma Partisi,0.841052995395444,0.3387739726868204,1.656143811827168
23,Bağımsız,-0.581000102283042,-0.7055258206411764,0.11007125949547159
23,Cumhuriyet Halk Partisi,-0.04916012767973857,-1.4479027236005222,0.1429382390846948
23,Demokratik Sol Parti,0.23786770573432314,-1.0723981784008068,1.4783826007049408
23,Milliyetçi Hareket Partisi,-0.20444073085479259,-1.1845826031440905,0.038497452642430666
24,Adalet ve Kalkınma Partisi,1.2879969494071204,1.2482037459322184,1.6505590986814664
24,Bağımsız,-0.39654525772238103,-1.4217018183694277,0.5186549546917294
24,Cumhuriyet Halk Partisi,-0.14771155454673762,-1.2556435513634505,0.14201230960412248
24,Halkların Demokratik Partisi,-0.4616686033375117,-1.1770117174104293,0.5403838073393107
24,Milliyetçi Hareket Partisi,-0.25942517592307746,-0.6711296017622741,0.21254569849131322
25,Adalet ve Kalkınma Partisi,1.700602891947024,1.700602891947024,1.700602891947024
25,Halkların Demokratik Partisi,0.43728763392939385,0.43728763392939385,0.43728763392939385
25,Milliyetçi Hareket Partisi,-0.9010849970828811,-0.9010849970828811,-0.9010849970828811
26,Adalet ve Kalkınma Partisi,1.5750561021018408,1.4963217064038727,1.6883222253909755
26,Bağımsız,-0.12766455650978903,-0.12766455650978903,-0.12766455650978903
26,Cumhuriyet Halk Partisi,-0.21386481265234208,-0.35078382349071463,-0.06868304527748272
26,Halkların Demokratik Partisi,-0.4759992791426235,-0.5473158594121612,-0.14840028574920738
26,Milliyetçi Hareket Partisi,-0.03968123364131915,-0.0608861843855443,0.05097347715751504
26,Saadet Partisi,-0.12766455650978903,-1.2956988526659565,1.4783826007049408
26,İYİ Parti,-0.12766455650978903,-0.2707787064430264,0.9520310113656597
27,Adalet ve Kalkınma Partisi,1.3281105761656802,0.626462086790319,1.4983070048860885
27,Bağımsız,0.3081372446323407,-2.5272097019182564,2.867992701288065
27,Büyük Birlik Partisi,0.9266009539713593,-0.31777392718828296,2.463745633262319
27,Cumhuriyet Halk Partisi,-1.2927806051375497,-1.8208798012476664,-1.0752075163999582
27,Demokrat Parti,-0.6354588782762111,-0.8794154269782353,0.7678962976450361
27,Halkların Demokratik Partisi,-1.9237111746742892,-2.143414952666583,-1.7753299363973385
27,Milliyetçi Hareket Partisi,0.692991469320708,0.2284314662253704,1.2685735194354377
27,Saadet Partisi,-0.035362995750321764,-2.945186292817211,1.7879892876067371
27,Türkiye İşçi Partisi,-0.845019355595837,-1.932990335261361,0.586134180030091
27,İYİ Parti,-0.5815563031375912,-0.8560991944410159,-0.421359723096549
28,Adalet ve Kalkınma Partisi,1.5786069184769684,0.8917795271007467,2.003571893877271
28,Bağımsız,0.4768087912348433,-0.12766455650978903,0.9953535347629727
28,Cumhuriyet Halk Partisi,-1.131062177791884,-1.5360733434655907,-0.6043934309965481
28,DEM Parti,-1.1681065895382265,-2.1494343175105914,1.380699851888217
28,Demokratik Sol Parti,-0.007408882511300757,-0.5988050640708173,2.009350725990668
28,Halkların Eşitlik ve Demokrasi Partisi,-1.241523933762418,-1.5734272737210577,-0.9504548868867764
28,Milliyetçi Hareket Partisi,1.887034541651301,1.763542293409739,2.016311549678629
28,Saadet Partisi,0.18576408996163812,-0.4944064415450432,2.6457632908706303
28,Türkiye İşçi Partisi,0.6400234878958431,-0.12766455650978903,1.4342913488147802
28,YENİ YOL Partisi,-0.8009226613498321,-1.3296883230418022,-0.20609993297130527
28,Yeniden Refah Partisi,0.19390711875319808,-0.12059372332218432,1.4299437456510855
28,İYİ Parti,-1.0001608353827964,-1.2411888368713022,-0.8329757734418154
