party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer
Cumhuriyet Halk Partisi,36810.549999999996,0.6985734645142239,0.18181818181818182,0.35810449787267146,opposition,total
Halkların Eşitlik ve Demokrasi Partisi,30573.55,0.5757124648549279,0.18181818181818182,0.22892081918131868,opposition,total
Adalet ve Kalkınma Partisi,25891.75,0.6992972866945909,0.14545454545454545,0.36567154983956135,opposition,total
İYİ Parti,22395.3,0.7078891186102182,0.09090909090909091,0.3854985650267966,opposition,total
YENİ YOL Partisi,19446.100000000002,0.699470998781934,0.07272727272727272,0.37761580622730595,opposition,total
Milliyetçi Hareket Partisi,11983.749999999998,0.6018314791199836,0.05454545454545454,0.3267791595838485,opposition,total
DEM Parti,1174.5,0.35919464570815235,0.0,0.03260718761205928,opposition,total
Bağımsız,1101.6499999999999,0.604552578372552,0.03636363636363636,0.3438418551244848,opposition,total
Demokratik Sol Parti,585.8,0.41734403586081115,0.0,0.0947372519860004,opposition,total
Yeniden Refah Partisi,576.4000000000001,0.4610926810967767,0.0,0.20447055033634987,opposition,total
Saadet Partisi,311.40000000000003,0.5985846863727222,0.0,0.33975674511356807,opposition,total
Türkiye İşçi Partisi,231.54999999999998,0.3868985625303433,0.0,0.04631237587961758,opposition,total
Adalet ve Kalkınma Partisi,6940.023265,0.6382157235503174,0.12727272727272726,0.39413719829350885,opposition,positive
Cumhuriyet Halk Partisi,5104.221339999999,0.5597516854040319,0.18181818181818182,0.3115372948029214,opposition,positive
Milliyetçi Hareket Partisi,4911.636380000001,0.5522479961355505,0.0,0.35075244744518225,opposition,positive
Halkların Eşitlik ve Demokrasi Partisi,3853.743375,0.5147823593440175,0.18181818181818182,0.247366608697797,opposition,positive
İYİ Parti,3511.744225,0.6312841805741481,0.0,0.3840275790238945,opposition,positive
YENİ YOL Partisi,3319.8958700000003,0.5986669578688552,0.14545454545454545,0.3536341826877857,opposition,positive
Bağımsız,278.54394500000006,0.547276197523129,0.0,0.3469832822934052,opposition,positive
DEM Parti,204.14569500000002,0.30499312118508,0.0,0.02900138385240596,opposition,positive
Yeniden Refah Partisi,138.737185,0.3226783210077775,0.0,0.04126834317566377,opposition,positive
Demokratik Sol Parti,124.60226999999999,0.4975598029106602,0.0,0.269392299943622,opposition,positive
Saadet Partisi,47.02925499999999,0.517322908162516,0.18181818181818182,0.3071768167710508,opposition,positive
Türkiye İşçi Partisi,28.70759,0.29870937050593727,0.0,0.03125996047887667,opposition,positive
Cumhuriyet Halk Partisi,8435.284275,0.7001210957568889,0.03636363636363636,0.38983657869513505,opposition,negative
Halkların Eşitlik ve Demokrasi Partisi,7893.7253900000005,0.6482985670908652,0.18181818181818182,0.3211439122112724,opposition,negative
İYİ Parti,4751.361134999999,0.745505357654819,0.21818181818181817,0.40113222859335396,opposition,negative
YENİ YOL Partisi,4051.3350250000003,0.7020497731686289,0.07272727272727272,0.39281589095934855,opposition,negative
Adalet ve Kalkınma Partisi,3584.8020300000003,0.6030627207306493,0.23636363636363636,0.2429054261322932,opposition,negative
Milliyetçi Hareket Partisi,986.8432499999999,0.39330872502557157,0.0,0.053141859823254374,opposition,negative
DEM Parti,212.80324500000003,0.6117050716605246,0.0,0.35735377250671757,opposition,negative
Bağımsız,134.67487,0.4783316588936032,0.0,0.21841883224824934,opposition,negative
Demokratik Sol Parti,93.56772000000001,0.4763282819381026,0.0,0.09916229166319922,opposition,negative
Yeniden Refah Partisi,93.18235999999999,0.5160260064126468,0.0,0.27941733545417674,opposition,negative
Saadet Partisi,86.93148500000001,0.5652213624155724,0.0,0.32121436119052144,opposition,negative
Türkiye İşçi Partisi,40.099015,0.3498537389845783,0.0,0.03689388789151366,opposition,negative
