concept,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,concept_category,layer
Hukuk Devleti,39418.99999999999,0.6068159582699629,0.21818181818181817,0.3634957357156743,democratic_reform,total
Ekonomi,39013.25,0.6502538426214713,0.19999999999999998,0.44448285249171093,macro_economy,total
Guvenlik,23729.95,0.5221627247438293,0.07272727272727272,0.2698530061681718,security_conflict,total
Anayasa,16956.1,0.5794438514265177,0.0,0.35632257481922663,constitutional_conflict,total
Demokrasi,12279.1,0.37556957481469505,0.0,0.06768365283590505,democratic_reform,total
Enflasyon,8760.050000000001,0.5712941490410142,0.18181818181818182,0.32313632658396757,macro_economy,total
Faiz,5374.95,0.36950386768979554,0.0,0.06386701392880338,macro_economy,total
Reform,2101.6499999999996,0.49154148866483877,0.18181818181818182,0.19790388203191653,democratic_reform,total
Avrupa Birligi,1321.9999999999998,0.688866286143615,0.2545454545454545,0.43895795642757873,democratic_reform,total
Vesayet,1271.6,0.331153439848981,0.0,0.037948051981968725,constitutional_conflict,total
Egemenlik,668.2500000000001,0.5217910773390818,0.0,0.26982131737858245,security_conflict,total
IMF,186.4,0.45113681256518856,0.0,0.2266023649710153,macro_economy,total
Ekonomi,10629.720460000002,0.4502717710388217,0.0,0.31035277755713375,macro_economy,positive
Hukuk Devleti,6816.540145000001,0.5489572303671606,0.10909090909090909,0.318768164819909,democratic_reform,positive
Guvenlik,2881.604590000001,0.5409549960494757,0.10909090909090909,0.4357417550439258,security_conflict,positive
Anayasa,2838.2314,0.5215115943520808,0.32727272727272727,0.23979864593862216,constitutional_conflict,positive
Demokrasi,2472.49354,0.3576288646217879,0.18181818181818182,0.04517204080265069,democratic_reform,positive
Enflasyon,1052.344865,0.6131819856932628,0.32727272727272727,0.45372765201789483,macro_economy,positive
Faiz,793.1536900000001,0.3590931650657889,0.0,0.11967566888006852,macro_economy,positive
Reform,577.50021,0.464494444428716,0.10909090909090909,0.33234048491452783,democratic_reform,positive
Avrupa Birligi,271.2257,0.5493938195815171,0.10909090909090909,0.3201064569761859,democratic_reform,positive
Egemenlik,103.22861,0.451865094442522,0.0,0.3116717348717155,security_conflict,positive
IMF,19.729065000000002,0.2558552301793178,0.0,0.008130743196919718,macro_economy,positive
Vesayet,7.258119999999999,0.3580244631783665,0.0,0.14946056558628687,constitutional_conflict,positive
Hukuk Devleti,8066.312945000001,0.5107714683134915,0.32727272727272727,0.24895236913000576,democratic_reform,negative
Ekonomi,7740.375945000001,0.5391936353865234,0.16363636363636364,0.3644561670883864,macro_economy,negative
Guvenlik,5875.95452,0.6260265868635191,0.2545454545454545,0.43678047427401845,security_conflict,negative
Anayasa,3016.6889050000004,0.6262439200864325,0.0,0.43776204759924775,constitutional_conflict,negative
Enflasyon,1983.73178,0.48469866422043656,0.0,0.33926438399080655,macro_economy,negative
Demokrasi,1599.485595,0.3659447782111208,0.18181818181818182,0.04915918520660721,democratic_reform,negative
Faiz,960.4291050000002,0.35057496167165964,0.0,0.13760149841596234,macro_economy,negative
Vesayet,771.2672099999999,0.3130480412782449,0.0,0.042339322459908325,constitutional_conflict,negative
Reform,164.34749,0.4582497494236319,0.18181818181818182,0.22925815365327143,democratic_reform,negative
Avrupa Birligi,113.08251,0.510530418933546,0.18181818181818182,0.3871760085799126,democratic_reform,negative
Egemenlik,47.59134,0.4842376961079808,0.07272727272727272,0.2863891068609263,security_conflict,negative
IMF,25.342455,0.25149334812127055,0.0,0.007389564126331398,macro_economy,negative
