year,party,concept_slug,concept,concept_category,speech_count,mention_count,beme_positive_hits,beme_negative_hits,salience_weight,layer_weight,beme_score,layer
2023,Cumhuriyet Halk Partisi,economy,Ekonomi,macro_economy,550,1909,631,806,2411.95,2411.95,-0.12169680111265646,total
2023,Halkların Eşitlik ve Demokrasi Partisi,law_state,Hukuk Devleti,democratic_reform,495,1587,359,694,1955.55,1955.55,-0.3178368121442125,total
2023,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,449,1555,315,497,1839.2,1839.2,-0.22386223862238622,total
2023,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,398,1248,842,393,1680.25,1680.25,0.36326860841423947,total
2023,Milliyetçi Hareket Partisi,economy,Ekonomi,macro_economy,137,1143,955,248,1564.05,1564.05,0.5872093023255814,total
2023,Halkların Eşitlik ve Demokrasi Partisi,economy,Ekonomi,macro_economy,260,1149,428,720,1550.8,1550.8,-0.25413402959094866,total
2023,İYİ Parti,economy,Ekonomi,macro_economy,265,1213,386,470,1512.6,1512.6,-0.09801633605600933,total
2023,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,514,1129,318,439,1393.95,1393.95,-0.15963060686015831,total
2023,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,411,1144,361,340,1389.35,1389.35,0.029914529914529916,total
2023,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,323,1093,132,262,1230.9,1230.9,-0.3291139240506329,total
2023,Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,364,766,151,342,938.55,938.55,-0.3866396761133603,total
2023,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,240,777,216,157,907.55,907.55,0.15775401069518716,total
2023,YENİ YOL Partisi,economy,Ekonomi,macro_economy,193,705,222,286,882.8,882.8,-0.12573673870333987,total
2023,YENİ YOL Partisi,law_state,Hukuk Devleti,democratic_reform,170,718,180,238,864.3,864.3,-0.13842482100238662,total
2023,Halkların Eşitlik ve Demokrasi Partisi,democracy,Demokrasi,democratic_reform,264,607,258,260,788.3,788.3,-0.0038535645472061657,total
2023,İYİ Parti,law_state,Hukuk Devleti,democratic_reform,183,660,159,194,783.55,783.55,-0.09887005649717515,total
2023,Halkların Eşitlik ve Demokrasi Partisi,security,Guvenlik,security_conflict,317,614,107,359,777.1,777.1,-0.5396145610278372,total
2023,Milliyetçi Hareket Partisi,security,Guvenlik,security_conflict,164,609,225,251,775.6,775.6,-0.05450733752620545,total
2023,Halkların Eşitlik ve Demokrasi Partisi,constitution,Anayasa,constitutional_conflict,216,669,127,158,768.75,768.75,-0.10839160839160839,total
2023,İYİ Parti,security,Guvenlik,security_conflict,187,468,85,244,583.15,583.15,-0.4818181818181818,total
2023,Cumhuriyet Halk Partisi,inflation,Enflasyon,macro_economy,212,486,104,153,575.95,575.95,-0.18992248062015504,total
2023,İYİ Parti,inflation,Enflasyon,macro_economy,124,425,50,104,478.9,478.9,-0.34838709677419355,total
2023,YENİ YOL Partisi,constitution,Anayasa,constitutional_conflict,95,423,55,100,477.25,477.25,-0.28846153846153844,total
2023,Cumhuriyet Halk Partisi,interest,Faiz,macro_economy,156,405,72,80,458.2,458.2,-0.05228758169934641,total
2023,YENİ YOL Partisi,security,Guvenlik,security_conflict,113,313,75,117,380.2,380.2,-0.21761658031088082,total
2023,Cumhuriyet Halk Partisi,democracy,Demokrasi,democratic_reform,195,308,116,53,367.15,367.15,0.37058823529411766,total
2023,İYİ Parti,interest,Faiz,macro_economy,90,330,45,61,367.1,367.1,-0.14953271028037382,total
2023,İYİ Parti,constitution,Anayasa,constitutional_conflict,102,325,49,59,362.8,362.8,-0.09174311926605505,total
2023,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,166,278,114,48,334.7,334.7,0.4049079754601227,total
2023,YENİ YOL Partisi,interest,Faiz,macro_economy,55,267,27,51,294.3,294.3,-0.3037974683544304,total
2023,Milliyetçi Hareket Partisi,law_state,Hukuk Devleti,democratic_reform,94,250,86,40,294.1,294.1,0.36220472440944884,total
2023,Bağımsız,economy,Ekonomi,macro_economy,22,212,82,35,252.95,252.95,0.3983050847457627,total
