party,avg_gatekeeper_score,median_gatekeeper_score,avg_cross_pressure,n_speakers
Türkiye İşçi Partisi,2.6415429970068915,2.6415429970068915,0.0,1
Demokratik Sol Parti,2.4099453543665565,2.4099453543665565,0.9453249822084444,1
Halkların Eşitlik ve Demokrasi Partisi,2.1292992786649663,2.210629709531989,0.08285803338994571,53
Milliyetçi Hareket Partisi,1.937223832748187,1.8907424054491713,0.09706015918081116,31
Adalet ve Kalkınma Partisi,1.9069993894303556,2.183229835288641,0.10508069642340627,82
Bağımsız,1.6752824533937642,2.0917179659409952,0.0,4
YENİ YOL Partisi,1.6702549738902652,1.8604654159548908,0.15733230710671664,19
Cumhuriyet Halk Partisi,1.6431499564807972,1.8855042927092647,0.12721414483168475,115
İYİ Parti,1.5388071011725615,1.801343225434901,0.11319088139151823,31
Saadet Partisi,0.5415856421718871,0.5415856421718871,0.4709440366712062,1
DEM Parti,0.3504492206120808,0.3504492206120808,0.5834309945935403,2
Yeniden Refah Partisi,0.0,0.0,0.0,2
