year,party,position,party_short
2023,Adalet ve Kalkınma Partisi,1.0804395780615392,AKP
2023,Bağımsız,0.13770717792356013,IND
2023,Cumhuriyet Halk Partisi,-1.0458962006351435,CHP
2023,DEM Parti,-2.3276609056740423,DEM
2023,Demokratik Sol Parti,-1.0309700073086216,DSP
2023,Halkların Eşitlik ve Demokrasi Partisi,-1.5638969838151775,HEDEP
2023,Milliyetçi Hareket Partisi,3.197024348923677,MHP
2023,Saadet Partisi,-0.3083603111061983,SP
2023,Türkiye İşçi Partisi,-2.103041747961815,TIP
2023,YENİ YOL Partisi,-0.5279866789257672,Yeni Yol
2023,Yeniden Refah Partisi,1.3583734953021158,YRP
2023,İYİ Parti,0.05751097074335179,IYI
2024,Adalet ve Kalkınma Partisi,1.1928454309270924,AKP
2024,Bağımsız,1.064559496439661,IND
2024,Cumhuriyet Halk Partisi,-0.5352481156997244,CHP
2024,DEM Parti,-1.8326825216017437,DEM
2024,Demokratik Sol Parti,-1.243584620619093,DSP
2024,Halkların Eşitlik ve Demokrasi Partisi,-1.5961194966378256,HEDEP
2024,Milliyetçi Hareket Partisi,3.1424560710367224,MHP
2024,Saadet Partisi,-1.236130934796668,SP
2024,Türkiye İşçi Partisi,-0.016854306313368844,TIP
2024,YENİ YOL Partisi,-0.5554046908002768,Yeni Yol
2024,Yeniden Refah Partisi,-0.261487696450689,YRP
2024,İYİ Parti,-0.15066928989458372,IYI
2025,Adalet ve Kalkınma Partisi,2.52932413500513,AKP
2025,Bağımsız,0.6918516578694552,IND
2025,Cumhuriyet Halk Partisi,-0.8558584686255383,CHP
2025,DEM Parti,-2.857458941710761,DEM
2025,Demokratik Sol Parti,-1.3948011452695666,DSP
2025,Halkların Eşitlik ve Demokrasi Partisi,-1.159316322175837,HEDEP
2025,Milliyetçi Hareket Partisi,3.682658004273348,MHP
2025,Saadet Partisi,0.7770284256713567,SP
2025,Türkiye İşçi Partisi,-1.596591117881079,TIP
2025,YENİ YOL Partisi,0.13000948652360578,Yeni Yol
2025,Yeniden Refah Partisi,0.21706515646613586,YRP
2025,İYİ Parti,-0.25824032520592743,IYI
2026,Adalet ve Kalkınma Partisi,2.4231597975117096,AKP
2026,Bağımsız,0.6128318984724463,IND
2026,Cumhuriyet Halk Partisi,-0.1684287677599845,CHP
2026,DEM Parti,-0.051081354771460474,DEM
2026,Demokratik Sol Parti,-0.5800082086396898,DSP
2026,Halkların Eşitlik ve Demokrasi Partisi,-1.2567929310078843,HEDEP
2026,Milliyetçi Hareket Partisi,1.7619621220646533,MHP
2026,YENİ YOL Partisi,0.4138063728511018,Yeni Yol
2026,Yeniden Refah Partisi,0.5437833026393838,YRP
2026,İYİ Parti,1.5001751625824233,IYI
