concept,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,concept_category,layer,year
Ekonomi,10052.449999999999,0.7266876358180776,0.3818181818181818,0.481247105029792,macro_economy,total,2023
Hukuk Devleti,7297.750000000001,0.5370107389325471,0.18181818181818182,0.2802306530084246,democratic_reform,total,2023
Guvenlik,4978.849999999999,0.6029276464388085,0.12727272727272726,0.400384962733572,security_conflict,total,2023
Anayasa,4042.35,0.6379987914959047,0.12727272727272726,0.3964324876633617,constitutional_conflict,total,2023
Demokrasi,2047.4999999999998,0.3543149943584678,0.0,0.05971595699776559,democratic_reform,total,2023
Enflasyon,1860.0,0.5615975608851476,0.19999999999999998,0.2882331224582991,macro_economy,total,2023
Faiz,1378.15,0.37551299670667143,0.0,0.09756557680568996,macro_economy,total,2023
Reform,354.40000000000003,0.5027251215894047,0.0,0.2770339807570004,democratic_reform,total,2023
Avrupa Birligi,341.6,0.5135262663524672,0.0,0.24387716740719137,democratic_reform,total,2023
Vesayet,322.90000000000003,0.455220459354742,0.0,0.21581658888130434,constitutional_conflict,total,2023
Egemenlik,133.05,0.4903802131554501,0.0,0.2480278637056194,security_conflict,total,2023
IMF,58.8,0.47827651778901686,0.0,0.17867086693074383,macro_economy,total,2023
Ekonomi,14055.699999999999,0.6398798802127927,0.16363636363636364,0.43232001883463467,macro_economy,total,2024
Hukuk Devleti,13169.850000000002,0.6023470383989424,0.2909090909090909,0.3395172377799835,democratic_reform,total,2024
Guvenlik,8238.5,0.6389985813763371,0.18181818181818182,0.43237485879638565,security_conflict,total,2024
Anayasa,6551.250000000001,0.5730855504120121,0.18181818181818182,0.3325084427701393,constitutional_conflict,total,2024
Demokrasi,4063.2000000000003,0.37882940554024314,0.0,0.06358161242751592,democratic_reform,total,2024
Enflasyon,3460.95,0.4463687119903817,0.18181818181818182,0.14742289397421715,macro_economy,total,2024
Faiz,1754.75,0.31179929999830414,0.0,0.027969156338642946,macro_economy,total,2024
Reform,853.7,0.486957474726986,0.0,0.30072958964469504,democratic_reform,total,2024
Avrupa Birligi,515.0,0.5709457553671873,0.01818181818181818,0.4099072710953768,democratic_reform,total,2024
Vesayet,461.4500000000001,0.4674079428172266,0.18181818181818182,0.1481976957963491,constitutional_conflict,total,2024
Egemenlik,190.20000000000002,0.4927327890851424,0.0,0.30444602643358853,security_conflict,total,2024
IMF,84.55000000000001,0.31169592319040224,0.0,0.02543544149937665,macro_economy,total,2024
Hukuk Devleti,16668.15,0.6014354496758095,0.18181818181818182,0.37779124472633635,democratic_reform,total,2025
Ekonomi,12469.8,0.726818131712758,0.45454545454545453,0.4216683166304842,macro_economy,total,2025
Guvenlik,8993.550000000001,0.5414357083414889,0.07272727272727272,0.23098735586711341,security_conflict,total,2025
Anayasa,5521.55,0.5698277393864805,0.0,0.37130001953933794,constitutional_conflict,total,2025
Demokrasi,5415.800000000001,0.3671295574102204,0.0,0.06623760164591751,democratic_reform,total,2025
Enflasyon,2744.3999999999996,0.5698609593719148,0.0,0.37193127465405407,macro_economy,total,2025
Faiz,1887.8500000000001,0.4615783060715184,0.0,0.2951541981771509,macro_economy,total,2025
Reform,799.3,0.4806463945865234,0.18181818181818182,0.12620651337773828,democratic_reform,total,2025
Vesayet,462.84999999999997,0.32619825130192054,0.0,0.02383634083334503,constitutional_conflict,total,2025
Avrupa Birligi,417.5,0.6394120295135258,0.16363636363636364,0.4374750874823224,democratic_reform,total,2025
Egemenlik,308.85,0.4884990278815512,0.0,0.20943572567029012,security_conflict,total,2025
IMF,41.7,0.4280054552079238,0.0,0.08167263262905756,macro_economy,total,2025
Ekonomi,2435.3,0.1822618064552723,0.41818181818181815,0.484482865244173,macro_economy,total,2026
Hukuk Devleti,2283.2500000000005,0.17369441220374224,0.09090909090909091,0.32121042595761456,democratic_reform,total,2026
Guvenlik,1519.05,0.17891783828953792,0.6,0.18317616603733483,security_conflict,total,2026
Anayasa,840.9499999999999,0.16546805500545772,0.01818181818181818,0.40111858974631914,constitutional_conflict,total,2026
Demokrasi,752.5999999999999,0.14777216552276834,0.0,0.03221605029993102,democratic_reform,total,2026
Enflasyon,694.6999999999999,0.16494571071127814,0.03636363636363636,0.3929531907936564,macro_economy,total,2026
Faiz,354.2,0.1591503239582633,0.0,0.26898918635378594,macro_economy,total,2026
Reform,94.25,0.13584896494880305,0.0,0.00847465440835096,democratic_reform,total,2026
Avrupa Birligi,47.9,0.1651215540349315,0.0,0.40331559647876564,democratic_reform,total,2026
Egemenlik,36.15,0.1594983088070926,0.0,0.2748273781988208,security_conflict,total,2026
Vesayet,24.400000000000002,0.1565040751700107,0.18181818181818182,0.03973712457517162,constitutional_conflict,total,2026
IMF,1.35,0.02194664500028556,0.0,0.0009493482459793925,macro_economy,total,2026
Ekonomi,2715.3848800000005,0.47732679900184044,0.05454545454545454,0.360626475676582,macro_economy,positive,2023
Hukuk Devleti,1021.422725,0.5808062785982563,0.03636363636363636,0.42053274439394095,democratic_reform,positive,2023
Anayasa,608.8737600000001,0.562191556728022,0.2909090909090909,0.3712606262710597,constitutional_conflict,positive,2023
Guvenlik,578.03394,0.5081365348954715,0.2545454545454545,0.3859057097692772,security_conflict,positive,2023
Demokrasi,432.45112500000005,0.3864143421700566,0.0,0.16357028328177586,democratic_reform,positive,2023
Enflasyon,226.86206500000003,0.49881670569870085,0.10909090909090909,0.31723297095399267,macro_economy,positive,2023
Faiz,222.01985999999997,0.24651014036651187,0.0,0.007785008164134789,macro_economy,positive,2023
Reform,94.55385000000001,0.4765109291308266,0.0,0.3693793130482902,democratic_reform,positive,2023
Avrupa Birligi,53.742329999999995,0.4910126939246324,0.32727272727272727,0.2169083712876223,democratic_reform,positive,2023
Egemenlik,24.979799999999997,0.4332087055286655,0.0,0.29658270469282094,security_conflict,positive,2023
IMF,6.199999999999999,0.3541653454968307,0.18181818181818182,0.04666248448833041,macro_economy,positive,2023
Vesayet,0.5125,0.3265369950855653,0.0,0.0725360467104299,constitutional_conflict,positive,2023
Ekonomi,3826.494565,0.3735737062317909,0.0,0.2298325838778271,macro_economy,positive,2024
Hukuk Devleti,2181.536725,0.5883391720165191,0.32727272727272727,0.33218509766663373,democratic_reform,positive,2024
Anayasa,1053.7126649999998,0.560327082744674,0.21818181818181817,0.38619111735346934,constitutional_conflict,positive,2024
Guvenlik,865.351875,0.5245806416361037,0.14545454545454545,0.4288918372865176,security_conflict,positive,2024
Demokrasi,751.4339150000001,0.39232449407317344,0.18181818181818182,0.06596640767588496,democratic_reform,positive,2024
Enflasyon,420.4078100000001,0.5847040520790711,0.12727272727272726,0.43407693989892343,macro_economy,positive,2024
Faiz,251.30627500000003,0.3553359332776067,0.0,0.06756308724823999,macro_economy,positive,2024
Reform,231.66515000000004,0.45698845373315283,0.0,0.3719428777254997,democratic_reform,positive,2024
Avrupa Birligi,120.28024000000002,0.5276521321466917,0.32727272727272727,0.2693417993767114,democratic_reform,positive,2024
Egemenlik,27.41536,0.4343444045348045,0.0,0.3014055821475791,security_conflict,positive,2024
IMF,6.483175,0.27024356201478156,0.0,0.011696937873300317,macro_economy,positive,2024
Vesayet,2.5625,0.35458923722260444,0.0,0.0673088190565934,constitutional_conflict,positive,2024
Ekonomi,3519.64076,0.5595043386931894,0.18181818181818182,0.38809895841524666,macro_economy,positive,2025
Hukuk Devleti,3076.2578750000002,0.44695038852711344,0.0,0.2608166407239559,democratic_reform,positive,2025
Guvenlik,1277.97498,0.5309932839935387,0.21818181818181817,0.38130057997439,security_conflict,positive,2025
Demokrasi,1140.1149699999999,0.2926154348764079,0.0,0.03670682674357229,democratic_reform,positive,2025
