term,event_month,event_label,party,pre_position,post_position,delta_position
28,2024-03,Local elections,Adalet ve Kalkınma Partisi,-0.10557311682273604,1.407450568954137,1.513023685776873
28,2024-03,Local elections,Bağımsız,1.5774091330521136,0.28287759189678474,-1.2945315411553289
28,2024-03,Local elections,Cumhuriyet Halk Partisi,-0.5464259281064149,0.08365594409211248,0.6300818721985274
28,2024-03,Local elections,DEM Parti,-0.16076841881675447,-1.5628547974872151,-1.4020863786704607
28,2024-03,Local elections,Demokratik Sol Parti,-1.5359608651102121,0.8387890116740486,2.3747498767842607
28,2024-03,Local elections,Halkların Eşitlik ve Demokrasi Partisi,-1.8831961322396404,-1.3774394276282627,0.5057567046113778
28,2024-03,Local elections,Milliyetçi Hareket Partisi,2.3534032063342516,0.19957088672865475,-2.1538323196055966
28,2024-03,Local elections,Saadet Partisi,0.32911316665637924,-3.2519340079958123,-3.5810471746521917
28,2024-03,Local elections,Türkiye İşçi Partisi,-1.6392382759997772,0.08689329915849617,1.7261315751582733
28,2024-03,Local elections,YENİ YOL Partisi,-0.08192292724364125,-0.8815048767028021,-0.7995819494591608
28,2024-03,Local elections,Yeniden Refah Partisi,0.7425232346442476,1.221079806937886,0.47855657229363846
28,2024-03,Local elections,İYİ Parti,0.7302512784577391,0.24942113409602318,-0.4808301443617159
28,2025-03,Imamoglu case,Adalet ve Kalkınma Partisi,2.4343873676178447,1.4325023826297985,-1.0018849849880462
28,2025-03,Imamoglu case,Bağımsız,0.7474118861453434,2.468371815233537,1.7209599290881936
28,2025-03,Imamoglu case,Cumhuriyet Halk Partisi,-1.1273160913445608,-1.0327721601729556,0.0945439311716052
28,2025-03,Imamoglu case,DEM Parti,-1.8270698693332277,-0.7711032680103828,1.055966601322845
28,2025-03,Imamoglu case,Demokratik Sol Parti,-1.0073269896071821,-0.020433408155055455,0.9868935814521267
28,2025-03,Imamoglu case,Halkların Eşitlik ve Demokrasi Partisi,-0.6229491646621608,-1.1281737701347585,-0.5052246054725977
28,2025-03,Imamoglu case,Milliyetçi Hareket Partisi,2.8061906142383997,3.821234206559742,1.0150435923213426
28,2025-03,Imamoglu case,Türkiye İşçi Partisi,,-2.1100014328611247,
28,2025-03,Imamoglu case,YENİ YOL Partisi,-0.6603748640611911,1.213878248013706,1.874253112074897
28,2025-03,Imamoglu case,Yeniden Refah Partisi,-2.316321609559836,-1.0216691138307092,1.2946524957291266
28,2025-03,Imamoglu case,İYİ Parti,-0.6035357682861575,-0.9408070223531347,-0.3372712540669772
28,2025-04,Post-case protests,Adalet ve Kalkınma Partisi,1.5226146671081366,1.4537666580411923,-0.06884800906694433
28,2025-04,Post-case protests,Bağımsız,-0.2986845116885356,2.468371815233537,2.7670563269220727
28,2025-04,Post-case protests,Cumhuriyet Halk Partisi,-1.9181756850381086,-0.33407964394090256,1.584096041097206
28,2025-04,Post-case protests,DEM Parti,-1.5957910105544046,-2.411518908258687,-0.8157278977042823
28,2025-04,Post-case protests,Demokratik Sol Parti,-0.9282943368146601,0.4895922829728434,1.4178866197875035
28,2025-04,Post-case protests,Halkların Eşitlik ve Demokrasi Partisi,-0.44542093789821,-1.5336099989301697,-1.0881890610319598
28,2025-04,Post-case protests,Milliyetçi Hareket Partisi,1.8370026525205048,3.9079503050798876,2.070947652559383
28,2025-04,Post-case protests,Türkiye İşçi Partisi,,-2.1100014328611247,
28,2025-04,Post-case protests,YENİ YOL Partisi,-0.5393861558900687,1.4927919473329456,2.032178103223014
28,2025-04,Post-case protests,Yeniden Refah Partisi,-1.4797668716611905,-0.02516018906009952,1.454606682601091
28,2025-04,Post-case protests,İYİ Parti,-0.7121620940397694,-0.9509371332571707,-0.23877503921740129
