party,center,left,right,n_years,ideology_ref,boot_q10,boot_q25,boot_median,boot_q75,boot_q90,boot_std
DEM Parti,-2.0801717136378928,-2.857458941710761,-0.051081354771460474,4,-2.0,-3.1846072730212014,-2.6771608485448404,-2.191074999173517,-1.6342280294567901,-1.2553034944265644,0.7420143484246284
Türkiye İşçi Partisi,-1.596591117881079,-2.103041747961815,-0.016854306313368844,3,-1.5,-2.5846816680431095,-2.144091396516094,-1.5961734915944628,-1.0407106341313046,-0.5627635835550646,0.7797341718018058
Halkların Eşitlik ve Demokrasi Partisi,-1.4103449574115308,-1.5961194966378256,-1.159316322175837,4,-2.0,-1.6415542243266712,-1.5472783589943764,-1.447124457065259,-1.34805350947549,-1.242591474941917,0.1519440169537462
Demokratik Sol Parti,-1.1372773139638572,-1.3948011452695666,-0.5800082086396898,4,-0.8,-2.099360951415045,-1.7510001624037108,-1.256307643843691,-0.8926887015879197,-0.5797130485593617,0.61321480744083
Cumhuriyet Halk Partisi,-0.6955532921626313,-1.0458962006351435,-0.1684287677599845,4,-1.0,-0.9259271340578299,-0.8314627417486329,-0.7252686310188361,-0.5874482913658972,-0.4792364093728148,0.17777130234866803
Saadet Partisi,-0.3083603111061983,-1.236130934796668,0.7770284256713567,3,0.2,-1.7638905110119358,-1.2060964254781754,-0.6317439247780186,-0.10546998594352291,0.5222152547996526,0.8749154041995849
YENİ YOL Partisi,-0.19898859620108073,-0.5554046908002768,0.4138063728511018,4,-0.3,-0.46714698490620815,-0.32688063115401556,-0.183642416723527,-0.04428175274313925,0.11202829432260776,0.23572685044531855
İYİ Parti,-0.04657915957561597,-0.25824032520592743,1.5001751625824233,4,0.3,-0.17705333632179845,-0.06618290033924909,0.0851750620459724,0.2548758954229804,0.3785590704198983,0.23505417285200864
Yeniden Refah Partisi,0.38042422955275984,-0.261487696450689,1.3583734953021158,4,0.9,-0.6879093063813774,-0.08642772615893786,0.46841144365887866,0.922530493090914,1.4046277623919718,0.8071803179848761
Bağımsız,0.6523417781709508,0.13770717792356013,1.064559496439661,4,0.0,0.24221475672835333,0.4442435947193935,0.7253473477507038,0.9217879786182325,1.0927304392406472,0.338839408125906
Adalet ve Kalkınma Partisi,1.808002614219401,1.0804395780615392,2.52932413500513,4,0.8,1.3508487224683643,1.4604435257707706,1.6050637949035669,1.7728903721808198,1.8971446147954034,0.21929434273868145
Milliyetçi Hareket Partisi,3.1697402099801995,1.7619621220646533,3.682658004273348,4,1.2,3.0499919780241185,3.2548668360515727,3.4432004576294757,3.6457637820750923,3.8857195621355074,0.31981737941064536
