layer,party_nodes,concept_nodes,bipartite_edges,party_projection_edges,concept_projection_edges,party_projection_density,concept_projection_density,party_bloc_assortativity,avg_party_closeness,avg_party_betweenness,avg_concept_closeness,avg_concept_betweenness,party_avg_path_lcc,concept_avg_path_lcc,year
total,12,12,126,33,24,0.5,0.36363636363636365,,0.5448315743472417,0.06212121212121211,0.5196815785730587,0.08484848484848484,1.9532261407572644,1.9994615716959148,2023
total,12,12,126,33,24,0.5,0.36363636363636365,,0.5734613579432283,0.05606060606060606,0.49342069609299655,0.09999999999999999,1.8446933780221575,2.150192963989769,2024
total,12,12,119,33,24,0.5,0.36363636363636365,,0.5577692582427625,0.06060606060606061,0.516737250871803,0.08787878787878788,1.8703926504019084,2.0315940636535084,2025
total,10,12,87,23,21,0.5111111111111111,0.3181818181818182,,0.5603458737709357,0.08055555555555556,0.15092748834228695,0.11212121212121212,1.8932188328780837,9.469266185168669,2026
positive,12,12,89,33,24,0.5,0.36363636363636365,,0.46271815586924064,0.06515151515151514,0.44513641888544825,0.10454545454545455,2.3833772809300555,2.3785227455812077,2023
positive,12,12,98,33,23,0.5,0.3484848484848485,,0.4600312920164593,0.06818181818181818,0.45191690597591444,0.1106060606060606,2.293399468665774,2.3372664787671473,2024
positive,12,12,99,33,23,0.5,0.3484848484848485,,0.4693892571753627,0.06515151515151515,0.4460562347961698,0.10454545454545454,2.2067594372322077,2.367888745154936,2025
positive,10,10,62,20,16,0.4444444444444444,0.35555555555555557,,0.4313938097894018,0.09166666666666666,0.45430255229307265,0.11944444444444444,2.5479659211334695,2.32410221653766,2026
negative,12,12,92,32,24,0.48484848484848486,0.36363636363636365,,0.5229107948476192,0.06818181818181818,0.5082624985690453,0.07878787878787878,2.011207939900832,2.0320816442435525,2023
negative,12,12,107,33,24,0.5,0.36363636363636365,,0.5388417700648664,0.06818181818181818,0.48844785482882763,0.08939393939393937,1.9922859363268817,2.155757389463594,2024
negative,12,12,95,33,24,0.5,0.36363636363636365,,0.5379994656820468,0.05757575757575758,0.4690998299613762,0.10757575757575759,1.957624415348641,2.278944502702821,2025
negative,9,12,61,18,20,0.5,0.30303030303030304,,0.49447273568993594,0.10317460317460317,0.1503205498547966,0.10151515151515152,2.156473829406271,9.379857770776667,2026
