term,event_month,event_label,topic,topic_label,salience_pre,salience_post,salience_delta,neg_rate_pre,neg_rate_post,neg_rate_delta,top_party_pre,top_party_post
28,2024-03,Local elections,constitutional_conflict,Constitutional conflict,0.18933194654568447,0.11375673890048581,-0.07557520764519866,0.2122683142100618,0.29482545354590434,0.08255713933584255,Türkiye İşçi Partisi,Türkiye İşçi Partisi
28,2024-03,Local elections,democratic_reform,Democratic reform,0.4071068038100244,0.4347376704901515,0.027630866680127097,0.31770416085761444,0.2853743551833227,-0.03232980567429172,Halkların Eşitlik ve Demokrasi Partisi,DEM Parti
28,2024-03,Local elections,macro_economy,Macro economy,0.20475291570503795,0.3244222547784857,0.11966933907344773,0.45208050106816855,0.38569659905866804,-0.0663839020095005,DEM Parti,Demokratik Sol Parti
28,2024-03,Local elections,security_conflict,Security conflict,0.19880833393925323,0.127083335830877,-0.07172499810837624,0.463262599469496,0.48576647863494143,0.02250387916544544,Demokratik Sol Parti,Milliyetçi Hareket Partisi
28,2025-03,Imamoglu case,constitutional_conflict,Constitutional conflict,0.1305037704167416,0.1482807239805689,0.017776953563827302,0.270623726639334,0.2816130338680064,0.010989307228672418,Yeniden Refah Partisi,Türkiye İşçi Partisi
28,2025-03,Imamoglu case,democratic_reform,Democratic reform,0.49105159055421255,0.4140964736615018,-0.07695511689271073,0.3219069604778436,0.3718083762831263,0.04990141580528268,Bağımsız,Halkların Eşitlik ve Demokrasi Partisi
28,2025-03,Imamoglu case,macro_economy,Macro economy,0.2451637714566226,0.2525341285657815,0.007370357109158898,0.4350776351479913,0.4297078989386682,-0.005369736209323128,Yeniden Refah Partisi,Bağımsız
28,2025-03,Imamoglu case,security_conflict,Security conflict,0.1332808675724232,0.18508867379214775,0.051807806219724556,0.5194215814609596,0.519592509780038,0.00017092831907838946,Demokratik Sol Parti,Yeniden Refah Partisi
28,2025-04,Post-case protests,constitutional_conflict,Constitutional conflict,0.09617477091219694,0.1644679449920149,0.06829317407981796,0.313483309299873,0.2840732025652885,-0.029410106734584496,Yeniden Refah Partisi,Türkiye İşçi Partisi
28,2025-04,Post-case protests,democratic_reform,Democratic reform,0.47703900115913306,0.4115785148201676,-0.06546048633896545,0.3503484057664114,0.33876289436238743,-0.011585511404023974,Bağımsız,Halkların Eşitlik ve Demokrasi Partisi
28,2025-04,Post-case protests,macro_economy,Macro economy,0.23822524144026913,0.28017275912355216,0.04194751768328303,0.4278132152955433,0.4593881590849307,0.03157494378938741,Milliyetçi Hareket Partisi,Bağımsız
28,2025-04,Post-case protests,security_conflict,Security conflict,0.18856098648840086,0.14378078106426528,-0.04478020542413558,0.5492503618891356,0.5546351278099239,0.0053847659207882925,Yeniden Refah Partisi,Demokratik Sol Parti
