party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer,year
Cumhuriyet Halk Partisi,8103.5,0.6399033970499028,0.0,0.3552403178261021,opposition,total,2023
Adalet ve Kalkınma Partisi,6309.900000000001,0.628730426694197,0.10909090909090909,0.34093446295373414,opposition,total,2023
Halkların Eşitlik ve Demokrasi Partisi,6227.050000000001,0.6197772703438496,0.34545454545454546,0.27200439978739266,opposition,total,2023
İYİ Parti,4370.95,0.6798962038009171,0.10909090909090909,0.38764473181183395,opposition,total,2023
YENİ YOL Partisi,3381.8499999999995,0.6294772787245558,0.0,0.3469067381481722,opposition,total,2023
Milliyetçi Hareket Partisi,3231.65,0.5591077482092315,0.0,0.34160695269058694,opposition,total,2023
Bağımsız,581.85,0.6999262689133052,0.18181818181818182,0.3813498612033891,opposition,total,2023
DEM Parti,156.5,0.3442392633497003,0.0,0.03106129351837377,opposition,total,2023
Yeniden Refah Partisi,152.6,0.3659434741383285,0.0,0.043131222705149234,opposition,total,2023
Demokratik Sol Parti,145.9,0.4923121630248046,0.0,0.2466433691480229,opposition,total,2023
Türkiye İşçi Partisi,112.25,0.3550229062660888,0.0,0.03333910169650898,opposition,total,2023
Saadet Partisi,93.79999999999998,0.5236424916520204,0.0,0.29338764739402223,opposition,total,2023
Cumhuriyet Halk Partisi,12591.45,0.785960134345172,0.21818181818181817,0.40344275824256787,opposition,total,2024
Halkların Eşitlik ve Demokrasi Partisi,11394.300000000001,0.5645387746588015,0.0,0.2612312079094537,opposition,total,2024
Adalet ve Kalkınma Partisi,10830.3,0.6469241746891126,0.19999999999999998,0.32541475232059425,opposition,total,2024
İYİ Parti,7507.15,0.7418097291171534,0.14545454545454545,0.4051494227390423,opposition,total,2024
YENİ YOL Partisi,5625.900000000001,0.7383541317216497,0.10909090909090909,0.40127249383601993,opposition,total,2024
Milliyetçi Hareket Partisi,4040.1499999999996,0.5909889226066701,0.0,0.3130228562286603,opposition,total,2024
DEM Parti,440.25,0.4886831651495474,0.0,0.20615908006700595,opposition,total,2024
Bağımsız,440.0,0.5814348209968123,0.0,0.3070181130116905,opposition,total,2024
Saadet Partisi,168.8,0.5275225279958337,0.0,0.26797621891014256,opposition,total,2024
Demokratik Sol Parti,154.05,0.35771570020557425,0.0,0.03935110519939756,opposition,total,2024
Yeniden Refah Partisi,150.4,0.46355293903434175,0.0,0.16584766565439849,opposition,total,2024
Türkiye İşçi Partisi,56.35000000000001,0.39405127479807156,0.0,0.048182555298360345,opposition,total,2024
Cumhuriyet Halk Partisi,13880.199999999999,0.5796653383829615,0.09090909090909091,0.3205773936729116,opposition,total,2025
Halkların Eşitlik ve Demokrasi Partisi,10963.95,0.5699044099795822,0.07272727272727272,0.3134881855530838,opposition,total,2025
İYİ Parti,9071.949999999999,0.6842640775119969,0.05454545454545454,0.3930430369502177,opposition,total,2025
YENİ YOL Partisi,8875.550000000001,0.6820670016159396,0.07272727272727272,0.38084632398549617,opposition,total,2025
Adalet ve Kalkınma Partisi,7464.200000000001,0.6919676827762625,0.14545454545454545,0.39775977463127765,opposition,total,2025
Milliyetçi Hareket Partisi,4308.349999999999,0.5844176363861341,0.01818181818181818,0.29127089572326204,opposition,total,2025
DEM Parti,553.1999999999999,0.4104724881933528,0.0,0.10290438414549988,opposition,total,2025
Demokratik Sol Parti,241.20000000000005,0.5127460112882353,0.03636363636363636,0.2129943509361106,opposition,total,2025
Yeniden Refah Partisi,187.6,0.5198751291642283,0.12727272727272726,0.2249215130995935,opposition,total,2025
Bağımsız,73.35000000000001,0.6687244755673235,0.10909090909090909,0.3675541257087199,opposition,total,2025
Türkiye İşçi Partisi,62.95,0.40896968704223113,0.0,0.10392340877361499,opposition,total,2025
Saadet Partisi,48.800000000000004,0.3801571610049025,0.0,0.06273168822331238,opposition,total,2025
Cumhuriyet Halk Partisi,2235.4,0.660131942150765,0.0,0.405104847116389,opposition,total,2026
Halkların Eşitlik ve Demokrasi Partisi,1988.25,0.5646010112206229,0.2222222222222222,0.29530901106877927,opposition,total,2026
YENİ YOL Partisi,1562.8000000000002,0.6614468898692721,0.05555555555555555,0.4064569999353027,opposition,total,2026
İYİ Parti,1445.2499999999998,0.6716442783220136,0.05555555555555555,0.4080732803252932,opposition,total,2026
Adalet ve Kalkınma Partisi,1287.3500000000001,0.7174524438632855,0.19444444444444442,0.42118309557072925,opposition,total,2026
Milliyetçi Hareket Partisi,403.6,0.6137219923940725,0.2777777777777778,0.34031936259470924,opposition,total,2026
Yeniden Refah Partisi,85.79999999999998,0.49770128953008647,0.0,0.3005845931139536,opposition,total,2026
Demokratik Sol Parti,44.650000000000006,0.48793646977206767,0.0,0.15251745398609298,opposition,total,2026
DEM Parti,24.549999999999997,0.32203206657556493,0.0,0.03956719728225097,opposition,total,2026
Bağımsız,6.449999999999999,0.4067903540116066,0.0,0.09252487704649955,opposition,total,2026
Adalet ve Kalkınma Partisi,1527.0184299999999,0.5854800508988501,0.0,0.3760734785000164,opposition,positive,2023
Milliyetçi Hareket Partisi,1244.17094,0.5025511411814979,0.0,0.35579375248666495,opposition,positive,2023
Cumhuriyet Halk Partisi,1075.396955,0.587735152809592,0.21818181818181817,0.3713289987225566,opposition,positive,2023
Halkların Eşitlik ve Demokrasi Partisi,688.8522549999999,0.5105550072082699,0.34545454545454546,0.19868589498907527,opposition,positive,2023
İYİ Parti,635.765265,0.612680814156722,0.19999999999999998,0.38448779266068595,opposition,positive,2023
YENİ YOL Partisi,498.61129999999997,0.522410687008821,0.0,0.2897015445373218,opposition,positive,2023
Bağımsız,139.680775,0.5049629639860034,0.01818181818181818,0.3559264473635306,opposition,positive,2023
Yeniden Refah Partisi,59.403929999999995,0.2729983639943517,0.0,0.027656483133676083,opposition,positive,2023
Demokratik Sol Parti,47.616185,0.47116245934348977,0.0,0.3134478158657446,opposition,positive,2023
DEM Parti,33.93969499999999,0.2541762345682202,0.0,0.014691288556294205,opposition,positive,2023
Saadet Partisi,20.586015,0.4691476152984318,0.0,0.3109897182700097,opposition,positive,2023
Türkiye İşçi Partisi,13.995090000000001,0.25875737997663795,0.0,0.015228184257989795,opposition,positive,2023
Adalet ve Kalkınma Partisi,2712.9531549999997,0.5312455494531962,0.09090909090909091,0.37938588380040306,opposition,positive,2024
Milliyetçi Hareket Partisi,1775.3323300000002,0.48073063683161305,0.0,0.3585480997452513,opposition,positive,2024
Cumhuriyet Halk Partisi,1731.0103600000002,0.5379196740925004,0.0,0.35963775317607055,opposition,positive,2024
Halkların Eşitlik ve Demokrasi Partisi,1260.134095,0.6057742233924527,0.509090909090909,0.30301085294864083,opposition,positive,2024
İYİ Parti,1096.888095,0.5448604721243808,0.0,0.37046350363340624,opposition,positive,2024
YENİ YOL Partisi,918.5557399999999,0.538450215799561,0.0,0.378369286087542,opposition,positive,2024
Bağımsız,124.56299000000001,0.40446877496164374,0.0,0.3098387013534191,opposition,positive,2024
DEM Parti,57.00644,0.3954214867063809,0.03636363636363636,0.045139174752822794,opposition,positive,2024
Demokratik Sol Parti,26.745955000000002,0.3610479600483566,0.0,0.04049446694916401,opposition,positive,2024
Yeniden Refah Partisi,20.174955,0.37498080054702454,0.18181818181818182,0.03657147855902718,opposition,positive,2024
Türkiye İşçi Partisi,9.0,0.2588596015367318,0.0,0.004756087664994485,opposition,positive,2024
Saadet Partisi,6.28614,0.48661610870367095,0.0,0.3534271288795183,opposition,positive,2024
Adalet ve Kalkınma Partisi,2342.59217,0.5367936966743563,0.0,0.3702540081067083,opposition,positive,2025
Cumhuriyet Halk Partisi,1959.4382600000001,0.5122363274558618,0.0,0.35941839267675324,opposition,positive,2025
