speaker,party,community,community_label,total_mentions,pos_to_plus,pos_to_minus,neg_to_plus,neg_to_minus,reach_plus,reach_minus,positive_bridge_balance,signed_reach_balance,gatekeeper_score,cross_pressure
Tamer Osmanağaoğlu,Milliyetçi Hareket Partisi,1,Pole +,130.0,10.77448033133502,0.0,0.0,10.690448507065927,10.77448033133502,10.690448507065927,0.0,0.4980425785266326,3.131272372972609,0.0
Zeynel Emre,Cumhuriyet Halk Partisi,-1,Pole -,77.0,0.0,8.164336547203057,8.626480617055073,0.0,8.626480617055073,8.164336547203057,0.0,0.48623819000875557,2.937893634403618,0.0
Muhammed Levent Bülbül,Milliyetçi Hareket Partisi,1,Pole +,704.0,8.072722812005857,0.0,0.0,8.496242487162933,8.072722812005857,8.496242487162933,0.0,0.4872194893137727,2.9373578476919424,0.0
Kamuran Tanhan,Halkların Eşitlik ve Demokrasi Partisi,-1,Pole -,658.0,0.0,7.750234799932485,7.537613621726409,0.0,7.537613621726409,7.750234799932485,0.0,0.49304607249732607,2.9329078128556274,0.0
Ferit Şenyaşar,Halkların Eşitlik ve Demokrasi Partisi,-1,Pole -,331.0,0.0,8.660035745294593,8.132097101858504,0.0,8.132097101858504,8.660035745294593,0.0,0.4842801790216257,2.926101016134354,0.0
Mustafa Arslan,Adalet ve Kalkınma Partisi,1,Pole +,361.0,6.929588655803879,0.0,0.0,7.018198702543536,6.929588655803879,7.018198702543536,0.0,0.4968235087954551,2.909925320137889,0.0
Ali Bozan,Halkların Eşitlik ve Demokrasi Partisi,-1,Pole -,508.0,0.0,8.13297329769594,7.584426309229741,0.0,7.584426309229741,8.13297329769594,0.0,0.48254969005211307,2.883806651868183,0.0
Türkan Elçi,Cumhuriyet Halk Partisi,-1,Pole -,131.0,0.0,6.59017521718186,6.6830411314288956,0.0,6.6830411314288956,6.59017521718186,0.0,0.49650175538464125,2.883500017417209,0.0
Mehmet Baykan,Adalet ve Kalkınma Partisi,0,Neutral,109.0,2.6906802127632687,0.0,0.6842578903537974,3.5796422825443126,3.374938103117066,3.5796422825443126,0.0,0.48528277990575386,2.881906703044097,0.7507751685456577
Mevlüt Karakaya,Milliyetçi Hareket Partisi,1,Pole +,254.0,7.150655489942325,0.0,0.0,7.517775899517439,7.150655489942325,7.517775899517439,0.0,0.48748603716366407,2.8797246674744312,0.0
