speaker,party,total_mentions,community,community_label,eigen_score,embed1,embed2
Abdulhamit Gül,Adalet ve Kalkınma Partisi,992,1,Pole +,0.05821495108922298,-0.4544772128656314,0.5488810598770429
Abdullah Güler,Adalet ve Kalkınma Partisi,359,1,Pole +,0.02871655279713592,-0.5782152905208281,-0.05138418988932949
Abdurrahim Fırat,Adalet ve Kalkınma Partisi,86,1,Pole +,0.06389999177952499,-0.8132228258284011,0.07887113257368597
Abdurrahman Tutdere,Cumhuriyet Halk Partisi,131,-1,Pole -,-0.11384585730836971,0.2723754455626543,-0.7222268840374462
Adalet Kaya,Halkların Eşitlik ve Demokrasi Partisi,331,0,Neutral,-0.022384580660914977,0.4584625537822366,0.411131104430147
Adem Korkmaz,Adalet ve Kalkınma Partisi,89,0,Neutral,0.00716835881420308,-0.36030634907583753,-0.17355523891516167
Adem Yıldırım,Adalet ve Kalkınma Partisi,84,1,Pole +,0.045673674205369996,-0.5896306662870303,0.18657018712961082
Adem Çalkın,Adalet ve Kalkınma Partisi,119,0,Neutral,0.007415326219263663,-0.21895702815752766,-0.2386279308894536
Adil Biçer,Adalet ve Kalkınma Partisi,63,1,Pole +,0.07839943105812353,-0.676694812430676,-0.42347031935337415
Adil Karaismailoğlu,Adalet ve Kalkınma Partisi,92,0,Neutral,0.010792923977839458,-0.26624440127958005,-0.0089862828798343
Adnan Şefik Çirkin,İYİ Parti,102,1,Pole +,0.05384837961517937,-0.38485596091567276,0.600660242162528
Ahmet Erbaş,Milliyetçi Hareket Partisi,112,1,Pole +,0.039419637777228345,-0.6476415055187789,-0.3574063219599917
Ahmet Eşref Fakıbaba,İYİ Parti,63,-1,Pole -,-0.0446000544368555,0.4647174672390845,-0.5017136343297854
Ahmet Vehbi Bakırlıoğlu,Cumhuriyet Halk Partisi,280,-1,Pole -,-0.02651891824042215,0.35983231630537815,-0.1461483232610756
Ahmet Özyürek,Milliyetçi Hareket Partisi,101,1,Pole +,0.134891106137512,-0.7190356582677327,-0.39561162368854913
Ali Bozan,Halkların Eşitlik ve Demokrasi Partisi,508,-1,Pole -,-0.12227518900327043,0.4275589231527193,-0.7520969406598443
Ali Fazıl Kasap,Cumhuriyet Halk Partisi,92,-1,Pole -,-0.058325001626917505,0.622258244424515,-0.20500945722750663
Ali Gökçek,Cumhuriyet Halk Partisi,94,0,Neutral,-0.010572235554868633,0.30902678866430805,-0.19386134384179018
Ali Karaoba,Cumhuriyet Halk Partisi,159,-1,Pole -,-0.061326285792378726,0.6350030352026373,-0.41886129945658573
Ali Kıratlı,Adalet ve Kalkınma Partisi,74,1,Pole +,0.02948664880522962,-0.41850753138622465,-0.3505896214197606
Ali Mahir Başarır,Cumhuriyet Halk Partisi,1777,-1,Pole -,-0.061432078783222606,0.6875450421241699,-0.3501287932859733
Ali Özkaya,Adalet ve Kalkınma Partisi,201,-1,Pole -,-0.03232587535782303,0.039939524730291574,-0.7022870474122432
Ali Öztunç,Cumhuriyet Halk Partisi,75,-1,Pole -,-0.0783801104766861,0.7505017683723355,-0.13265689704488196
Aliye Coşar,Cumhuriyet Halk Partisi,444,-1,Pole -,-0.07643680371902209,0.718877403729204,-0.34293010435885796
Aliye Timisi Ersever,Cumhuriyet Halk Partisi,238,0,Neutral,-0.01717323570959581,0.40567611163139267,-0.1476784121281852
Asu Kaya,Cumhuriyet Halk Partisi,75,0,Neutral,-0.0166531990214552,0.2696703086862316,-0.26769238656467764
Atay Uslu,Adalet ve Kalkınma Partisi,108,1,Pole +,0.03537771293926365,-0.4744813608793466,-0.426023802775257
Ayhan Barut,Cumhuriyet Halk Partisi,249,0,Neutral,-0.014987984452797231,0.3943628656392973,0.0045897942720890695
Aykut Kaya,Cumhuriyet Halk Partisi,470,0,Neutral,-0.012284042226283348,0.31343023668103565,-0.07829490505669569
Aylin Yaman,Cumhuriyet Halk Partisi,87,-1,Pole -,-0.028659693077046362,0.4041156208454081,0.31550806813748206
Aysu Bankoğlu,Cumhuriyet Halk Partisi,82,-1,Pole -,-0.1058702439715805,0.49773998984048273,-0.4993887109208169
Ayten Kordu,Halkların Eşitlik ve Demokrasi Partisi,241,0,Neutral,-0.006713696613461174,0.27615780337805673,-0.14356682511522495
Ayyüce Türkeş Taş,İYİ Parti,786,1,Pole +,0.03904540684536425,-0.5630856337330453,0.27663255605164266
Ayça Taşkent,Cumhuriyet Halk Partisi,163,0,Neutral,-0.01091679793931272,0.17363459594197006,0.14524865766109668
Ayşe Böhürler,Adalet ve Kalkınma Partisi,69,-1,Pole -,-0.02463907299004784,0.13457805887685964,0.5032810961595748
