party,concept_slug,concept,concept_category,speech_count,mention_count,beme_positive_hits,beme_negative_hits,salience_weight,layer_weight,beme_score,layer
Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,2805,8699,2137,2703,10393.0,10393.0,-0.11691799215038215,total
Halkların Eşitlik ve Demokrasi Partisi,law_state,Hukuk Devleti,democratic_reform,2664,8109,1873,3342,9934.25,9934.25,-0.2816334355828221,total
Cumhuriyet Halk Partisi,economy,Ekonomi,macro_economy,2483,6814,2201,3459,8795.0,8795.0,-0.2222222222222222,total
Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,1709,5044,3936,1400,6911.6,6911.6,0.47517331834363874,total
Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,1954,4976,1712,1341,6044.55,6044.55,0.1214800261951539,total
İYİ Parti,economy,Ekonomi,macro_economy,1264,4568,1687,2312,5967.65,5967.65,-0.15625,total
Halkların Eşitlik ve Demokrasi Partisi,economy,Ekonomi,macro_economy,1242,4362,1609,2828,5914.95,5914.95,-0.2746732762505633,total
Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,2153,4658,1584,1973,5902.95,5902.95,-0.10933108487914558,total
YENİ YOL Partisi,law_state,Hukuk Devleti,democratic_reform,1285,4689,1345,1305,5616.5,5616.5,0.015088645794039984,total
Halkların Eşitlik ve Demokrasi Partisi,democracy,Demokrasi,democratic_reform,1777,4288,1812,1649,5499.35,5499.35,0.04708261120739457,total
Milliyetçi Hareket Partisi,economy,Ekonomi,macro_economy,564,3946,3589,830,5492.65,5492.65,0.6242081447963801,total
İYİ Parti,law_state,Hukuk Devleti,democratic_reform,1155,4378,1402,1285,5318.45,5318.45,0.04352678571428571,total
Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,1526,4659,773,996,5278.15,5278.15,-0.12598870056497175,total
YENİ YOL Partisi,economy,Ekonomi,macro_economy,1202,3756,1393,1567,4792.0,4792.0,-0.05876393110435663,total
Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,1728,3322,675,1954,4242.15,4242.15,-0.4863117870722434,total
İYİ Parti,security,Guvenlik,security_conflict,1297,3309,840,1445,4108.75,4108.75,-0.2646544181977253,total
Halkların Eşitlik ve Demokrasi Partisi,security,Guvenlik,security_conflict,1571,2992,596,1860,3851.6,3851.6,-0.5144485144485145,total
Halkların Eşitlik ve Demokrasi Partisi,constitution,Anayasa,constitutional_conflict,1014,2863,640,611,3300.85,3300.85,0.0231629392971246,total
Milliyetçi Hareket Partisi,security,Guvenlik,security_conflict,597,2226,899,1032,2901.85,2901.85,-0.06884057971014493,total
Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,917,2441,649,420,2815.15,2815.15,0.21401869158878506,total
Cumhuriyet Halk Partisi,inflation,Enflasyon,macro_economy,1080,2402,360,716,2778.6,2778.6,-0.3305478180129991,total
YENİ YOL Partisi,constitution,Anayasa,constitutional_conflict,657,2266,369,405,2536.9,2536.9,-0.04645161290322581,total
Cumhuriyet Halk Partisi,democracy,Demokrasi,democratic_reform,1105,1902,591,494,2281.75,2281.75,0.08931860036832412,total
YENİ YOL Partisi,security,Guvenlik,security_conflict,818,1766,426,899,2229.75,2229.75,-0.35671191553544496,total
İYİ Parti,constitution,Anayasa,constitutional_conflict,607,1824,377,310,2064.45,2064.45,0.09738372093023256,total
İYİ Parti,inflation,Enflasyon,macro_economy,551,1798,225,524,2060.15,2060.15,-0.39866666666666667,total
Cumhuriyet Halk Partisi,interest,Faiz,macro_economy,756,1721,296,342,1944.3,1944.3,-0.07198748043818466,total
Milliyetçi Hareket Partisi,law_state,Hukuk Devleti,democratic_reform,364,1250,578,224,1530.7,1530.7,0.44084682440846823,total
Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,771,1225,503,271,1495.9,1495.9,0.29935483870967744,total
YENİ YOL Partisi,interest,Faiz,macro_economy,366,1154,187,248,1306.25,1306.25,-0.13990825688073394,total
YENİ YOL Partisi,inflation,Enflasyon,macro_economy,401,1025,169,325,1197.9,1197.9,-0.3151515151515151,total
İYİ Parti,interest,Faiz,macro_economy,322,1025,125,195,1137.0,1137.0,-0.21806853582554517,total
Halkların Eşitlik ve Demokrasi Partisi,inflation,Enflasyon,macro_economy,397,908,158,427,1112.75,1112.75,-0.4590443686006826,total
YENİ YOL Partisi,democracy,Demokrasi,democratic_reform,423,877,309,184,1049.55,1049.55,0.25303643724696356,total
İYİ Parti,democracy,Demokrasi,democratic_reform,480,776,289,191,944.0,944.0,0.20374220374220375,total
Adalet ve Kalkınma Partisi,inflation,Enflasyon,macro_economy,335,702,329,181,880.5,880.5,0.2896281800391389,total
Adalet ve Kalkınma Partisi,reform,Reform,democratic_reform,341,554,339,95,705.9,705.9,0.5609195402298851,total
Milliyetçi Hareket Partisi,constitution,Anayasa,constitutional_conflict,196,552,176,58,633.9,633.9,0.502127659574468,total
Adalet ve Kalkınma Partisi,tutelage,Vesayet,constitutional_conflict,167,286,70,464,472.9,472.9,-0.7364485981308411,total
Bağımsız,economy,Ekonomi,macro_economy,52,366,162,85,452.45,452.45,0.31048387096774194,total
Milliyetçi Hareket Partisi,democracy,Demokrasi,democratic_reform,181,366,143,59,436.7,436.7,0.41379310344827586,total
Cumhuriyet Halk Partisi,reform,Reform,democratic_reform,192,321,91,50,370.35,370.35,0.2887323943661972,total
Milliyetçi Hareket Partisi,inflation,Enflasyon,macro_economy,79,264,214,71,363.75,363.75,0.5,total
İYİ Parti,reform,Reform,democratic_reform,153,303,95,51,354.1,354.1,0.29931972789115646,total
DEM Parti,democracy,Demokrasi,democratic_reform,19,261,170,82,349.2,349.2,0.34782608695652173,total
Cumhuriyet Halk Partisi,european_union,Avrupa Birligi,democratic_reform,167,289,102,62,346.4,346.4,0.24242424242424243,total
