month_dt,party,position
2023-06-01,Adalet ve Kalkınma Partisi,0.8148195694875138
2023-06-01,Cumhuriyet Halk Partisi,-1.3097143393466573
2023-06-01,Demokratik Sol Parti,-8.050169817518638
2023-06-01,Halkların Eşitlik ve Demokrasi Partisi,-0.8352512261868856
2023-06-01,Milliyetçi Hareket Partisi,-1.2964588851146672
2023-06-01,YENİ YOL Partisi,0.08689329915849617
2023-06-01,İYİ Parti,0.6912553963952555
2023-07-01,Adalet ve Kalkınma Partisi,1.607713084053172
2023-07-01,Cumhuriyet Halk Partisi,-0.8943176879320487
2023-07-01,Demokratik Sol Parti,-11.583533689520467
2023-07-01,Halkların Eşitlik ve Demokrasi Partisi,-0.8960991952658407
2023-07-01,Milliyetçi Hareket Partisi,4.902581634927678
2023-07-01,Saadet Partisi,-3.035690523001451
2023-07-01,Türkiye İşçi Partisi,-1.8549534804933567
2023-07-01,YENİ YOL Partisi,-0.5696859135756749
2023-07-01,İYİ Parti,-0.4646071573215103
2023-08-01,Adalet ve Kalkınma Partisi,0.8090002861733546
2023-08-01,Cumhuriyet Halk Partisi,-2.1181680188084506
2023-08-01,Halkların Eşitlik ve Demokrasi Partisi,-0.6128560428100542
2023-08-01,Milliyetçi Hareket Partisi,2.15834011127281
2023-08-01,YENİ YOL Partisi,0.2762808985326028
2023-08-01,İYİ Parti,-3.3932360812201185
2023-10-01,Adalet ve Kalkınma Partisi,1.8141478023183861
2023-10-01,Bağımsız,0.32406912184555053
2023-10-01,Cumhuriyet Halk Partisi,-0.703211856927784
2023-10-01,Demokratik Sol Parti,2.4726350122786545
2023-10-01,Halkların Eşitlik ve Demokrasi Partisi,-2.1562356839607384
2023-10-01,Milliyetçi Hareket Partisi,2.8135357853268625
2023-10-01,Saadet Partisi,-0.754706086596741
2023-10-01,Türkiye İşçi Partisi,0.08689329915849617
2023-10-01,YENİ YOL Partisi,-0.7708292846915318
2023-10-01,Yeniden Refah Partisi,1.809845605744103
2023-10-01,İYİ Parti,-0.24575150531934914
2023-11-01,Adalet ve Kalkınma Partisi,0.3949285792523652
2023-11-01,Bağımsız,-0.821702217472594
2023-11-01,Cumhuriyet Halk Partisi,-1.8660833037698583
2023-11-01,Demokratik Sol Parti,0.08689329915849617
2023-11-01,Halkların Eşitlik ve Demokrasi Partisi,-0.7443291253325633
2023-11-01,Milliyetçi Hareket Partisi,3.5370189133988594
2023-11-01,Saadet Partisi,0.556931758013292
2023-11-01,Türkiye İşçi Partisi,-2.599677860546692
2023-11-01,YENİ YOL Partisi,-0.8628353177717173
2023-11-01,Yeniden Refah Partisi,1.5506882600400749
2023-11-01,İYİ Parti,0.18577808872905974
2023-12-01,Adalet ve Kalkınma Partisi,0.6428639816811406
2023-12-01,Bağımsız,-0.1755001612646414
2023-12-01,Cumhuriyet Halk Partisi,-0.39348886782800546
2023-12-01,DEM Parti,-2.3276609056740427
2023-12-01,Demokratik Sol Parti,-0.9550044568383812
2023-12-01,Halkların Eşitlik ve Demokrasi Partisi,-1.109188593647551
2023-12-01,Milliyetçi Hareket Partisi,2.6631483648840053
2023-12-01,Saadet Partisi,-0.6644058219717321
2023-12-01,Türkiye İşçi Partisi,-1.1061731226664948
2023-12-01,YENİ YOL Partisi,0.07952266034648267
2023-12-01,Yeniden Refah Partisi,0.9938468614537878
2023-12-01,İYİ Parti,-0.1799051982880799
2024-01-01,Adalet ve Kalkınma Partisi,0.049959579736321744
2024-01-01,Bağımsız,1.2021065921100929
2024-01-01,Cumhuriyet Halk Partisi,-1.5149455081111611
2024-01-01,DEM Parti,-0.40843013679200507
2024-01-01,Demokratik Sol Parti,-1.041428846511709
2024-01-01,Halkların Eşitlik ve Demokrasi Partisi,-2.2181495423408712
2024-01-01,Milliyetçi Hareket Partisi,0.13159212497563494
2024-01-01,Saadet Partisi,0.32911316665637924
2024-01-01,Türkiye İşçi Partisi,-1.6392382759997772
2024-01-01,YENİ YOL Partisi,0.2278916452189415
2024-01-01,Yeniden Refah Partisi,-0.05918495710747418
2024-01-01,İYİ Parti,-0.4907080739086138
2024-02-01,Adalet ve Kalkınma Partisi,-0.26110581338179384
2024-02-01,Bağımsız,1.9527116739941341
2024-02-01,Cumhuriyet Halk Partisi,0.4220936518983314
2024-02-01,DEM Parti,0.08689329915849617
2024-02-01,Demokratik Sol Parti,-2.0304928837087153
2024-02-01,Halkların Eşitlik ve Demokrasi Partisi,-1.5482427221384096
2024-02-01,Milliyetçi Hareket Partisi,4.5752142876928685
2024-02-01,YENİ YOL Partisi,-0.391737499706224
2024-02-01,Yeniden Refah Partisi,1.5442314263959693
2024-02-01,İYİ Parti,1.951210630824092
2024-03-01,Adalet ve Kalkınma Partisi,1.0334662012322828
2024-03-01,Cumhuriyet Halk Partisi,1.4444232111702096
2024-03-01,Halkların Eşitlik ve Demokrasi Partisi,-1.0546630320303925
2024-03-01,Milliyetçi Hareket Partisi,0.27413317079606014
2024-03-01,YENİ YOL Partisi,-0.184962954143073
2024-03-01,İYİ Parti,0.16965663365289935
2024-04-01,Adalet ve Kalkınma Partisi,2.1954057149242336
2024-04-01,Bağımsız,0.08689329915849617
2024-04-01,Cumhuriyet Halk Partisi,-1.237358512364285
2024-04-01,DEM Parti,0.08689329915849617
