concept_slug,weight,abs_weight
democracy,-0.30110877572046624,0.30110877572046624
european_union,-0.16782183863271613,0.16782183863271613
imf,-0.08184326340618824,0.08184326340618824
inflation,0.09895223285350699,0.09895223285350699
tutelage,0.1393537277066149,0.1393537277066149
constitution,0.18768878677462372,0.18768878677462372
interest,0.2033831000426513,0.2033831000426513
security,0.207088280912803,0.207088280912803
reform,0.3820251266328082,0.3820251266328082
sovereignty,0.4306521112299895,0.4306521112299895
economy,0.43677196301513616,0.43677196301513616
law_state,0.4512299878859923,0.4512299878859923
