party,pre_gatekeeper,post_gatekeeper,delta_gatekeeper,term,event_month,event_label
Adalet ve Kalkınma Partisi,1.1534410821843448,1.3388665239130766,0.18542544172873177,28,2024-03,Local elections
Bağımsız,1.4124893961927578,1.4855500369371746,0.07306064074441676,28,2024-03,Local elections
Cumhuriyet Halk Partisi,0.6693481162191999,1.4483404339950088,0.7789923177758089,28,2024-03,Local elections
DEM Parti,0.0,2.3710321200920457,2.3710321200920457,28,2024-03,Local elections
Demokratik Sol Parti,1.0821530606518768,1.7050695994248177,0.622916538772941,28,2024-03,Local elections
Halkların Eşitlik ve Demokrasi Partisi,0.5788046074183985,1.3878315457780945,0.8090269383596961,28,2024-03,Local elections
Milliyetçi Hareket Partisi,0.6438158721568051,1.5016966532035951,0.85788078104679,28,2024-03,Local elections
Saadet Partisi,0.0,2.4363549606711343,2.4363549606711343,28,2024-03,Local elections
Türkiye İşçi Partisi,0.0,0.0,0.0,28,2024-03,Local elections
YENİ YOL Partisi,0.4646411773961895,1.1220511784250526,0.6574100010288632,28,2024-03,Local elections
Yeniden Refah Partisi,1.1656449425686122,0.9316145456018604,-0.23403039696675176,28,2024-03,Local elections
İYİ Parti,0.44390553084527656,1.431425864155453,0.9875203333101763,28,2024-03,Local elections
Adalet ve Kalkınma Partisi,1.3753353348632902,1.2932595552037138,-0.08207577965957635,28,2025-03,Imamoglu case
Bağımsız,1.963486690836432,2.617566657219753,0.654079966383321,28,2025-03,Imamoglu case
Cumhuriyet Halk Partisi,1.5131898433202775,1.0159457982868378,-0.49724404503343966,28,2025-03,Imamoglu case
DEM Parti,1.0922701041693272,0.0,-1.0922701041693272,28,2025-03,Imamoglu case
Demokratik Sol Parti,2.0159287858690513,1.9335589246278981,-0.0823698612411532,28,2025-03,Imamoglu case
Halkların Eşitlik ve Demokrasi Partisi,1.7047522323729598,0.7420522791749009,-0.9626999531980589,28,2025-03,Imamoglu case
Milliyetçi Hareket Partisi,1.3679184860199127,1.69594407950932,0.3280255934894072,28,2025-03,Imamoglu case
Türkiye İşçi Partisi,0.0,0.0,0.0,28,2025-03,Imamoglu case
YENİ YOL Partisi,1.5623067806390014,1.1948516170198311,-0.3674551636191703,28,2025-03,Imamoglu case
Yeniden Refah Partisi,0.0,1.4365349218683279,1.4365349218683279,28,2025-03,Imamoglu case
İYİ Parti,1.5286783824307264,1.1447139414631267,-0.38396444096759974,28,2025-03,Imamoglu case
Adalet ve Kalkınma Partisi,1.1558310983990565,1.6526886504726575,0.49685755207360094,28,2025-04,Post-case protests
Bağımsız,0.0,0.0,0.0,28,2025-04,Post-case protests
Cumhuriyet Halk Partisi,1.1650589159356246,1.5835067043736357,0.4184477884380111,28,2025-04,Post-case protests
DEM Parti,0.7132028605143889,0.9918342589382906,0.2786313984239017,28,2025-04,Post-case protests
Demokratik Sol Parti,0.47403890366796014,2.018361849438668,1.5443229457707077,28,2025-04,Post-case protests
Halkların Eşitlik ve Demokrasi Partisi,1.3892306704702047,1.6964346597133753,0.3072039892431706,28,2025-04,Post-case protests
Milliyetçi Hareket Partisi,0.9159946915262525,1.7891647748150432,0.8731700832887908,28,2025-04,Post-case protests
Türkiye İşçi Partisi,0.0,1.857121901522853,1.857121901522853,28,2025-04,Post-case protests
YENİ YOL Partisi,0.9677526282732628,1.7686858006577852,0.8009331723845224,28,2025-04,Post-case protests
Yeniden Refah Partisi,1.3071768942854234,1.2394346604453366,-0.06774223384008682,28,2025-04,Post-case protests
İYİ Parti,1.6156620148862433,1.369174164802441,-0.24648785008380236,28,2025-04,Post-case protests
