speech_id,transcript_id,date,year,month,speaker,party,party_bloc,word_count,concept_hit_count,beme_positive_hits,beme_negative_hits,beme_score,beme_label
term_28_speech_000000,23898,2023-06-02,2023,6,Osman Gökçek,Adalet ve Kalkınma Partisi,opposition,59,3,2,0,0.6667,positive
term_28_speech_000002,23898,2023-06-02,2023,6,Osman Gökçek,Adalet ve Kalkınma Partisi,opposition,217,3,2,0,0.6667,positive
term_28_speech_000004,23898,2023-06-02,2023,6,Şahin Tin,Adalet ve Kalkınma Partisi,opposition,68,3,2,0,0.6667,positive
term_28_speech_000005,23898,2023-06-02,2023,6,Mehmet Mustafa Gürban,İYİ Parti,opposition,70,3,2,0,0.6667,positive
term_28_speech_000006,23898,2023-06-02,2023,6,Mehmet Mustafa Gürban,İYİ Parti,opposition,101,3,2,0,0.6667,positive
term_28_speech_000008,23898,2023-06-02,2023,6,Ayşe Böhürler,Adalet ve Kalkınma Partisi,opposition,60,3,2,0,0.6667,positive
term_28_speech_000009,23898,2023-06-02,2023,6,Ayşe Böhürler,Adalet ve Kalkınma Partisi,opposition,111,3,2,0,0.6667,positive
term_28_speech_000010,23898,2023-06-02,2023,6,Hasan Bitmez,Cumhuriyet Halk Partisi,opposition,59,3,2,0,0.6667,positive
term_28_speech_000011,23898,2023-06-02,2023,6,Hasan Bitmez,Cumhuriyet Halk Partisi,opposition,85,3,2,0,0.6667,positive
term_28_speech_000012,23898,2023-06-02,2023,6,Cemil Yaman,Adalet ve Kalkınma Partisi,opposition,54,1,0,0,0.0,mixed
term_28_speech_000013,23898,2023-06-02,2023,6,Cemil Yaman,Adalet ve Kalkınma Partisi,opposition,172,3,2,0,0.6667,positive
term_28_speech_000016,23898,2023-06-02,2023,6,İbrahim Eyyüpoğlu,Adalet ve Kalkınma Partisi,opposition,55,3,2,0,0.6667,positive
term_28_speech_000018,23898,2023-06-02,2023,6,Mahmut Tanal,Cumhuriyet Halk Partisi,opposition,67,3,2,0,0.6667,positive
term_28_speech_000019,23898,2023-06-02,2023,6,Mahmut Tanal,Cumhuriyet Halk Partisi,opposition,74,3,2,0,0.6667,positive
term_28_speech_000020,23898,2023-06-02,2023,6,İbrahim Eyyüpoğlu,Adalet ve Kalkınma Partisi,opposition,59,3,2,0,0.6667,positive
term_28_speech_000021,23900,2023-06-07,2023,6,Vedat Bilgin,Adalet ve Kalkınma Partisi,opposition,77,3,2,0,0.6667,positive
term_28_speech_000023,23900,2023-06-07,2023,6,Vedat Bilgin,Adalet ve Kalkınma Partisi,opposition,125,3,2,0,0.6667,positive
term_28_speech_000025,23900,2023-06-07,2023,6,Mahmut Özer,Adalet ve Kalkınma Partisi,opposition,54,1,0,0,0.0,mixed
term_28_speech_000026,23900,2023-06-07,2023,6,Mahmut Özer,Adalet ve Kalkınma Partisi,opposition,119,3,2,0,0.6667,positive
term_28_speech_000027,23901,2023-06-13,2023,6,Özgür Özel,Cumhuriyet Halk Partisi,opposition,144,2,0,0,0.0,mixed
term_28_speech_000028,23901,2023-06-13,2023,6,Özgür Özel,Cumhuriyet Halk Partisi,opposition,181,2,0,0,0.0,mixed
term_28_speech_000029,23901,2023-06-13,2023,6,Özgür Özel,Cumhuriyet Halk Partisi,opposition,133,1,0,0,0.0,mixed
term_28_speech_000030,23901,2023-06-13,2023,6,Abdullah Güler,Adalet ve Kalkınma Partisi,opposition,342,2,1,0,0.5,positive
term_28_speech_000032,23901,2023-06-13,2023,6,Abdullah Güler,Adalet ve Kalkınma Partisi,opposition,108,2,0,0,0.0,mixed
term_28_speech_000033,23901,2023-06-13,2023,6,Özgür Özel,Cumhuriyet Halk Partisi,opposition,291,2,0,0,0.0,mixed
term_28_speech_000034,23901,2023-06-13,2023,6,Özgür Özel,Cumhuriyet Halk Partisi,opposition,121,2,0,2,-0.6667,negative
term_28_speech_000037,23901,2023-06-13,2023,6,Özgür Özel,Cumhuriyet Halk Partisi,opposition,92,1,0,0,0.0,mixed
term_28_speech_000038,23901,2023-06-13,2023,6,Özgür Özel,Cumhuriyet Halk Partisi,opposition,120,1,0,0,0.0,mixed
term_28_speech_000039,23901,2023-06-13,2023,6,Özlem Zengin,Adalet ve Kalkınma Partisi,opposition,173,1,0,0,0.0,mixed
term_28_speech_000040,23901,2023-06-13,2023,6,Özlem Zengin,Adalet ve Kalkınma Partisi,opposition,192,3,0,0,0.0,mixed
term_28_speech_000041,23901,2023-06-13,2023,6,Özlem Zengin,Adalet ve Kalkınma Partisi,opposition,132,1,2,0,0.6667,positive
term_28_speech_000047,23901,2023-06-13,2023,6,Müsavat Dervişoğlu,İYİ Parti,opposition,273,3,0,3,-0.75,negative
term_28_speech_000048,23901,2023-06-13,2023,6,Müsavat Dervişoğlu,İYİ Parti,opposition,104,1,0,0,0.0,mixed
term_28_speech_000054,23901,2023-06-13,2023,6,Abdullah Güler,Adalet ve Kalkınma Partisi,opposition,393,1,1,0,0.5,positive
term_28_speech_000057,23901,2023-06-13,2023,6,Abdullah Güler,Adalet ve Kalkınma Partisi,opposition,128,1,0,0,0.0,mixed
term_28_speech_000058,23901,2023-06-13,2023,6,Özgür Özel,Cumhuriyet Halk Partisi,opposition,111,1,1,0,0.5,positive
term_28_speech_000060,23901,2023-06-13,2023,6,Mehmet Rüştü Tiryaki,Halkların Eşitlik ve Demokrasi Partisi,opposition,23,1,0,2,-0.6667,negative
term_28_speech_000061,23901,2023-06-13,2023,6,Mahmut Tanal,Cumhuriyet Halk Partisi,opposition,10,1,0,0,0.0,mixed
term_28_speech_000063,23901,2023-06-13,2023,6,Erhan Usta,İYİ Parti,opposition,439,2,0,0,0.0,mixed
term_28_speech_000067,23901,2023-06-13,2023,6,Mehmet Rüştü Tiryaki,Halkların Eşitlik ve Demokrasi Partisi,opposition,330,2,3,0,0.75,positive
term_28_speech_000068,23901,2023-06-13,2023,6,Mehmet Rüştü Tiryaki,Halkların Eşitlik ve Demokrasi Partisi,opposition,123,2,1,0,0.5,positive
term_28_speech_000069,23901,2023-06-13,2023,6,Ali Mahir Başarır,Cumhuriyet Halk Partisi,opposition,268,2,0,0,0.0,mixed
term_28_speech_000070,23901,2023-06-13,2023,6,Ali Mahir Başarır,Cumhuriyet Halk Partisi,opposition,13,1,0,1,-0.5,negative
term_28_speech_000073,23901,2023-06-13,2023,6,Ali Mahir Başarır,Cumhuriyet Halk Partisi,opposition,76,2,6,0,0.8571,positive
term_28_speech_000075,23901,2023-06-13,2023,6,Ali Mahir Başarır,Cumhuriyet Halk Partisi,opposition,31,1,0,0,0.0,mixed
term_28_speech_000076,23901,2023-06-13,2023,6,Özlem Zengin,Adalet ve Kalkınma Partisi,opposition,12,1,0,0,0.0,mixed
term_28_speech_000077,23901,2023-06-13,2023,6,Ali Mahir Başarır,Cumhuriyet Halk Partisi,opposition,25,1,0,0,0.0,mixed
term_28_speech_000080,23901,2023-06-13,2023,6,Özgür Özel,Cumhuriyet Halk Partisi,opposition,179,1,0,0,0.0,mixed
term_28_speech_000096,23901,2023-06-13,2023,6,Abdullah Güler,Adalet ve Kalkınma Partisi,opposition,27,1,0,0,0.0,mixed
term_28_speech_000103,23901,2023-06-13,2023,6,Özgür Özel,Cumhuriyet Halk Partisi,opposition,18,1,0,0,0.0,mixed
term_28_speech_000139,23901,2023-06-13,2023,6,Özgür Özel,Cumhuriyet Halk Partisi,opposition,34,1,0,2,-0.6667,negative
term_28_speech_000147,23901,2023-06-13,2023,6,Mahmut Tanal,Cumhuriyet Halk Partisi,opposition,72,1,2,0,0.6667,positive
term_28_speech_000152,23902,2023-06-14,2023,6,Mahmut Tanal,Cumhuriyet Halk Partisi,opposition,75,3,3,0,0.75,positive
term_28_speech_000154,23902,2023-06-14,2023,6,Özgür Özel,Cumhuriyet Halk Partisi,opposition,89,2,0,2,-0.6667,negative
term_28_speech_000156,23902,2023-06-14,2023,6,Özgür Özel,Cumhuriyet Halk Partisi,opposition,83,2,2,4,-0.2857,negative
term_28_speech_000157,23902,2023-06-14,2023,6,Özgür Özel,Cumhuriyet Halk Partisi,opposition,72,1,0,0,0.0,mixed
term_28_speech_000166,23903,2023-06-15,2023,6,Ali Mahir Başarır,Cumhuriyet Halk Partisi,opposition,109,3,1,2,-0.25,negative
term_28_speech_000167,23903,2023-06-15,2023,6,Ali Mahir Başarır,Cumhuriyet Halk Partisi,opposition,113,1,2,2,0.0,mixed
term_28_speech_000168,23903,2023-06-15,2023,6,Ali Mahir Başarır,Cumhuriyet Halk Partisi,opposition,104,2,0,0,0.0,mixed
term_28_speech_000169,23903,2023-06-15,2023,6,Ali Mahir Başarır,Cumhuriyet Halk Partisi,opposition,65,1,0,0,0.0,mixed
term_28_speech_000171,23903,2023-06-15,2023,6,Abdullah Güler,Adalet ve Kalkınma Partisi,opposition,58,1,1,0,0.5,positive
term_28_speech_000172,23903,2023-06-15,2023,6,Muhammed Levent Bülbül,Milliyetçi Hareket Partisi,opposition,45,1,1,0,0.5,positive
term_28_speech_000179,23903,2023-06-15,2023,6,Ömer Öcalan,Halkların Eşitlik ve Demokrasi Partisi,opposition,117,1,2,0,0.6667,positive
term_28_speech_000182,23903,2023-06-15,2023,6,Sırrı Sakık,Halkların Eşitlik ve Demokrasi Partisi,opposition,112,2,0,0,0.0,mixed
term_28_speech_000192,23903,2023-06-15,2023,6,İbrahim Ufuk Kaynak,Adalet ve Kalkınma Partisi,opposition,55,1,1,0,0.5,positive
term_28_speech_000193,23903,2023-06-15,2023,6,Önder Aksakal,Demokratik Sol Parti,opposition,100,2,1,2,-0.25,negative
