date,usd_try_close,eur_try_close,bist100_close,gold_usd_close,brent_oil_usd_close,wti_oil_usd_close,year,month,usd_try_return_1d_pct,eur_try_return_1d_pct,bist100_return_1d_pct,gold_usd_return_1d_pct,brent_oil_usd_return_1d_pct,wti_oil_usd_return_1d_pct
2014-01-01,2.1476500034332275,2.9527499675750732,,,,,2014,1,1.2774962045801752,0.8742242554795165,,,,
2014-01-02,2.146399974822998,2.9551799297332764,669.8579711914062,1225.0,107.77999877929688,95.44000244140625,2014,1,-0.05820448435411851,0.08229488391795492,,,,
2014-01-03,2.1686699390411377,2.9631600379943848,659.6710205078125,1238.4000244140625,106.88999938964844,93.95999908447266,2014,1,1.0375495937086976,0.2700379824868593,-1.5207627768428766,1.0938795440051052,-0.8257556130343846,-1.5507159671776183
2014-01-06,2.1749000549316406,2.9580399990081787,680.219970703125,1237.800048828125,106.7300033569336,93.43000030517578,2014,1,0.2872781965732152,-0.17278982304551604,3.115030000786456,-0.04844764002821522,-0.14968288299039845,-0.56406852326637
2014-01-07,2.1695799827575684,2.9570300579071045,685.9860229492188,1229.4000244140625,107.3499984741211,93.66999816894531,2014,1,-0.24461225986034396,-0.03414223950362061,0.8476746485601705,-0.67862530963827,0.5809004944130614,0.2568745188757493
2014-01-08,2.1659700870513916,2.9489500522613525,673.3170166015625,1225.300048828125,107.1500015258789,92.33000183105469,2014,1,-0.16638684606541387,-0.27324732882393343,-1.846831556886419,-0.3334940218413962,-0.1863036339869173,-1.4305501911869078
2014-01-09,2.1834700107574463,2.9630799293518066,664.135986328125,1229.300048828125,106.38999938964844,91.66000366210938,2014,1,0.8079485405026121,0.4791494206427327,-1.3635523901916136,0.32645065213419144,-0.7092880311783456,-0.7256559684372998
2014-01-10,2.1769700050354004,2.9618799686431885,679.1209716796875,1246.699951171875,107.25,92.72000122070312,2014,1,-0.2976915501482491,-0.04049707524699242,2.2563128124424514,1.4154316808444811,0.8083472274512005,1.1564450319042852
2014-01-13,2.163749933242798,2.9580800533294678,680.6229858398438,1250.9000244140625,106.75,91.80000305175781,2014,1,-0.6072693588806466,-0.12829403466546596,0.22117033971742472,0.33689527606377556,-0.4662004662004615,-0.992232697188411
2014-01-14,2.1784300804138184,2.977679967880249,680.7249755859375,1245.199951171875,106.38999938964844,92.58999633789062,2014,1,0.6784585845841962,0.6625890509190491,0.014984763696723746,-0.45567776248605085,-0.3372371057157486,0.8605591066128904
2014-01-15,2.1819698810577393,2.9825799465179443,681.3460083007812,1238.0999755859375,107.12999725341797,94.16999816894531,2014,1,0.16249319524859196,0.16455692655190646,0.09123107526782803,-0.5701875894915998,0.6955520894960543,1.7064498256256
2014-01-16,2.189069986343384,2.9768800735473633,668.4359741210938,1240.0,107.08999633789062,93.95999908447266,2014,1,0.32539886766000947,-0.19110545476694885,-1.8947838576003462,0.15346292315072674,-0.03733866942301489,-0.22299998784741648
