party,concept_slug,concept,concept_category,speech_count,mention_count,beme_positive_hits,beme_negative_hits,salience_weight,layer_weight,beme_score,layer
Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,1775,7264,4550,2157,9611.45,9611.45,0.3567382230172928,total
Milliyetçi Hareket Partisi,economy,Ekonomi,macro_economy,1374,7017,2530,3421,9099.85,9099.85,-0.14969758064516128,total
Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,1787,7228,1951,1625,8479.6,8479.6,0.0911378249930109,total
Cumhuriyet Halk Partisi,economy,Ekonomi,macro_economy,1446,6073,2128,2917,7838.75,7838.75,-0.15636147443519618,total
Bağımsız,law_state,Hukuk Devleti,democratic_reform,1050,5047,1858,1315,6157.55,6157.55,0.17107750472589792,total
Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,1475,5457,920,801,6059.35,6059.35,0.06910569105691057,total
Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,1576,4957,1656,899,5851.25,5851.25,0.2961658841940532,total
Milliyetçi Hareket Partisi,law_state,Hukuk Devleti,democratic_reform,1235,4929,1206,1128,5745.9,5745.9,0.03340471092077088,total
Bağımsız,democracy,Demokrasi,democratic_reform,1154,3999,1443,1126,4898.15,4898.15,0.12334630350194553,total
Bağımsız,economy,Ekonomi,macro_economy,772,3622,1518,1977,4845.25,4845.25,-0.1312929061784897,total
Bağımsız,constitution,Anayasa,constitutional_conflict,858,3706,905,687,4263.2,4263.2,0.13684871311989957,total
Milliyetçi Hareket Partisi,constitution,Anayasa,constitutional_conflict,942,3430,628,569,3848.95,3848.95,0.049248747913188645,total
Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,1099,3334,793,450,3769.05,3769.05,0.2757234726688103,total
Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,1068,2972,820,1050,3626.5,3626.5,-0.12292891501870658,total
Milliyetçi Hareket Partisi,security,Guvenlik,security_conflict,832,2266,574,1047,2833.35,2833.35,-0.2916152897657213,total
Bağımsız,security,Guvenlik,security_conflict,713,2086,616,1132,2697.8,2697.8,-0.2950257289879931,total
Cumhuriyet Halk Partisi,democracy,Demokrasi,democratic_reform,875,2045,711,366,2421.95,2421.95,0.3200371057513915,total
Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,793,1905,408,901,2363.15,2363.15,-0.3763358778625954,total
Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,791,1811,901,397,2265.3,2265.3,0.38799076212471134,total
Milliyetçi Hareket Partisi,democracy,Demokrasi,democratic_reform,528,1306,397,301,1550.3,1550.3,0.13733905579399142,total
Adalet ve Kalkınma Partisi,interest,Faiz,macro_economy,421,1166,281,282,1363.05,1363.05,-0.0017730496453900709,total
Adalet ve Kalkınma Partisi,european_union,Avrupa Birligi,democratic_reform,510,1033,580,122,1278.7,1278.7,0.65149359886202,total
Milliyetçi Hareket Partisi,european_union,Avrupa Birligi,democratic_reform,348,889,405,196,1099.35,1099.35,0.34717607973421927,total
Adalet ve Kalkınma Partisi,reform,Reform,democratic_reform,486,876,401,112,1055.55,1055.55,0.5622568093385214,total
Cumhuriyet Halk Partisi,european_union,Avrupa Birligi,democratic_reform,381,790,343,205,981.8,981.8,0.25136612021857924,total
Cumhuriyet Halk Partisi,interest,Faiz,macro_economy,307,812,124,135,902.65,902.65,-0.04230769230769231,total
Bağımsız,european_union,Avrupa Birligi,democratic_reform,310,700,378,180,895.3000000000001,895.3000000000001,0.3542039355992844,total
Milliyetçi Hareket Partisi,interest,Faiz,macro_economy,294,693,120,113,774.55,774.55,0.029914529914529916,total
Milliyetçi Hareket Partisi,reform,Reform,democratic_reform,281,536,146,85,616.85,616.85,0.2629310344827586,total
Adalet ve Kalkınma Partisi,inflation,Enflasyon,macro_economy,227,487,177,119,590.6,590.6,0.19528619528619529,total
Milliyetçi Hareket Partisi,inflation,Enflasyon,macro_economy,154,377,129,107,459.6,459.6,0.09282700421940929,total
Bağımsız,interest,Faiz,macro_economy,160,390,61,80,439.35,439.35,-0.13380281690140844,total
Cumhuriyet Halk Partisi,reform,Reform,democratic_reform,203,355,93,73,413.1,413.1,0.11976047904191617,total
