term,event_month,event_label,party,pre_position,post_position,delta_position
23,2008-07,Closure case,Adalet ve Kalkınma Partisi,1.6577030479562913,-1.5948943737885528,-3.252597421744844
23,2008-07,Closure case,Bağımsız,0.6808007449007083,0.8554130932288608,0.17461234832815253
23,2008-07,Closure case,Cumhuriyet Halk Partisi,0.8527161648224061,-0.16352437513366402,-1.01624053995607
23,2008-07,Closure case,Demokrat Parti,-1.1728136230674069,,
23,2008-07,Closure case,Demokratik Sol Parti,0.6153507237058832,-2.5394540065937807,-3.154804730299664
23,2008-07,Closure case,Milliyetçi Hareket Partisi,1.02465823379433,-0.035791268856659196,-1.0604495026509893
23,2008-09,Global crisis,Adalet ve Kalkınma Partisi,-1.5948943737885528,0.7389660150794295,2.3338603888679823
23,2008-09,Global crisis,Bağımsız,0.8554130932288608,-1.909507562673067,-2.764920655901928
23,2008-09,Global crisis,Cumhuriyet Halk Partisi,-0.16352437513366402,-0.6707563749134853,-0.5072319997798213
23,2008-09,Global crisis,Demokratik Sol Parti,-2.5394540065937807,,
23,2008-09,Global crisis,Milliyetçi Hareket Partisi,-0.035791268856659196,-1.5908880085319663,-1.555096739675307
23,2010-09,Referendum,Adalet ve Kalkınma Partisi,3.563459145524093,2.210840041528651,-1.3526191039954423
23,2010-09,Referendum,Bağımsız,-0.969831356669598,0.11146603759350837,1.0812973942631063
23,2010-09,Referendum,Cumhuriyet Halk Partisi,1.2600357181121153,1.3521556828785806,0.09211996476646522
23,2010-09,Referendum,Demokratik Sol Parti,-1.574214479851461,-1.1728136230674069,0.4014008567840541
23,2010-09,Referendum,Milliyetçi Hareket Partisi,-2.9722765673053573,-1.4941069599975003,1.478169607307857
