concept,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,concept_category,layer
Ekonomi,31481.25,0.5634917550034493,0.14545454545454545,0.42637416654360727,macro_economy,total
Hukuk Devleti,26287.450000000004,0.5639360102193739,0.32727272727272727,0.24116983189228341,democratic_reform,total
Anayasa,18039.4,0.46783646228897413,0.0,0.1677176170103706,constitutional_conflict,total
Guvenlik,11543.95,0.5354471584623837,0.12727272727272726,0.3866243855248064,security_conflict,total
Demokrasi,11215.4,0.2869599489190958,0.0,0.010669219568663188,democratic_reform,total
Avrupa Birligi,4266.55,0.5946808587556472,0.10909090909090909,0.37971434173390384,democratic_reform,total
Faiz,3485.95,0.4844777375581774,0.0,0.359632023991906,macro_economy,total
Reform,2463.45,0.41097318342192507,0.0,0.29337307444086164,democratic_reform,total
Enflasyon,1474.65,0.3968240313651486,0.0,0.22764331897842352,macro_economy,total
IMF,1301.15,0.6295071428926905,0.43636363636363634,0.3749706245410885,macro_economy,total
Vesayet,611.0,0.38834258040699454,0.18181818181818182,0.04949219642622912,constitutional_conflict,total
Egemenlik,425.04999999999995,0.4663239354304506,0.0,0.16691576692412116,security_conflict,total
Ekonomi,7109.907780000001,0.408832689341832,0.03636363636363636,0.3892559597070822,macro_economy,positive
Hukuk Devleti,6345.558459999999,0.5055684916075601,0.2909090909090909,0.10410827150995303,democratic_reform,positive
Anayasa,3453.15615,0.5041294336589554,0.12727272727272726,0.10372978630019111,constitutional_conflict,positive
Demokrasi,2566.3894700000005,0.37811794346970096,0.18181818181818182,0.043820577550403056,democratic_reform,positive
Avrupa Birligi,1420.6214350000002,0.5312205323329638,0.21818181818181817,0.4410454346858782,democratic_reform,positive
Guvenlik,1418.3839550000002,0.5287092942404507,0.10909090909090909,0.4403916721977344,security_conflict,positive
Reform,615.82101,0.379069841820473,0.0,0.26163935280957273,democratic_reform,positive
Faiz,486.97296,0.502806754819593,0.0,0.39430014190508855,macro_economy,positive
Enflasyon,261.07450000000006,0.39224155739425215,0.0,0.3405786537567519,macro_economy,positive
IMF,202.85818999999998,0.5878982694866116,0.5454545454545454,0.3076100608402673,macro_economy,positive
Egemenlik,63.438810000000004,0.3549826078580759,0.0,0.04345215790226578,security_conflict,positive
Vesayet,4.1,0.26829237452732996,0.0,0.00785123291969488,constitutional_conflict,positive
Ekonomi,6577.135850000001,0.4607621970784143,0.0,0.3043874410928804,macro_economy,negative
Hukuk Devleti,3646.673455,0.6608229860285628,0.32727272727272727,0.4390055780862176,democratic_reform,negative
Guvenlik,2732.55523,0.5891585307214492,0.39999999999999997,0.2067608672697514,security_conflict,negative
Anayasa,2485.061815,0.5590920871130685,0.0,0.40670741196690663,constitutional_conflict,negative
Demokrasi,1171.1955050000001,0.29411011357720873,0.0,0.00731160412996805,democratic_reform,negative
Faiz,539.26226,0.37408707770532723,0.0,0.06312042553960737,macro_economy,negative
Vesayet,356.97229500000003,0.40258091311741884,0.18181818181818182,0.03823410581544431,constitutional_conflict,negative
Avrupa Birligi,349.37268500000005,0.5592881726791571,0.0,0.40666628751844974,democratic_reform,negative
Enflasyon,255.23386499999998,0.3596475838110042,0.0,0.04926791079530605,macro_economy,negative
IMF,203.55506000000003,0.5887543579444608,0.18181818181818182,0.3511972723085965,macro_economy,negative
Reform,171.18070500000002,0.5590947887582947,0.18181818181818182,0.2789648708250657,democratic_reform,negative
Egemenlik,36.96406,0.5073793859333978,0.0,0.36331281114045166,security_conflict,negative
