concept_slug,weight,abs_weight
imf,-0.4204542249159132,0.4204542249159132
security,-0.3394848676488073,0.3394848676488073
tutelage,-0.15418410207775007,0.15418410207775007
inflation,-0.07743232060543224,0.07743232060543224
sovereignty,-0.028624629097622617,0.028624629097622617
law_state,0.11504530863145719,0.11504530863145719
european_union,0.12322818447701626,0.12322818447701626
constitution,0.21756660994098118,0.21756660994098118
interest,0.26187914077701446,0.26187914077701446
economy,0.2781269020406484,0.2781269020406484
democracy,0.38503410842524954,0.38503410842524954
reform,0.5544709527797712,0.5544709527797712
