party,pre_gatekeeper,post_gatekeeper,delta_gatekeeper,term,event_month,event_label
Adalet ve Kalkınma Partisi,1.0532199374489057,1.1618381971707727,0.108618259721867,23,2008-07,Closure case
Bağımsız,0.634721267255793,0.9497039135194463,0.31498264626365324,23,2008-07,Closure case
Cumhuriyet Halk Partisi,0.7901086054964892,1.0510649999462207,0.2609563944497315,23,2008-07,Closure case
Demokrat Parti,1.0764809663916768,0.0,-1.0764809663916768,23,2008-07,Closure case
Demokratik Sol Parti,2.418958132200513,1.599259019595574,-0.8196991126049391,23,2008-07,Closure case
Milliyetçi Hareket Partisi,1.1162351438936444,1.0679629872827945,-0.04827215661084994,23,2008-07,Closure case
Adalet ve Kalkınma Partisi,1.1618381971707727,0.859876888081573,-0.3019613090891997,23,2008-09,Global crisis
Bağımsız,0.9497039135194463,1.0949872620047498,0.14528334848530355,23,2008-09,Global crisis
Cumhuriyet Halk Partisi,1.0510649999462207,1.340836951495557,0.2897719515493362,23,2008-09,Global crisis
Demokratik Sol Parti,1.599259019595574,0.0,-1.599259019595574,23,2008-09,Global crisis
Milliyetçi Hareket Partisi,1.0679629872827945,1.1484122708895497,0.08044928360675518,23,2008-09,Global crisis
Adalet ve Kalkınma Partisi,1.0538633601031293,1.8765542466912721,0.8226908865881428,23,2010-09,Referendum
Bağımsız,0.7759563810002617,1.3581659024698038,0.5822095214695422,23,2010-09,Referendum
Cumhuriyet Halk Partisi,1.2471305348938073,1.3574570250701277,0.11032649017632035,23,2010-09,Referendum
Demokratik Sol Parti,0.15024067949389328,2.136402247053234,1.9861615675593405,23,2010-09,Referendum
Milliyetçi Hareket Partisi,1.1348817835736027,1.802513898093505,0.6676321145199022,23,2010-09,Referendum
