speaker,party,total_mentions,community,community_label,eigen_score,embed1,embed2
Abdulaziz Yazar,Cumhuriyet Halk Partisi,82,0,Neutral,0.01236566506569389,-0.12203300082350914,-0.5440786788127507
Abdullah Gül,Adalet ve Kalkınma Partisi,359,1,Pole +,0.044446269398806935,0.8504365023374544,0.16988295424668245
Abdullah Çalışkan,Adalet ve Kalkınma Partisi,59,0,Neutral,-0.00014408441745850098,0.3037505159335629,0.2876203514858831
Abdullah Özer,Bağımsız,68,1,Pole +,0.03576137436774611,-0.13514418139675713,0.11153460741617598
Abdurrahman Arıcı,Adalet ve Kalkınma Partisi,108,0,Neutral,0.008969914150588676,0.07088140139510543,0.16831123463327707
Abdülkadir Akcan,Milliyetçi Hareket Partisi,207,0,Neutral,-0.0003621178409631831,-0.27380468042795764,-0.26591165170687675
Afif Demirkıran,Adalet ve Kalkınma Partisi,48,1,Pole +,0.014312995429383413,0.24438445230926345,0.5114049037950698
Agah Kafkas,Adalet ve Kalkınma Partisi,161,0,Neutral,0.004592374794031406,0.2799076272702101,-0.1228885165137723
Ahmet Aydın,Adalet ve Kalkınma Partisi,357,1,Pole +,0.046163531237955635,0.13063600999403058,-0.6144973759608554
Ahmet Bukan,Milliyetçi Hareket Partisi,56,0,Neutral,0.00860744422810436,0.3392772144444173,0.07589582489082512
Ahmet Duran Bulut,Milliyetçi Hareket Partisi,129,-1,Pole -,-0.05786478677757509,-0.8253814491712282,-0.0026695053238930035
Ahmet Ersin,Bağımsız,160,1,Pole +,0.01735098333369048,-0.37842755144214396,-0.23762437853354207
Ahmet Kenan Tanrıkulu,Milliyetçi Hareket Partisi,217,0,Neutral,-0.005646483728252022,0.24323596621695628,0.43774829548732397
Ahmet Küçük,Cumhuriyet Halk Partisi,76,-1,Pole -,-0.07069372246974957,-0.4862415323301137,0.30618009727654877
Ahmet Orhan,Milliyetçi Hareket Partisi,203,-1,Pole -,-0.02836496855005332,-0.11558795706186059,-0.2180894858898726
Ahmet Tan,Bağımsız,53,0,Neutral,-0.0035119656775139847,0.05149046946623676,0.1687225847857487
Ahmet Türk,Bağımsız,93,0,Neutral,-0.0069725907731446,-0.14315238036467126,0.1478105067647508
Ahmet Yeni,Adalet ve Kalkınma Partisi,256,0,Neutral,0.0009910362237454005,0.4583204267615862,0.2956349087119717
Ahmet Öksüzkaya,Adalet ve Kalkınma Partisi,62,0,Neutral,0.013544415651357913,0.5605473844538156,0.6337897815820224
Ahmet İyimaya,Adalet ve Kalkınma Partisi,264,1,Pole +,0.017311777502305475,0.24750209103890838,-0.37647104620319305
Akif Akkuş,Milliyetçi Hareket Partisi,402,-1,Pole -,-0.06601804001116957,-0.5433777211657673,0.34496429999035666
