layer,party_nodes,concept_nodes,bipartite_edges,party_projection_edges,concept_projection_edges,party_projection_density,concept_projection_density,party_bloc_assortativity,avg_party_closeness,avg_party_betweenness,avg_concept_closeness,avg_concept_betweenness,party_avg_path_lcc,concept_avg_path_lcc
total,6,12,63,8,24,0.5333333333333333,0.36363636363636365,,0.542745395151833,0.13333333333333333,0.4824000670603592,0.11060606060606061,1.984314945111245,2.1703946599099964
positive,6,12,54,7,24,0.4666666666666667,0.36363636363636365,,0.3266674885395549,0.16666666666666666,0.4451558158798165,0.12575757575757576,3.5641480807111776,2.353976916495358
negative,6,12,58,8,24,0.5333333333333333,0.36363636363636365,,0.5567128947639471,0.13333333333333333,0.4928981828723136,0.10606060606060608,1.928270429407722,2.1461059192158367
